season,team_name,road_runs,road_games,road_rpg
2023,Detroit Tigers,330,81,4.0741
2023,Philadelphia Phillies,378,81,4.6667
2023,Pittsburgh Pirates,353,81,4.358
2023,Toronto Blue Jays,404,81,4.9877
2023,Minnesota Twins,386,81,4.7654
2023,New York Mets,374,83,4.506
2023,Chicago White Sox,333,81,4.1111
2023,Colorado Rockies,296,81,3.6543
2023,Los Angeles Angels,375,81,4.6296
2023,Arizona Diamondbacks,381,81,4.7037
2023,Cleveland Guardians,355,81,4.3827
2023,Chicago Cubs,387,81,4.7778
2023,Tampa Bay Rays,441,81,5.4444
2023,Boston Red Sox,364,81,4.4938
2023,Washington Nationals,355,82,4.3293
2023,San Diego Padres,386,81,4.7654
2023,Los Angeles Dodgers,483,82,5.8902
2023,Miami Marlins,313,82,3.8171
2023,Texas Rangers,398,81,4.9136
2023,Cincinnati Reds,409,81,5.0494
2023,New York Yankees,345,81,4.2593
2023,Seattle Mariners,401,81,4.9506
2023,Houston Astros,462,81,5.7037
2023,Kansas City Royals,286,82,3.4878
2023,Oakland Athletics,315,81,3.8889
2023,St. Louis Cardinals,344,81,4.2469
2024,Los Angeles Dodgers,439,81,5.4198
2024,San Diego Padres,404,81,4.9877
2024,Los Angeles Angels,315,81,3.8889
2024,Washington Nationals,329,81,4.0617
2024,San Francisco Giants,359,81,4.4321
2024,St. Louis Cardinals,335,81,4.1358
2024,Toronto Blue Jays,341,82,4.1585
2024,Minnesota Twins,353,81,4.358
2024,Detroit Tigers,351,81,4.3333
2024,Pittsburgh Pirates,322,81,3.9753
2024,New York Yankees,426,81,5.2593
2024,Chicago Cubs,417,81,5.1481
2024,Cleveland Guardians,334,81,4.1235
2024,Colorado Rockies,286,81,3.5309
2024,Boston Red Sox,385,81,4.7531
2024,Milwaukee Brewers,410,81,5.0617
2024,Atlanta Braves,388,81,4.7901
2024,Kansas City Royals,350,81,4.321
2024,Cincinnati Reds,342,81,4.2222
2024,Texas Rangers,350,82,4.2683
2024,Miami Marlins,294,81,3.6296
2024,Chicago White Sox,255,81,3.1481
2024,Oakland Athletics,320,81,3.9506
2024,Tampa Bay Rays,299,81,3.6914
2024,Baltimore Orioles,412,82,5.0244
2024,New York Mets,386,81,4.7654
2024,Philadelphia Phillies,374,81,4.6173
2024,Arizona Diamondbacks,429,81,5.2963
2024,Houston Astros,345,80,4.3125
2024,Seattle Mariners,371,81,4.5802
2025,Los Angeles Dodgers,378,81,4.6667
2025,Milwaukee Brewers,424,81,5.2346
2025,Baltimore Orioles,315,81,3.8889
2025,Boston Red Sox,391,81,4.8272
2025,Philadelphia Phillies,346,81,4.2716
2025,Cleveland Guardians,334,82,4.0732
2025,New York Mets,362,81,4.4691
2025,San Francisco Giants,367,81,4.5309
2025,Atlanta Braves,387,82,4.7195
2025,Los Angeles Angels,327,81,4.037
2025,Pittsburgh Pirates,269,81,3.321
2025,Minnesota Twins,325,81,4.0123
2025,Detroit Tigers,360,81,4.4444
2025,Chicago Cubs,402,81,4.963
2025,Athletics,365,81,4.5062
2025,Colorado Rockies,228,81,2.8148
2025,Kansas City Royals,350,81,4.321
2025,Texas Rangers,357,81,4.4074
2025,Washington Nationals,368,81,4.5432
2025,Arizona Diamondbacks,383,82,4.6707
2025,Houston Astros,367,81,4.5309
2025,Cincinnati Reds,354,82,4.3171
2025,Chicago White Sox,324,81,4.0
2025,St. Louis Cardinals,343,81,4.2346
2025,San Diego Padres,338,81,4.1728
2025,Toronto Blue Jays,367,81,4.5309
2025,New York Yankees,440,81,5.4321
2025,Seattle Mariners,414,81,5.1111
2025,Miami Marlins,392,81,4.8395
2025,Tampa Bay Rays,342,81,4.2222
