"","Name","25-Aug","","Team","","","","","","","","","","","",""
"136","Michael Soroka","","647336","ARI","4.7","128","62%","149","89.2","17.40%","4.1","23.14%","95","96","89",""
"137","Bailey Ober","95","641927","MIN","3.7","155","93%","141","146.1","14.26%","4.53","20.64%","96","100","98","5.1"
"138","Justin Verlander","85","434378","","-1","128","63%","143","152","12.84%","4.4","19.87%","103","99","100","3.85"
"139","Chris Bassitt","73","605135","","4.4","169","84%","164","170.1","15.49%","4.3","20.58%","99","100","97","3.96"
"140","Max Scherzer","59","453286","","2.2","101","58%","133","85","16.48%","4.56","22.29%","92","110","103","5.19"
"141","Michael McGreevy","101","700241","STL","1","183","87%","149","171","9.50%","4.44","16.40%","88","111","101","4.42"
"142","Matthew Liberatore","96","669461","STL","-1.4","173","90%","157","151.2","12.65%","4.69","18.56%","95","101","96","4.21"
"143","Brandon Pfaadt","86","694297","ARI","4.9","185","97%","176","176.2","14.34%","4.2","20.65%","96","104","101","5.25"
"144","J.T. Ginn","97","669372","ATH","-1.9","121","81%","95","90.1","17.35%","4.18","21.75%","97","105","108","5.08"
"145","Patrick Sandoval","223","663776","BOS","0.5","101","","123","","","4.3","20.54%","","","",""
"146","Michael Wacha","72","608379","KCR","0","161","79%","170","172.2","11.31%","4.81","17.67%","96","102","98","3.86"
"147","Andre Pallante","92","669467","STL","-7.4","179","92%","148","162.2","6.85%","4.39","16.96%","95","101","98","5.31"
"148","Luis Severino","120","622663","ATH","-2.4","175","74%","182","162.2","10.50%","4.51","19.16%","104","100","103","4.54"
"149","Richard Fitts","158","690916","STL","-6.6","119","72%","111","45","12.31%","4.49","18.20%","102","104","105","5"
"150","Jeffrey Springs","115","605488","ATH","-3","165","73%","175","171","11.78%","4.96","18.95%","94","100","94","4.11"
"151","Logan Evans","109","688138","SEA","-7.6","90","80%","62","81.1","8.00%","4.35","18.33%","91","100","91",""
"152","Drew Anderson","","623454","DET","-1.1","75","","99","14","","4.17","21.56%","","","",""
"153","Luis Morales","124","806960","ATH","-9.3","145","77%","118","138","12.56%","4.47","21.99%","97","106","104","3.14"
"154","Simeon Woods Richardson","138","680573","MIN","-5.2","102","91%","129","","13.00%","4.62","20.39%","91","96","89",""
"155","José Berríos","78","621244","TOR","-1.8","119","93%","122","166","11.75%","4.67","18.84%","87","102","91","4.17"
"156","Sean Newcomb","","656794","CHW","-4.6","90","","105","92.1","15.35%","3.85","22.56%","103","93","94","2.73"
"157","Kai-Wei Teng","116","678906","HOU","","35","79%","33","29.2","15.83%","3.92","24.09%","95","89","84","6.37"
"158","Ben Brown","99","676962","CHC","-0.9","55","78%","49","106.1","18.86%","3.71","25.13%","99","98","97","5.92"
"159","Nestor Cortes","75","641482","","","","70%","","34.1","5.73%","4.47","20.53%","97","97","94","6.29"
"160","Trevor McDonald","","686790","SFG","-7.4","75","78%","60","157.1","20.00%","4.29","18.73%","98","107","108",""
