"Team","ShortName","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","wOBA","BB%","K%","BB/K","ISO","Spd","BABIP","UBR","GDPRuns","wRC","wRAA","UZR","wBsR","BaseRunning","WAR","Off","Def","wRC+","FPTS","FPTS_G","SPTS","SPTS_G","ADP","Pos","minpos","UPURL","teamid","League","PlayerName","xMLBAMID","playerids","playerid","projection_system","projection_type","season"
"TEX","Rangers",142.493,532.909,613.139,133.412,78.1268,27.3278,3.0552,24.9018,86.5111,74.1353,69.6821,2.63566,143.923,6.28901,3.70968,0.548895,7.89705,19.6821,5.37637,0.250346,0.341799,0.453276,0.795076,0.343685,0.113648,0.234731,0.484163,0.202931,5.78741,0.295028,,,87.6948,15.2477,5.45,0.734799,0.734799,4.14752,17.1395688652992,2.29496169090271,122.701,794.2,5.592957746,794.2,5.592957746,40.8300018310547,0,"OF","/players/wyatt-langford/33333/stats/batting",13,"AL","Wyatt Langford",694671,"33333","33333","batx","thebatx",2026
"TBR","Rays",149.262,585.026,636.962,156.856,92.8967,27.2777,0.619029,36.0624,81.8351,105.052,41.5368,2.2046,124.002,4.65178,5.16469,0.582821,13.2835,4.85508,1.80202,0.268118,0.319062,0.501788,0.82085,0.348696,0.0652108,0.194677,0.33497,0.23367,3.03547,0.280832,,,93.6937,18.4317,-0.39,-0.670586,-0.670586,4.1437,17.2457346320152,1.33150768280029,123.865,861.5,5.781879194,861.5,5.781879194,16.7000007629395,0.03870968,"3B","/players/junior-caminero/28163/stats/batting",12,"AL","Junior Caminero",691406,"28163","28163","batx","thebatx",2026
"LAD","Dodgers",142.519,545.296,621.46,145.37,92.2521,31.3468,1.54689,20.2239,83.4884,77.3302,63.033,1.26184,71.138,5.8155,5.96399,0.710655,9.08176,8.37588,3.20062,0.266588,0.345452,0.441012,0.786464,0.341308,0.101427,0.114469,0.886066,0.174423,4.00103,0.272116,,,87.6855,14.2553,-1.65,-0.690737,-0.690737,4.05073,13.9675034880638,4.94810163974762,119.901,770.1,5.385314685,770.1,5.385314685,58.6199989318848,0,"OF","/players/mookie-betts/13611/stats/batting",22,"NL","Mookie Betts",605141,"13611","13611","batx","thebatx",2026
"SFG","Giants",151.861,568.799,649.508,133.437,75.139,27.7892,1.46393,29.0452,84.8059,84.2446,68.7821,1.63475,172.717,3.80555,5.05048,0.498419,7.68833,10.7727,3.50566,0.234595,0.318709,0.441791,0.760499,0.328426,0.105899,0.26592,0.398236,0.207196,4.46978,0.280558,,,84.8499,8.10548,0.76,-0.245539,-0.245539,4.00364,9.73157353699207,7.7906014919281,112.961,764,5.026315789,764,5.026315789,129.229995727539,0.00628931,"SS","/players/willy-adames/15986/stats/batting",30,"NL","Willy Adames",642715,"15986","15986","batx","thebatx",2026
"PHI","Phillies",143.427,572.152,627.757,162.171,110.827,29.2607,4.74639,17.3366,85.6653,74.0284,39.6227,0.322912,113.303,5.32202,4.1922,0.777535,11.5049,25.4484,5.5658,0.28344,0.333364,0.442075,0.775439,0.335425,0.0631178,0.180489,0.349705,0.158635,6.54004,0.324955,,,85.5759,11.4016,-0.43,1.78416,1.78416,4.0016,12.0157568454742,6.21013909578323,113.752,773.3,5.407692307,773.3,5.407692307,26.2800006866455,0.00714286,"SS","/players/trea-turner/16252/stats/batting",26,"NL","Trea Turner",607208,"16252","16252","batx","thebatx",2026
"SFG","Giants",145.563,532.731,613.512,127.623,70.8773,28.0033,1.69017,27.0525,83.0371,77.9429,68.9322,1.06041,152.041,6.65435,4.66206,0.532532,8.79879,8.58112,2.55001,0.239564,0.331512,0.450817,0.782329,0.338499,0.112357,0.247821,0.453378,0.211253,4.38168,0.280689,,,85.1652,12.6741,1.2,-0.287955,-0.287955,3.88911,14.1539981365204,3.44634246826172,119.861,766.9,5.252739726,766.9,5.252739726,165.949996948242,0,"3B","/players/matt-chapman/16505/stats/batting",30,"NL","Matt Chapman",656305,"16505","16505","batx","thebatx",2026
"BAL","Orioles",137.748,489.554,559.804,122.74,79.6502,24.4297,1.20861,17.4511,66.2995,64.2066,60.808,1.84086,89.4731,3.83009,4.98559,0.625919,10.9066,1.06209,0.37683,0.250717,0.335095,0.412497,0.747592,0.326336,0.108624,0.159829,0.679624,0.16178,2.49687,0.271631,,,72.1816,6.03642,5.56,-0.882292,-0.882292,3.78569,6.23627388477325,11.4974136352539,110.789,630.8,4.571014492,630.8,4.571014492,150.830001831055,0.1978022,"C/DH","/players/adley-rutschman/26288/stats/batting",2,"AL","Adley Rutschman",668939,"26288","26288","batx","thebatx",2026
"SDP","Padres",142.772,554.22,606.554,150.598,92.444,33.7787,1.86003,22.5152,76.9949,78.8995,41.0487,1.95363,120.375,3.17214,5.14442,2.96873,9.61095,9.24713,2.40928,0.271729,0.322769,0.461265,0.784034,0.335763,0.0676753,0.198457,0.341007,0.189535,4.4712,0.307541,,,82.8519,11.1829,0.13,-0.0265374,-0.0265374,3.70258,13.8713174108416,2.13742506504059,119.332,761.3,5.323776223,761.3,5.323776223,70.620002746582,0,"OF","/players/jackson-merrill/29490/stats/batting",29,"NL","Jackson Merrill",701538,"29490","29490","batx","thebatx",2026
"ATL","Braves",145.948,563.658,626.003,145.955,85.2305,28.3507,2.79135,29.5822,82.3785,89.839,48.4563,0.897425,161.857,8.43807,4.93326,0.517478,9.85727,2.47773,0.854383,0.258942,0.324307,0.476592,0.800899,0.343227,0.0774059,0.258557,0.299377,0.21765,3.57712,0.308556,,,89.302,15.3349,-0.75,-0.786677,-0.786677,3.70178,14.2269598245621,1.12690317630768,120.236,802.9,5.499315068,802.9,5.499315068,62.4000015258789,0,"3B","/players/austin-riley/18360/stats/batting",16,"NL","Austin Riley",663586,"18360","18360","batx","thebatx",2026
"LAA","Angels",148.063,567.414,633.985,141.074,83.7265,28.8444,2.13998,26.3634,85.217,75.4612,43.3732,2.83024,158.369,16.094,3.87722,3.22613,8.41915,26.9391,8.13481,0.248627,0.317937,0.446392,0.764328,0.329264,0.0684137,0.2498,0.273874,0.197765,5.87266,0.296749,,,83.2537,8.34353,-1.66,1.12984,1.12984,3.65816,8.73929715156555,5.19476878643036,110.184,768.4,5.191891891,768.4,5.191891891,29.7199993133545,0,"SS","/players/zach-neto/31347/stats/batting",1,"AL","Zach Neto",687263,"31347","31347","batx","thebatx",2026
