"season","team","oaa","drs","uzr"
2021,"ATH",26,-10,4.832858402282
2021,"ATL",9,15,-6.346486216411
2021,"BAL",-12,-37,-4.07914664503187
2021,"BOS",-35,-20,-4.17472799262032
2021,"CHC",14,11,9.61456593684852
2021,"CHW",-1,-47,6.45030742499512
2021,"CIN",-30,-49,-16.9004757237271
2021,"CLE",13,0,6.92192130535841
2021,"COL",6,66,42.5883137343917
2021,"DET",-12,-79,-35.7604487382341
2021,"HOU",31,48,11.2874276661314
2021,"KCR",29,19,26.9005600176524
2021,"LAA",-11,-41,-17.2963413466641
2021,"LAD",-11,4,-15.645040332136
2021,"MIA",-11,16,-9.11526250153838
2021,"MIL",-9,35,29.4712048131041
2021,"MIN",16,0,-21.659155841684
2021,"NYM",20,16,-15.6530553770717
2021,"NYY",-3,-57,-4.02168572787195
2021,"PHI",-22,-48,-5.94788975408301
2021,"PIT",28,-3,-10.3749894942739
2021,"SDP",0,5,-14.0009877865668
2021,"SEA",3,-16,-15.2313093690609
2021,"SFG",33,-3,-0.14883850410115
2021,"STL",55,86,31.7538262414746
2021,"TBR",32,61,13.3170758499764
2021,"TEX",5,62,29.4992591775954
2021,"TOR",-12,25,13.7829009110428
2021,"WSN",-18,-4,-14.4304677726759
2022,"ARI",31,33,32.3643301901757
2022,"ATH",-13,-17,-12.612433395283
2022,"ATL",23,3,-24.3992369191255
2022,"BAL",14,26,23.9384944639169
2022,"BOS",-7,-42,-16.5246315859258
2022,"CHC",-12,-14,2.67691389867105
2022,"CHW",-13,-46,-43.6303168528102
2022,"CIN",-22,-29,0.12297964701429
2022,"CLE",34,54,33.8679476417601
2022,"COL",5,13,13.8823359492235
2022,"DET",8,-9,-10.8254232960171
2022,"HOU",24,14,5.65138165280223
2022,"KCR",10,-44,9.06326992996037
2022,"LAA",0,-1,-7.01244976077578
2022,"LAD",10,33,1.09413114433119
2022,"MIA",10,10,2.71885907248361
2022,"MIL",1,31,5.92017193045467
2022,"MIN",-12,8,0.453488272149116
2022,"NYM",13,4,-9.1387664672125
2022,"NYY",11,89,29.6400972548872
2022,"PHI",-38,-37,-10.9484596177936
2022,"PIT",-14,-23,-18.9976346247131
2022,"SDP",41,1,12.2090281900018
2022,"SEA",-11,4,0.574764792108908
2022,"SFG",-11,-72,-23.504398192279
2022,"STL",27,55,39.5688378103077
2022,"TBR",-13,-10,-4.78663729358232
2022,"TEX",4,-6,0.715334477601573
2022,"TOR",-2,7,-32.916166620329
2022,"WSN",-23,-46,-6.27349636331201
2023,"ARI",34,46,31.713241532445
2023,"ATH",-18,-79,-24.8141223816201
2023,"ATL",-8,7,-19.0470733895781
2023,"BAL",-14,40,32.1382994251326
2023,"BOS",-24,-13,8.14228569157422
2023,"CHC",34,27,4.4614522884367
2023,"CHW",-4,-62,-19.7882399391383
2023,"CIN",-21,-54,-18.2859177719802
2023,"CLE",44,24,11.7667645053007
2023,"COL",23,28,35.707266499754
2023,"DET",-9,-21,-33.7227206011303
2023,"HOU",3,-1,12.0741153229028
2023,"KCR",30,-24,6.80571339465678
2023,"LAA",6,-1,-18.7519302966539
2023,"LAD",4,35,12.7362933307886
2023,"MIA",-25,-18,-13.7777710801747
2023,"MIL",33,61,38.7132774286438
2023,"MIN",-1,16,-6.34798763063736
2023,"NYM",1,-22,-7.52923866850324
2023,"NYY",5,7,-11.9468767219223
2023,"PHI",2,-27,-18.3386005740904
2023,"PIT",16,-17,-18.5635766977211
2023,"SDP",31,15,25.0751561605139
2023,"SEA",21,-6,-2.00936262030154
2023,"SFG",22,-27,-16.9854556405917
2023,"STL",-1,-39,-17.0888174067077
2023,"TBR",6,29,3.14356177305672
2023,"TEX",36,39,26.6740185150411
2023,"TOR",5,59,29.0216801781207
2023,"WSN",-6,-17,-14.3112811287865
2024,"ARI",47,17,24.9665234591812
2024,"ATH",-15,-78,-5.89677714044228
2024,"ATL",6,16,3.2303475982626
2024,"BAL",-2,-12,8.73335698652954
2024,"BOS",-13,36,-4.84302559791831
