"park_era_half_id","park_era_id","half","n_bbe","venue_id","venue_name","home_team","park_effect","park_se","half_effect","half_se","delta_overall","delta_half","pf_index_overall","pf_index_half","component"
"venue_680__base__1H","venue_680__base","1H",22039,"680","T-Mobile Park","SEA",-0.00535414644464343,0.00197470436035605,0,0,-0.00535414644464343,-0.00535414644464343,-16.6684593563555,-16.6684593563555,"double_resid"
"venue_680__base__2H","venue_680__base","2H",20006,"680","T-Mobile Park","SEA",-0.00535414644464343,0.00197470436035605,0,0,-0.00535414644464343,-0.00535414644464343,-16.6684593563555,-16.6684593563555,"double_resid"
"venue_3289__base__1H","venue_3289__base","1H",12988,"3289","Citi Field","NYM",-0.00542009510866864,0.00210990284644278,0,0,-0.00542009510866864,-0.00542009510866864,-18.1055005557289,-18.1055005557289,"double_resid"
"venue_3289__base__2H","venue_3289__base","2H",14924,"3289","Citi Field","NYM",-0.00542009510866864,0.00210990284644278,0,0,-0.00542009510866864,-0.00542009510866864,-18.1055005557289,-18.1055005557289,"double_resid"
"venue_1__base__1H","venue_1__base","1H",23048,"1","Angel Stadium","LAA",-0.00548176273398212,0.00197956294925201,0,0,-0.00548176273398212,-0.00548176273398212,-19.4492566355962,-19.4492566355962,"double_resid"
"venue_1__base__2H","venue_1__base","2H",19937,"1","Angel Stadium","LAA",-0.00548176273398212,0.00197956294925201,0,0,-0.00548176273398212,-0.00548176273398212,-19.4492566355962,-19.4492566355962,"double_resid"
"venue_4__base__1H","venue_4__base","1H",22101,"4","Guaranteed Rate Field","CHW",-0.00551752194708731,0.00197506095215485,0,0,-0.00551752194708731,-0.00551752194708731,-20.2284606308384,-20.2284606308384,"double_resid"
"venue_4__base__2H","venue_4__base","2H",20907,"4","Guaranteed Rate Field","CHW",-0.00551752194708731,0.00197506095215485,0,0,-0.00551752194708731,-0.00551752194708731,-20.2284606308384,-20.2284606308384,"double_resid"
"venue_2523__steinbrenner__1H","venue_2523__steinbrenner","1H",2572,"2523","George M. Steinbrenner Field","TBR",-0.00583056119275903,0.00326272032236523,0,0,-0.00583056119275903,-0.00583056119275903,-27.0496798276224,-27.0496798276224,"double_resid"
"venue_2523__steinbrenner__2H","venue_2523__steinbrenner","2H",1499,"2523","George M. Steinbrenner Field","TBR",-0.00583056119275903,0.00326272032236523,0,0,-0.00583056119275903,-0.00583056119275903,-27.0496798276224,-27.0496798276224,"double_resid"
"venue_3313__base__1H","venue_3313__base","1H",22046,"3313","Yankee Stadium","NYY",-0.0060181007322366,0.00197796752999378,0,0,-0.0060181007322366,-0.0060181007322366,-31.1362227276841,-31.1362227276841,"double_resid"
"venue_3313__base__2H","venue_3313__base","2H",19849,"3313","Yankee Stadium","NYY",-0.0060181007322366,0.00197796752999378,0,0,-0.0060181007322366,-0.0060181007322366,-31.1362227276841,-31.1362227276841,"double_resid"
