"park_era_hand_id","park_era_id","hand","n_bbe","venue_id","venue_name","home_team","park_effect","park_se","hand_effect","hand_se","delta_hand","pf_index_hand","hand_se_combined","component"
"venue_17__base__L","venue_17__base","L",17237,"17","Wrigley Field","CHC",-0.00216185995935672,0.00234715908914641,0.000514792373156895,0.00189398165030162,-0.00164706758619982,80.0669818528234,0.00301601098828267,"xbh_resid"
"venue_17__base__R","venue_17__base","R",25119,"17","Wrigley Field","CHC",-0.00216185995935672,0.00234715908914641,-0.00066789422534017,0.00188682827407292,-0.00282975418469689,65.753960561052,0.00301152398722035,"xbh_resid"
"venue_19__base__L","venue_19__base","L",18908,"19","Coors Field","COL",0.0176128456575586,0.00231868723550528,-0.00094354282887397,0.00188132828589328,0.0166693028286846,301.733989891439,0.00298591805235798,"xbh_resid"
"venue_19__base__R","venue_19__base","R",27529,"19","Coors Field","COL",0.0176128456575586,0.00231868723550528,0.00219087583984633,0.00187431790185886,0.0198037214974049,339.667117061165,0.00298150601094879,"xbh_resid"
"venue_1__base__L","venue_1__base","L",15747,"1","Angel Stadium","LAA",-0.00445833056068416,0.0023479323479188,-0.000422640728280331,0.00189870332636961,-0.00488097128896449,40.9298743451967,0.00301957954556102,"xbh_resid"
"venue_1__base__R","venue_1__base","R",27238,"1","Angel Stadium","LAA",-0.00445833056068416,0.0023479323479188,0.000106903964879733,0.0018883542619527,-0.00435142659580443,47.3384905227844,0.00301308282810786,"xbh_resid"
"venue_22__base__L","venue_22__base","L",17839,"22","Dodger Stadium","LAD",0.00322736995169459,0.00235050741759394,-0.000773584981040002,0.00189637571947081,0.00245378497065459,129.696012937864,0.0030201201945556,"xbh_resid"
"venue_22__base__R","venue_22__base","R",23634,"22","Dodger Stadium","LAD",0.00322736995169459,0.00235050741759394,0.00100214572344875,0.00189089874880836,0.00422951567514334,151.186128251674,0.00301668413964889,"xbh_resid"
"venue_2392__base__L","venue_2392__base","L",15159,"2392","Minute Maid Park","HOU",0.00392293577506922,0.00235820268022184,0.000494554942051955,0.0019054681132116,0.00441749071712117,153.461025744864,0.00303181935666881,"xbh_resid"
"venue_2392__base__R","venue_2392__base","R",27187,"2392","Minute Maid Park","HOU",0.00392293577506922,0.00235820268022184,-0.00021673457234077,0.00189448220300709,0.00370620120272845,144.852910985592,0.00302492689143326,"xbh_resid"
"venue_2394__base__L","venue_2394__base","L",10779,"2394","Comerica Park","DET",-0.00596543946430339,0.0025516416375465,-0.0015346440102956,0.0019602629871252,-0.00750008347459899,9.23305075206329,0.0032176864398437,"xbh_resid"
"venue_2394__base__R","venue_2394__base","R",19326,"2394","Comerica Park","DET",-0.00596543946430339,0.0025516416375465,0.00111217454036548,0.0019477638700362,-0.00485326492393791,41.2651802436883,0.00321008709225768,"xbh_resid"
"venue_2394__cf_in_412__L","venue_2394__cf_in_412","L",6213,"2394","Comerica Park","DET",-0.00397955305761227,0.00302635908082688,0.000393075681922122,0.00205622795022626,-0.00358647737569015,56.5960017590942,0.00365881438028701,"xbh_resid"
"venue_2394__cf_in_412__R","venue_2394__cf_in_412","R",8197,"2394","Comerica Park","DET",-0.00397955305761227,0.00302635908082688,-0.000674905659551449,0.00204893817630756,-0.00465445871716372,43.6711578493459,0.00365472255259326,"xbh_resid"
"venue_2395__base__L","venue_2395__base","L",9417,"2395","AT&T Park","SFG",-0.00946557659631005,0.00276976810527988,0.000522976894429604,0.00200802571741465,-0.00894259970188045,-8.22446123889247,0.00342107916289938,"xbh_resid"
"venue_2395__base__R","venue_2395__base","R",11566,"2395","AT&T Park","SFG",-0.00946557659631005,0.00276976810527988,-0.00119332434344399,0.00200262737344213,-0.010658900939754,-28.9953537069357,0.00341791336254818,"xbh_resid"
"venue_2395__bullpen_center__L","venue_2395__bullpen_center","L",9792,"2395","Oracle Park","SFG",-0.00695110284639718,0.0026780072568407,-0.00012777824231633,0.00198915298304346,-0.00707888108871351,14.3304947621543,0.00333593352116647,"xbh_resid"
"venue_2395__bullpen_center__R","venue_2395__bullpen_center","R",12787,"2395","Oracle Park","SFG",-0.00695110284639718,0.0026780072568407,-0.000364495420417954,0.00198286787708134,-0.00731559826681514,11.4657138348975,0.00333218965331394,"xbh_resid"
"venue_2397__base__L","venue_2397__base","L",39,"2397","Tokyo Dome","CHC",0.00018106600167989,0.00812539472486691,1.38011528704723e-06,0.00225221335463857,0.000182446116966938,102.207985750466,0.00843175571454174,"xbh_resid"
"venue_2397__base__R","venue_2397__base","R",49,"2397","Tokyo Dome","CHC",0.00018106600167989,0.00812539472486691,1.14428893228698e-05,0.00225148001432687,0.00019250889100276,102.329766701744,0.0084315598610108,"xbh_resid"
"venue_2523__steinbrenner__L","venue_2523__steinbrenner","L",1914,"2523","George M. Steinbrenner Field","TBR",-0.00587537924003336,0.00451769926189692,-0.000572979839365001,0.00217531750914349,-0.00644835907939836,21.9611510625864,0.00501414129104179,"xbh_resid"
"venue_2523__steinbrenner__R","venue_2523__steinbrenner","R",2157,"2523","George M. Steinbrenner Field","TBR",-0.00587537924003336,0.00451769926189692,0.000156888389943527,0.00217253421100874,-0.00571849085008983,30.7941077558945,0.00501293442196757,"xbh_resid"
"venue_2529__sutter_health__L","venue_2529__sutter_health","L",2408,"2529","Sutter Health Park","ATH",0.0128124016784114,0.00390337737537683,0.000753495073686243,0.00215200299346808,0.0135658967520977,264.176180994604,0.00445729422615327,"xbh_resid"
"venue_2529__sutter_health__R","venue_2529__sutter_health","R",3880,"2529","Sutter Health Park","ATH",0.0128124016784114,0.00390337737537683,0.000153872870942182,0.00213896975697956,0.0129662745493536,256.919478022066,0.00445101635088852,"xbh_resid"
"venue_2536__base__L","venue_2536__base","L",8,"2536","TD Ballpark","TOR",-0.000768565481562904,0.0082857106626831,2.21400598599206e-06,0.00225459489144545,-0.000766351475576912,90.7255184925138,0.00858697847384238,"xbh_resid"
"venue_2536__base__R","venue_2536__base","R",38,"2536","TD Ballpark","TOR",-0.000768565481562904,0.0082857106626831,-5.66434329444974e-05,0.00225229837167922,-0.000825208914507402,90.0132183974068,0.00858637578613755,"xbh_resid"
"venue_2536__dunedin__L","venue_2536__dunedin","L",251,"2536","TD Ballpark","TOR",0.0110044853395119,0.00609845509152088,-6.15810208427106e-05,0.00223805656514606,0.0109429043186692,232.432398156846,0.00649615668623305,"xbh_resid"
