"park_era_id","rank","team_id","team","park","years_used","overall_resid","bacon_resid","hr_resid","xbh_resid","carry_ft","bacon_idx_100","hr_idx_100","xbh_idx_100","carry_idx_100","overall_pf_idx_100","total_bbe","overall_se","bacon_se","hr_se","xbh_se","carry_se","bacon_rank","hr_rank","xbh_rank","carry_rank"
"venue_2__wall_medium",13,"BAL","Orioles","Oriole Park at Camden Yards","2025-2026",0.00702935331439464,0.00289022673527372,0.00457963873119137,0.00323309030817086,0.755906012472546,104.266267006731,108.15581909035,104.488168011672,101.577913453187,105.512883126195,6503,0.00575778972590745,0.00421800986218533,0.00253772999415345,0.00385691244581411,0.975464224769669,14,13,18,18
"venue_2523__steinbrenner",14,"TBR","Rays","George M. Steinbrenner Field","2025",0.00600130816964875,0.00266019681175729,0.00429668172552302,-0.00587537924003336,-3.78539710238525,103.92671957217,107.651904636841,91.8438129932154,92.0981851902198,104.706622225942,4071,0.0068680957679505,0.00492823218233328,0.00295362233077661,0.00451769926189692,1.088652144902,15,14,47,55
"venue_2536__base",15,"TOR","Blue Jays","Rogers Centre","2021",0.00577410724596705,0.00160595338525742,-0.00227829249243547,-0.000768565481562904,2.48097927143197,102.37054963828,95.9426185138328,98.9330792891072,105.178911958472,104.528436255995,46,0.0142853117289106,0.00804243885123904,0.00624804772496136,0.0082857106626831,4.09757636718548,18,41,28,10
"venue_15__base",16,"AZ","Diamondbacks","Chase Field","2015-2017",0.0056075429474944,0.00591698925357602,0.000213707505930463,0.0171213873350454,3.18214889531441,108.73407463978,100.380588919816,123.767867776844,106.642566185582,104.397805532312,12726,0.00464683149979852,0.00340269577557995,0.0021641486191399,0.00321310900086817,0.882451175678722,8,25,2,7
"venue_32__base",17,"MIL","Brewers","American Family Field","2015-2026",0.0048594440098154,0.000715504119817474,0.00466537815855364,0.00352266296121558,1.26703939884089,101.05615645384,108.308511322095,104.890152056232,102.644877160818,103.811096936825,41791,0.00321014857794804,0.00221484382952663,0.00170584573664283,0.00234986892637844,0.783752375739023,23,12,16,15
"venue_7__walls_in",18,"KC","Royals","Kauffman Stadium","2026",0.00190984143953172,0.000283298768925345,-0.000885776960804259,0.0075175227713121,4.25707081901332,100.418177638494,98.4225313241472,110.435806616584,108.886408422678,101.497823793267,2230,0.00831851537133902,0.00576503239150434,0.00352466076735749,0.0053051700444065,1.39139510380943,26,32,9,5
"venue_2__base",19,"BAL","Orioles","Oriole Park at Camden Yards","2015-2021",0.00165748953023605,-0.0015452988001005,0.00817968359617719,0.00281331950677435,-0.747249927904889,97.7189826645688,114.567092196889,103.90544321788,98.4401555252869,101.299912759292,25711,0.00369933361781841,0.00263543844987663,0.00185829166179104,0.00264952506402057,0.812440712967768,32,5,20,31
"venue_2756__base",20,"TOR","Blue Jays","Rogers Centre","2021",0.00144667025618604,0.000961762753399246,-0.000743767293510184,-0.000121328356671687,-1.10984644698929,101.419659105987,98.6754344947844,99.8315722735695,97.6832546131297,101.13457436092,41,0.0143248794177183,0.0080523518899202,0.00627026943134151,0.00830499971608706,3.9423932864204,21,31,27,34
"venue_3949__base",21,"STL","Cardinals","Busch Stadium","2024",0.00127142836901936,0.00125759400814677,-0.00191625058247356,0.000618280930419467,3.11753556211007,101.856335961228,96.58737424545,100.858296066347,106.507689295525,100.997138099068,32,0.0143972832829229,0.00807029710547825,0.00631194732781122,0.00834061128419797,4.13691441148684,19,38,24,8
"venue_14__of_renovation",22,"TOR","Blue Jays","Rogers Centre","2023-2026",8.505525696594e-05,0.00109388218943295,0.00191437415882169,0.00148822704693454,-2.69944216590583,101.61468075741,103.409284056623,102.06595312508,94.3650582535862,100.066705950004,14883,0.00432256570762022,0.00315217419358863,0.00205413265957842,0.00301088888057393,0.847675601647048,20,21,23,46
"venue_2735__base",23,"NYM","Mets","Citi Field","2018-2025",-1.68781014734053e-05,0.00224455076006142,-0.00411036111900196,-0.00376038385530631,-1.36749815924385,103.313183957405,92.6799113100752,94.7798443830507,97.1454203931081,99.9867630780779,235,0.0130014483756112,0.0076955195712635,0.00554308228962222,0.00763710769620135,2.68623004860166,16,44,40,38
"venue_15__humidor",24,"AZ","Diamondbacks","Chase Field","2018-2026",-0.000517887564128724,0.0017563082477362,-0.00572856898589253,0.00165520016290239,4.09418247598636,102.592488623644,89.7980659534545,102.297744793885,108.546387686328,99.593838368049,31896,0.00343131725560536,0.00241490618201133,0.00176889558067343,0.00247901332276974,0.794518395701687,17,48,22,6
"venue_12__trop_return",25,"TBR","Rays","Tropicana Field","2026",-0.000609969148653352,0.00047618091465466,0.00340378877829695,0.006510328934803,2.28038268827885,100.702891195556,106.061763192981,109.037622610607,104.760177280192,99.5216219078916,2241,0.00830726337859984,0.00575832048161134,0.00351995208054775,0.0053056872179024,1.4082844840666,24,15,11,12
"venue_22__base",26,"LAD","Dodgers","Dodger Stadium","2015-2026",-0.000978306125369809,-0.00439286898541705,0.00517164235691023,0.00322736995169459,-2.01927006370761,93.5156810402532,109.210110652508,104.480227026885,95.7848812730615,99.2327477237551,41473,0.00321369715446069,0.0022184687740781,0.00170686623772608,0.00235050741759394,0.782422230167966,48,9,19,42
"venue_5150__base",27,"LAD","Dodgers","Dodger Stadium","2024",-0.001691114489448,0.000374616711489779,-0.00454411118341866,-0.00493450394563538,-6.17985484607641,100.552972158499,91.9074514582546,93.1499337621879,87.0998822420888,98.6737163268687,123,0.0137141186461552,0.00789445417623648,0.00592720365594449,0.00800156188899988,2.95051236627931,25,45,44,57
"venue_5365__base",28,"KC","Royals","Kauffman Stadium","2019",-0.00214358884206003,-0.00132414121752777,-0.00227506577076178,-0.0015717333624986,0,98.045433626463,95.9483649405204,97.8181236127198,99.999999931595,98.3188560556608,44,0.0143181587743737,0.00805069597383803,0.00626639093504273,0.00830158470961873,,30,40,30,23
"venue_17__base",29,"CHC","Cubs","Wrigley Field","2015-2026",-0.0025605862991562,-0.00222953525817405,0.000749139390103574,-0.00216185995935672,-3.31208193210807,96.7089804421594,101.334132602777,96.9989113227715,93.0862053869532,97.9918191090054,42356,0.00320387072348953,0.00220706889171495,0.00170539230044816,0.00234715908914641,0.78299792287698,35,24,31,53
"venue_5__base",30,"CLE","Guardians","Progressive Field","2015-2023",-0.00262043390816773,-0.00343972113372665,-0.00034667022513693,0.00338442750714486,-2.28921396537943,94.9226236799402,99.3826195023682,104.698253938973,95.2213877626368,97.944882661354,32827,0.00342682076455839,0.00240913643395203,0.00177027652132934,0.00247715627304424,0.795360225860408,43,29,17,44
