"bacon","hr","xbh"
0.368824419496284,0.194481781647455,0.436693798856261
0.38287714375247,0.17406394838363,0.4430589078639
0.344553879434647,0.221898499768747,0.433547620796606
0.292409001707536,0.173534834747473,0.534056163544991
0.282770068427574,0.269622604860371,0.447607326712054
0.304693392928712,0.247199129909329,0.448107477161959
0.450688572567801,0.208104059318212,0.341207368113987
0.256737515546051,0.259252408380581,0.484010076073368
0.25183393275763,0.192955109226814,0.555210958015556
0.297555637013409,0.166262229293376,0.536182133693215
0.43524862874485,0.200222173334924,0.364529197920227
0.371431796160209,0.191207862618124,0.437360341221667
0.301581288615762,0.192731283275836,0.505687428108402
0.308278933124246,0.30922743073466,0.382493636141094
0.307966441753059,0.166798619704348,0.525234938542592
0.374603249390959,0.240298692759553,0.385098057849488
0.207746441536878,0.173827423340869,0.618426135122253
0.245072435190134,0.220758505905197,0.534169058904669
0.322152076739262,0.292810462815572,0.385037460445166
0.287354964460204,0.169153768250628,0.543491267289168
0.304536109884942,0.205559725742318,0.48990416437274
0.337180052703433,0.198601102813091,0.464218844483475
0.317174534441566,0.315096940850071,0.367728524708362
0.372860490466654,0.288407046410451,0.338732463122895
0.357133698439277,0.198509344307485,0.444356957253239
0.356016104338805,0.254463493598306,0.389520402062889
0.301731862522446,0.262502099745507,0.435766037732048
0.347169019144736,0.200312837512984,0.45251814334228
0.30010463541573,0.2055883268222,0.494307037762069
0.379734605381555,0.21570227257499,0.404563122043455
0.378075368929195,0.177951235109611,0.443973395961194
0.345138786705882,0.185247727738031,0.469613485556087
0.382993376212764,0.1903105519762,0.426696071811036
0.489861822607483,0.231703390941946,0.278434786450571
0.33004426987877,0.229790396769318,0.440165333351913
0.419263498599972,0.244586514653744,0.336149986746283
0.302526532639543,0.199180118514191,0.498293348846266
0.241877492712001,0.19925905853776,0.558863448750239
0.300737885331309,0.336117666647315,0.363144448021376
0.298288452856334,0.193414667330566,0.5082968798131
0.262569717392104,0.150441580426058,0.586988702181837
0.280379157969478,0.312191621099289,0.407429220931233
0.325109295097147,0.224420402303124,0.450470302599729
0.332505043821238,0.139046470744377,0.528448485434385
0.294937343800587,0.278777350331579,0.426285305867835
0.376475067771956,0.222070122353539,0.401454809874505
0.385306358548171,0.193927157096819,0.42076648435501
0.366548360373894,0.208480436947444,0.424971202678661
0.330922200515026,0.259415425742597,0.409662373742376
0.226936415602364,0.198778677789909,0.574284906607727
0.387567192114468,0.259473392541398,0.352959415344135
0.315093304131824,0.212127167683451,0.472779528184725
0.286996312896575,0.1243269084874,0.588676778616025
0.399405368409379,0.192667005419411,0.40792762617121
0.32282945789926,0.266476002808392,0.410694539292347
0.325908756022044,0.149429600762953,0.524661643215002
0.408316229314075,0.24235893576938,0.349324834916545
0.376107111282796,0.15269753541536,0.471195353301844
0.31735997252194,0.163856502559195,0.518783524918865
0.406809363033242,0.244441906498378,0.34874873046838
0.387687601668664,0.208027699538475,0.404284698792861
0.316592572610255,0.259374604933264,0.424032822456481
0.279354015325198,0.264151975126233,0.456494009548569
0.375859724843992,0.23759532150479,0.386544953651218
0.304041326621308,0.256482419244947,0.439476254133745
0.29125181548786,0.171984439568967,0.536763744943174
0.386731433973969,0.32533967657199,0.287928889454041
0.257941056495786,0.195411711474148,0.546647232030066
0.4254285861864,0.250413798902882,0.324157614910718
0.382444795452487,0.141687273552638,0.475867930994875
0.314993311791157,0.164491495681782,0.520515192527062
0.313206742489358,0.199362466057954,0.487430791452687
0.330611589626993,0.304193305743112,0.365195104629894
0.381805569697538,0.194180568386176,0.424013861916286
0.282662743230186,0.267203981111944,0.45013327565787
0.375081756894657,0.128956787433836,0.495961455671508
0.321947382094164,0.166103013964206,0.51194960394163
0.324886683317723,0.1999631933374,0.475150123344877
0.332431846333068,0.151246237101001,0.516321916565931
0.267154741212877,0.348002484190234,0.384842774596889
0.30928167407229,0.289821960256798,0.400896365670912
0.356337267574593,0.198730038169382,0.444932694256024
0.355654984155715,0.23585733453758,0.408487681306705
0.344456827791278,0.252763447993087,0.402779724215635
0.330184228330964,0.17189673966949,0.497919031999546
0.248013294570604,0.186047525583234,0.565939179846162
0.2741790417388,0.20456291555245,0.521258042708749
