"park_era_half_id","park_era_id","half","park_effect","park_se","half_effect","half_se","delta","idx_100"
"venue_5365__base__1H","venue_5365__base","1H",-0.000328276481793074,0.00983636774839334,-1.38071742612871e-15,2.06309538032542e-08,-0.000328276481794455,99.851793620678
"venue_5381__base__1H","venue_5381__base","1H",-0.00649686019356434,0.0088883470911861,-2.73255276630827e-14,2.06309538032466e-08,-0.00649686019359166,97.0668744803464
"venue_5445__base__2H","venue_5445__base","2H",0.0029593892205605,0.00963495197391532,1.24470697541496e-14,2.06309538032525e-08,0.00295938922057295,101.336070007172
"venue_5__base__1H","venue_5__base","1H",-3.30443776039285e-05,0.00406418597297891,5.7507866376542e-14,2.06309538029571e-08,-3.30443775464207e-05,99.9850815156592
"venue_5__base__2H","venue_5__base","2H",-3.30443776039285e-05,0.00406418597297891,-5.76468496780071e-14,2.06309538029552e-08,-3.30443776615754e-05,99.9850815156072
"venue_5__wind_tunnel__1H","venue_5__wind_tunnel","1H",0.00596892401889563,0.00497070330344623,3.50564391494814e-14,2.06309538031537e-08,0.00596892401893068,102.694779146097
"venue_5__wind_tunnel__2H","venue_5__wind_tunnel","2H",0.00596892401889563,0.00497070330344623,-9.95138939147461e-15,2.06309538031567e-08,0.00596892401888567,102.694779146077
"venue_6130__base__2H","venue_6130__base","2H",-0.000129313998642262,0.00984073853792827,-5.43889377614036e-16,2.06309538032543e-08,-0.000129313998642806,99.9416188469252
"venue_680__base__1H","venue_680__base","1H",0.0204257201696778,0.00390917325060624,-1.82764192310885e-14,2.06309538028614e-08,0.0204257201696596,109.221562308825
"venue_680__base__2H","venue_680__base","2H",0.0204257201696778,0.00390917325060624,1.04186160996742e-13,2.06309538028629e-08,0.020425720169782,109.22156230888
"venue_7__base__1H","venue_7__base","1H",-0.017526720357033,0.00394615982600604,1.52913354094315e-13,2.06309538028799e-08,-0.0175267203568801,92.0872438035062
"venue_7__base__2H","venue_7__base","2H",-0.017526720357033,0.00394615982600604,-2.26630021480351e-13,2.06309538028793e-08,-0.0175267203572596,92.0872438033348
"venue_7__walls_in__1H","venue_7__walls_in","1H",-0.0117788098332607,0.00686652567636608,-5.24037967666854e-14,2.06309538032256e-08,-0.0117788098333131,94.6822423934388
"venue_7__walls_in__2H","venue_7__walls_in","2H",-0.0117788098332607,0.00686652567636608,2.86260542997988e-15,2.0630953803239e-08,-0.0117788098332579,94.6822423934637
