"park_era_id","rank","team_id","team","park","years_used","overall_resid","bacon_resid","hr_resid","xbh_resid","carry_ft","bacon_idx_100","hr_idx_100","xbh_idx_100","carry_idx_100","overall_pf_idx_100","total_bbe","overall_se","bacon_se","hr_se","xbh_se","carry_se","bacon_rank","hr_rank","xbh_rank","carry_rank","team_token","team_norm","park_suffix","year_end","year_start","k_resid","k_n_pa","k_idx_100","Rank"
"venue_4705__suntrust",36,"ATL","Braves","Truist Park","2017-2026",-0.00435804550897203,-0.000448403221094442,-0.00123040996777365,-0.00290268326100548,0.849508135090236,99.3187309673022,96.1899536377282,95.234095590501,102.924749099474,96.3859919882586,35295,0.00345070791261642,0.0023640772580794,0.0017656740798439,0.0025040936309786,0.782026830117563,26,35,37,18,"atl","ATL","suntrust",2026,2017,0.00468013069723156,53064,104.092664668036,18
"venue_3313__base",38,"NYY","Yankees","Yankee Stadium","2015-2026",-0.0054940907073604,-0.00639148082935071,0.00602239851800844,-0.00156667199144175,-2.34029849814345,91.6246561213873,111.778697958584,97.2688244962132,93.4251274053365,95.4071357285739,42360,0.00331029342481535,0.00223332680964903,0.00172490997824216,0.00242083858123598,0.775341828118935,52,7,29,44,"nyy","NYY","base",2026,2015,0.00548591229814536,64513,104.969452527272,19
"venue_3312__base",39,"MIN","Twins","Target Field","2015-2026",-0.0055917556815166,0.000536455811986462,-0.00229526205756967,-4.0335325354768e-05,-0.0241671390215517,100.593757075437,93.9012254850547,99.5934166647731,100.322840726373,95.3229841724207,45172,0.00326490426065772,0.00219233412993034,0.00171051741571613,0.00239668621105999,0.772257291888615,25,40,26,24,"min","MIN","base",2026,2015,-0.00612278901960158,66112,92.3377811595527,20
"venue_3309__base",40,"WSH","Nationals","Nationals Park","2015-2026",-0.00574784682420047,-0.00227549866199336,-5.69222450137843e-05,-0.00348000487492877,-1.65287963389372,96.9533219991648,98.7121765958592,94.3548417978846,95.47234214486,95.1884905868537,44952,0.0032672787446202,0.00219437947937985,0.00171132831101096,0.00239653881595919,0.773480097966242,37,27,40,39,"wsh","WSH","base",2026,2015,-0.00562830028890682,65804,92.8758447181032,21
"venue_4169__fence_reduced",41,"MIA","Marlins","loanDepot park","2021-2026",-0.00641230375223369,-0.00179454945852309,-0.00476693220621268,-0.00341650343829553,-1.39011970577018,97.5759723181582,88.5887683771331,94.4515537131322,96.2548723106531,94.6159712678875,23523,0.00382290188830549,0.00268963734164575,0.00187970063281779,0.00272425414494286,0.805028705300448,34,47,38,38,"mia","MIA","fence_reduced",2026,2021,-0.00171351050436412,34894,97.1356095857244,22
"venue_5325__globe_life",42,"TEX","Rangers","Globe Life Field","2021-2026",-0.0070750784411498,-0.0025136161657214,0.000861186498128476,-0.002709778589262,1.83658425623007,96.6450484048135,100.68550354688,95.527887058122,105.864378616965,94.0449014249566,23232,0.00383535759338211,0.0027045389976835,0.00188309484704966,0.00272948787697763,0.802775158185663,38,24,34,12,"tex","TEX","globe_life",2026,2021,0.00235244281148463,34199,101.559858662042,23
"venue_31__base",44,"PIT","Pirates","PNC Park","2015-2026",-0.00743464856321512,-0.00325017460350796,-0.00608398902875154,-0.00223717592044318,0.0230825192456726,95.691479206786,85.757966750033,96.2476551716623,100.463555801086,93.7350832370196,44725,0.00327326373242446,0.00219801107797058,0.00171322535106795,0.00240144365710663,0.774232548435509,42,51,33,22,"pit","PIT","base",2026,2015,-0.0125263623179717,66133,85.36991875444,24
"venue_1__base",45,"LAA","Angels","Angel Stadium","2015-2026",-0.00765064922384947,-0.00562087426657495,0.00220103621791596,-0.00493895271993876,-0.289785588738058,92.6223049763363,103.565294837534,92.1328819837748,99.5317975449457,93.5489695163174,43595,0.00329915962614439,0.00221544240943528,0.0017228730147663,0.00241855724257466,0.774606595094234,50,19,44,28,"laa","LAA","base",2026,2015,0.0100388818929665,65181,109.923634230704,25
"venue_2680__base",47,"SDP","Padres","Petco Park","2015-2026",-0.00808247863363993,-0.00639936095255365,-0.00187311513875554,-0.00615749238534826,-3.29554068580225,91.6144542930225,94.8085623320335,90.2770609016852,90.5803031095643,93.1768901998527,42512,0.00330660237545616,0.0022303350225689,0.00172271444628283,0.00241862108761491,0.775831769467315,53,37,49,52,"sdp","SDP","base",2026,2015,0.00630183505885247,64247,105.857275195165,26
"venue_2395__bullpen_center",48,"SFG","Giants","Oracle Park","2021-2026",-0.00811205200688595,-0.00117402331054934,-0.00929897060851884,-0.007495456346712,-1.99336970522326,98.379322861608,78.8478813753123,88.2393580701238,94.4583224125851,93.1514087475628,23263,0.00383159183538898,0.00270074199136057,0.00188146639961283,0.00272635580042564,0.806023589316433,30,58,52,41,"sfg","SFG","bullpen_center",2026,2021,-0.00639074046953592,34296,92.0462175672583,27
"venue_3289__rf_in_362",52,"NYM","Mets","Citi Field","2023-2026",-0.0117931246513761,-0.0084873835062016,-0.000311454491703193,-0.00608852949864375,-3.09960266563021,88.911241771381,98.1651005048757,90.3820905389314,91.1638297245446,89.9796678647839,14811,0.00438924749524336,0.00316625373345067,0.00205899280971859,0.00305491645521324,0.840150683761846,57,28,48,50,"nym","NYM","rf_in_362",2026,2023,0.00607916443385591,22553,105.614982618139,28
"venue_680__base",55,"SEA","Mariners","T-Mobile Park","2015-2026",-0.0160846020494605,-0.0130892591621781,0.00129711602035009,-0.00683291681559481,-3.66248790594093,82.9535245644765,101.622463881232,89.2483977136152,89.4874908567103,86.2819809062286,42564,0.00330304375031923,0.00223082370178611,0.00172117013377276,0.00241589431534537,0.774290598344562,59,22,51,54,"sea","SEA","base",2026,2015,0.0204257201696778,64407,121.225770797909,29
"venue_2889__base",59,"STL","Cardinals","Busch Stadium","2015-2026",-0.0186086125933291,-0.00776707862816424,-0.00751672138903373,-0.0108932262026348,-0.886811883710321,89.8437686553977,82.6785391753992,83.0645959267914,97.7537825754492,84.1072051808607,44977,0.00327738728818437,0.00219842777657586,0.00171640469875739,0.00240588537080556,0.774508348220682,55,56,58,32,"stl","STL","base",2026,2015,-0.0108626980282968,65317,87.1801867592905,30
