"park_era_id","home_team","overall_n_bbe","overall_delta","overall_se","bacon_n_bbe","bacon_delta","bacon_se","hr_n_bbe","hr_delta","hr_se","xbh_n_bbe","xbh_delta","xbh_se","carry_n_bbe","carry_delta","carry_se","team_id","team","park","years_used","team_token","team_norm","park_suffix","year_end","year_start","total_bbe","overall_resid","bacon_resid","hr_resid","xbh_resid","carry_ft","k_resid","bacon_idx_100","hr_idx_100","xbh_idx_100","carry_idx_100","k_idx_100","overall_pf_idx_100","Rank"
"venue_12__trop_return","TBR",668,-0.000843500396429208,0.0076903395390087,668,-0.000589041088356775,0.00538650044792834,668,0.00284746125777773,0.00328147286804052,668,0.00784571638054309,0.00500934319723048,668,1.94198195237737,1.19968478452663,"TBR","Rays","Tropicana Field","2026","tbr","TBR","trop_return",2026,2026,668,-0.000843500396429208,-0.000589041088356775,0.00284746125777773,0.00784571638054309,1.94198195237737,0.00491644864747903,99.1181826475006,104.851321918631,111.436693625845,105.395431968696,104.34980718586,99.3875509557526,11
"venue_14__of_renovation","TOR",6681,-0.00094125937339252,0.00436474340440257,6681,0.000673844995792302,0.00313696233535889,6681,0.00124570856236559,0.00205744742028275,6681,0.0011173236420983,0.00304609374313251,6681,-3.02183270896458,0.837016214821418,"TOR","Blue Jays","Rogers Centre","2023-2026","tor","TOR","of_renovation",2026,2023,6681,-0.00094125937339252,0.000673844995792302,0.00124570856236559,0.0011173236420983,-3.02183270896458,0.00427209983853474,100.725400540451,101.431626703726,101.257632388174,91.1432308111068,103.648677733222,99.3044763073887,12
"venue_15__humidor","AZ",15286,-0.00146079398275795,0.00351754156235859,15286,0.0016925539236971,0.00242624597962703,15286,-0.0060752976131337,0.001783832805523,15286,0.000564228697161222,0.00254159263472376,15286,4.29133330429423,0.786263947416581,"AZ","Diamondbacks","Chase Field","2018-2026","az","AZ","humidor",2026,2018,15286,-0.00146079398275795,0.0016925539236971,-0.0060752976131337,0.000564228697161222,4.29133330429423,-0.00583521497910881,102.021865231279,85.8014923775268,100.420881690999,112.140935244259,92.6506965041659,98.8629807401619,13
"venue_4__base","CHW",21551,-0.00239309629060693,0.00329379106483237,21551,-0.00345061487186775,0.00221452131727553,21551,0.00251280671415417,0.00172065512674666,21551,-0.00523331643320385,0.00241382963478377,21551,-1.85278166248202,0.774463611906526,"CHW","White Sox","Rate Field","2015-2026","chw","CHW","base",2026,2015,21551,-0.00239309629060693,-0.00345061487186775,0.00251280671415417,-0.00523331643320385,-1.85278166248202,0.000340612304698727,95.4763873624124,104.136844243798,91.6500549565621,94.4998329033886,99.3707436944088,98.0707191105982,14
"venue_17__base","CHC",21529,-0.0028222531446136,0.00330276628937116,21529,-0.0022841311336721,0.00222524393834923,21529,0.000878187227192186,0.00172286643144794,21529,-0.0019660187356387,0.00241774377498094,21529,-2.97580417917483,0.775104902347572,"CHC","Cubs","Wrigley Field","2015-2026","chc","CHC","base",2026,2015,21529,-0.0028222531446136,-0.0022841311336721,0.000878187227192186,-0.0019660187356387,-2.97580417917483,0.00495813581071138,96.9609183580385,100.646979389027,96.5929922430831,91.2753888206838,104.395167862458,97.7060256998544,15
"venue_3309__base","WSH",22786,-0.00326478680782749,0.0032672787446202,22786,-0.000729032225209491,0.00219437947937985,22786,0.000317470761780971,0.00171132831101096,22786,-0.00276336866267364,0.00239653881595919,22786,-1.24458832642128,0.773480097966242,"WSH","Nationals","Nationals Park","2015-2026","wsh","WSH","base",2026,2015,22786,-0.00326478680782749,-0.000729032225209491,0.000317470761780971,-0.00276336866267364,-1.24458832642128,-0.00562830028907069,98.9400222711783,99.4498661148132,95.3867199503309,96.2460894338247,92.8758447179212,97.3299648039379,16
"venue_5__wind_tunnel","CLE",4966,-0.0034415527421104,0.00489864843806931,4966,-0.00198552033765756,0.00356196451103797,4966,-0.00298264255218524,0.00223237533436161,4966,-0.00326727184133834,0.00336109822356283,4966,-2.40950979245193,0.874620702872102,"CLE","Guardians","Progressive Field","2024-2026","cle","CLE","wind_tunnel",2026,2024,4966,-0.0034415527421104,-0.00198552033765756,-0.00298264255218524,-0.00326727184133834,-2.40950979245193,0.00596892401888567,97.3409467868941,92.40422059117,94.6243891065653,92.90134427322,105.49502771056,97.1797507950619,17
"venue_2394__cf_in_412","DET",6563,-0.00408912842754783,0.0043724756921929,6563,-0.00405481419492493,0.00315004735766335,6563,-0.00107049872610621,0.002055391096079,6563,-0.00417268513814408,0.00305092672441193,6563,-0.964581941182876,0.837658888545342,"DET","Tigers","Comerica Park","2023-2026","det","DET","cf_in_412",2026,2023,6563,-0.00408912842754783,-0.00405481419492493,-0.00107049872610621,-0.00417268513814408,-0.964581941182876,-0.00622288180478014,94.7074502626102,96.4865918030191,93.2546329475756,97.0500492107492,92.2288681007983,96.6294471398085,18
"venue_4705__suntrust","ATL",16829,-0.00455503615410397,0.00345070791261642,16829,-0.000708895698478573,0.0023640772580794,16829,-0.00114529846965712,0.0017656740798439,16829,-0.00353035317172605,0.0025040936309786,16829,1.45877293903052,0.782026830117563,"ATL","Braves","Truist Park","2017-2026","atl","ATL","suntrust",2026,2017,16829,-0.00455503615410397,-0.000708895698478573,-0.00114529846965712,-0.00353035317172605,1.45877293903052,0.00468013069714399,98.9656491162833,96.32689653556,94.2263860356086,104.008032855467,104.092664667914,96.2335231872878,19
"venue_3313__base","NYY",20314,-0.00520220990884716,0.00331029342481535,20314,-0.00658768553803571,0.00223332680964903,20314,0.00595783688390793,0.00172490997824216,20314,-0.00189229250907848,0.00242083858123598,20314,-1.95158148755779,0.775341828118935,"NYY","Yankees","Yankee Stadium","2015-2026","nyy","NYY","base",2026,2015,20314,-0.00520220990884716,-0.00658768553803571,0.00595783688390793,-0.00189229250907848,-1.95158148755779,0.00548591229802804,91.4839796786162,111.491883021291,96.7045290995289,94.2161569248552,104.969452527116,95.6835610889136,20
"venue_5325__globe_life","TEX",11124,-0.0055710238234762,0.00383535759338211,11124,-0.00142267943492155,0.0027045389976835,11124,0.00149478001517684,0.00188309484704966,11124,-0.00148646158102497,0.00272948787697763,11124,1.9863849894376,0.802775158185663,"TEX","Rangers","Globe Life Field","2021-2026","tex","TEX","globe_life",2026,2021,11124,-0.0055710238234762,-0.00142267943492155,0.00149478001517684,-0.00148646158102497,1.9863849894376,0.00235244281156525,98.0572488992667,101.963386979696,97.3184911599172,105.522922831946,101.559858662109,95.3701465338387,21
"venue_3312__base","MIN",22015,-0.00577489862418398,0.00326490426065772,22015,0.000308746298545969,0.00219233412993034,22015,-0.00225963428126934,0.00171051741571613,22015,9.9029491362343e-05,0.00239668621105999,22015,0.349625349471572,0.772257291888615,"MIN","Twins","Target Field","2015-2026","min","MIN","base",2026,2015,22015,-0.00577489862418398,0.000308746298545969,-0.00225963428126934,9.9029491362343e-05,0.349625349471572,-0.00612278901962579,100.260755972527,93.9478221293285,99.7171042232416,100.823426733292,92.3377811595238,95.1968956682387,22
