"park_era_hand_id","park_era_id","hand","n_bbe","venue_id","venue_name","home_team","park_effect","park_se","hand_effect","hand_se","delta_hand","pf_index_hand","hand_se_combined","component"
"venue_2394__base__R","venue_2394__base","R",19326,"2394","Comerica Park","DET",-2.94237692061907,0.793999449224448,0.0452613955873761,0.261626277344948,-2.8971155250317,98.984071041311,0.835992484634941,"distance_air"
"venue_2394__cf_in_412__L","venue_2394__cf_in_412","L",6523,"2394","Comerica Park","DET",-1.11055455588398,0.837658888545342,-0.0734787188495378,0.271965743506723,-1.18403327473352,99.5847960906426,0.880703002833635,"distance_air"
"venue_2394__cf_in_412__R","venue_2394__cf_in_412","R",8543,"2394","Comerica Park","DET",-1.11055455588398,0.837658888545342,0.0698363596969581,0.271922362078944,-1.04071819618702,99.6350522634649,0.880689607385944,"distance_air"
"venue_2395__base__L","venue_2395__base","L",9417,"2395","AT&T Park","SFG",-4.76159028486596,0.819682468571117,0.173978035815644,0.268597612831124,-4.58761224905032,98.391266038659,0.862568273762384,"distance_air"
"venue_2395__base__R","venue_2395__base","R",11566,"2395","AT&T Park","SFG",-4.76159028486596,0.819682468571117,-0.189594938053375,0.268561358674346,-4.95118522291934,98.2637722229796,0.862556985164372,"distance_air"
"venue_2395__bullpen_center__L","venue_2395__bullpen_center","L",10129,"2395","Oracle Park","SFG",-1.99336970522326,0.806023589316433,0.0213685612889538,0.265911312103859,-1.97200114393431,99.3084800894611,0.848753705405367,"distance_air"
"venue_2395__bullpen_center__R","venue_2395__bullpen_center","R",13134,"2395","Oracle Park","SFG",-1.99336970522326,0.806023589316433,-0.0279063476626806,0.265865016941381,-2.02127605288594,99.2912009003821,0.848739202445478,"distance_air"
"venue_2397__base__L","venue_2397__base","L",39,"2397","Tokyo Dome","CHC",-6.94768388096115,3.48508218340741,-0.0061411066004436,0.290194896735951,-6.95382498756159,97.5615082942051,3.4971432488812,"distance_air"
"venue_2397__base__R","venue_2397__base","R",49,"2397","Tokyo Dome","CHC",-6.94768388096115,3.48508218340741,-0.0166456712621185,0.290208793725533,-6.96432955222327,97.5578246677339,3.49714440208856,"distance_air"
"venue_2523__steinbrenner__L","venue_2523__steinbrenner","L",1914,"2523","George M. Steinbrenner Field","TBR",-3.47085028483521,1.08177402454225,0.00939209042270175,0.284400815327967,-3.46145819441251,98.7861734926995,1.11853424799312,"distance_air"
"venue_2523__steinbrenner__R","venue_2523__steinbrenner","R",2157,"2523","George M. Steinbrenner Field","TBR",-3.47085028483521,1.08177402454225,-0.0207756674263422,0.284388149566911,-3.49162595226156,98.7755945915295,1.11853102763778,"distance_air"
"venue_2529__sutter_health__L","venue_2529__sutter_health","L",2683,"2529","Sutter Health Park","ATH",4.87000505366874,0.940755631668473,-0.00365817703578657,0.280490750853764,4.86634687663296,101.706477588581,0.98168030428977,"distance_air"
