"bacon_resid","hr_resid","xbh_resid"
0.999999999562952,9.3284843483188e-24,4.3704816456e-10
0.999999787970954,5.67815410178048e-18,2.12029046451765e-07
0.999991404762988,1.63154643204401e-11,8.59522069607169e-06
0.999999995986803,1.31999843693918e-22,4.01319664198532e-09
0.999999989158145,4.63124427580595e-20,1.08418552457832e-08
0.530077453302095,0.0964216778658634,0.373500868832042
0.435332535065522,0.0775350029953407,0.487132461939138
0.664051114788102,3.01806922735302e-13,0.335948885211596
0.999999999952208,5.62776098708946e-27,4.7791635266341e-11
0.303708810914095,0.000154900239051386,0.696136288846854
0.663239668519824,0.24317310812121,0.0935872233589655
0.999999990025373,3.61251966468892e-20,9.97462669087789e-09
0.390851212468298,0.0431547891610275,0.565993998370674
0.650430432326007,3.59985363927856e-07,0.349569207688629
0.999999828256612,3.57593107222727e-14,1.71743352640919e-07
0.999998637255501,3.14945617569388e-15,1.3627444962148e-06
0.999975579183061,5.42632752478243e-12,2.4420811512473e-05
0.999999999995106,8.61758601754161e-27,4.89381104214682e-12
0.999999999421198,6.76368878923126e-24,5.78801868712174e-10
0.61481676347328,1.21361000933834e-10,0.385183236405359
0.438675206257787,0.406065994615934,0.15525879912628
0.999999662327165,1.5000222305529e-17,3.37672835289619e-07
0.999999779295817,1.31879196794757e-14,2.20704169973452e-07
2.37995212342346e-05,0.218963867098103,0.781012333380663
0.999991368352817,5.2190489738981e-15,8.63164717752457e-06
0.999999615165307,4.70807792246265e-15,3.84834688674689e-07
0.99999820677233,4.45942906812893e-18,1.79322766939364e-06
0.404825964815795,0.0019534561518324,0.593220579032373
0.999999999978823,1.03185173914509e-30,2.11770811474638e-11
0.99999999719509,6.78515551813432e-21,2.80491039260053e-09
0.999993256419719,1.711749034614e-17,6.74358028078531e-06
0.638061439799083,2.81662337687509e-10,0.361938559919255
0.99999996364604,1.53517043906024e-25,3.63539605391765e-08
0.591024517382287,4.20383469790513e-13,0.408975482617293
0.583883321929018,4.74415993855317e-05,0.416069236471597
0.999999638050849,4.57987356179219e-16,3.61949150263246e-07
0.297999340617125,0.192792027150686,0.509208632232189
0.0851631807856917,0.141173005446689,0.773663813767619
0.999995803181546,2.42855836576406e-16,4.19681845382467e-06
0.999999714694042,1.07739872037037e-16,2.85305958257231e-07
0.999985962102549,9.56194179432331e-14,1.40378973550369e-05
0.198598949575899,0.0340661820512901,0.767334868372811
0.576876958823561,7.49868632802644e-11,0.423123041101452
0.999996854869885,1.10229217082845e-11,3.14511909160976e-06
0.293918377393299,0.107206021923056,0.598875600683645
0.283389771986009,0.0567809634463449,0.659829264567647
0.999995094920555,1.43043786119031e-12,4.90507801474492e-06
0.999981873183152,6.26741411776236e-11,1.81267541737703e-05
0.598657123667528,1.78680410459426e-05,0.401325008291426
0.99999698806704,2.6120556732742e-13,3.01193269867828e-06
0.999999259149766,3.01293900114151e-21,7.40850234086364e-07
0.513318777802292,6.2985128184672e-13,0.486681222197078
0.999996990459797,1.09367353953537e-15,3.00954020183498e-06
0.475418886393862,1.59846621105005e-08,0.524581097621476
0.999999961793765,7.39979465342108e-19,3.82062353032399e-08
0.518729895209305,1.01020531420759e-07,0.481270003770163
0.999999984819776,6.69772199182109e-16,1.5180222814896e-08
0.625155976540825,1.2634020839796e-10,0.374844023332835
0.48929280654356,0.0133723929165347,0.497334800539905
0.345697262065667,0.0819720912245607,0.572330646709772
0.546129030811889,0.0374353798935674,0.416435589294543
0.551026264359112,0.247995697755714,0.200978037885173
0.472977338387012,0.109172783715908,0.41784987789708
0.621051490985411,3.18568040907599e-11,0.378948508982733
0.999999999999989,1.51144939477928e-37,1.14328420183952e-14
0.201545519577072,0.0712721557020683,0.72718232472086
0.999974148242776,3.87429968541647e-16,2.58517572233005e-05
0.624222915667312,4.08740995534994e-15,0.375777084332684
0.999999956799598,7.57552016613911e-21,4.32004023101785e-08
0.627173081244818,8.4479182835855e-13,0.372826918754337
0.494909155344903,3.79795793813097e-06,0.505087046697159
0.999999999012773,1.72032455332075e-22,9.87227231382246e-10
0.999999412473431,4.29849110693154e-18,5.87526569191374e-07
0.622208594439207,0.131484768619442,0.24630663694135
0.999999999978246,5.34923286563081e-28,2.17537478746956e-11
0.477432895143951,3.23391289378736e-09,0.522567101622136
0.490259980110456,2.17110724083679e-12,0.509740019887372
0.999999994733082,4.69531070699734e-23,5.26691809533167e-09
0.999999999924722,1.76843315177496e-30,7.52783779961925e-11
0.999999998695464,2.59387639897433e-24,1.30453633050391e-09
0.999999903858532,4.12514847641784e-20,9.61414682138044e-08
0.608332393381356,1.83002170453873e-10,0.391667606435642
0.999999998571007,9.21760285892128e-24,1.42899322442779e-09
0.424552019999553,1.04323703498398e-09,0.57544797895721
0.999999999890693,1.91544076910545e-24,1.09306752744431e-10
0.582394675196748,1.22109682587499e-09,0.417605323582156
0.53379835496628,2.58729841609239e-09,0.466201642446422
0.999999999918237,6.53853153689395e-25,8.17634335386419e-11
0.388749764347119,0.0866338433040289,0.524616392348852
0.999998439135749,5.7349858814701e-18,1.56086425102169e-06
0.551772763407918,9.71865847097269e-11,0.448227236494896
0.581411388132521,0.208491785237367,0.210096826630112
0.999999999727041,4.94520159989011e-24,2.72958519766498e-10
0.999999999583483,5.35064769920756e-23,4.16517584516968e-10
0.60422835141039,1.61399580200458e-10,0.39577164842821
0.682868747616518,1.70274720879012e-06,0.317129549636273
0.651184447496265,9.94649116788009e-13,0.34881555250274
0.332911423544909,2.2202669093959e-08,0.667088554252422
0.492698346322694,0.240885878036523,0.266415775640783
0.99999999999986,1.53397736876156e-33,1.40241993881098e-13
0.455400909635069,0.0756901599515204,0.468908930413411
0.678368606068979,2.85783413422861e-05,0.321602815589679
0.999999957490116,2.78673169846401e-17,4.25098837144623e-08
0.999999920289284,7.86665956505326e-23,7.97107161002445e-08
0.999998296839675,4.08780718313721e-14,1.70316028467743e-06
0.999986915031586,6.29069297680232e-12,1.30849621235849e-05
0.999998234808679,4.66210737467862e-22,1.76519132100176e-06
0.641467060525777,2.82426304875986e-13,0.358532939473941
0.540236315559104,1.71419170673921e-08,0.459763667298979
0.999999304466851,8.33045707523363e-22,6.95533148920593e-07
0.999995966430342,3.53579346646535e-15,4.03356965414372e-06
0.999999189907203,1.07213600404035e-16,8.10092796540963e-07
0.424423681066163,0.15111113890692,0.424465180026917
0.32985541245029,0.159276415359228,0.510868172190481
0.999999999999849,1.41498975830788e-31,1.50847191734738e-13
0.999999999999999,9.45566276120752e-38,1.09203351772773e-15
0.628120247411756,1.24214346958759e-06,0.371878510444774
0.334383947668109,2.82089169834106e-05,0.665587843414908
0.668830757000795,6.13167161552717e-12,0.331169242993074
0.999999999999963,6.08623810885855e-35,3.69697914682775e-14
0.999997286876868,1.76496514238748e-16,2.71312313197469e-06
0.595869416718355,2.76659991694405e-08,0.404130555615646
0.327769191923532,0.255520090937192,0.416710717139276
0.296419446861176,0.16602557951588,0.537554973622945
0.0538081379785168,0.0740599252671962,0.872131936754287
0.806538862928808,0.192032863520302,0.0014282735508902
0.604193767671372,5.27361903167326e-11,0.395806232275892
0.999999982002998,2.81762033186296e-24,1.79970016212477e-08
0.999999999673884,4.72012592772161e-25,3.26116075781021e-10
0.402346574262842,0.0756124424863228,0.522040983250835
0.333073566048286,0.0351592418322089,0.631767192119505
0.288523157761339,0.000866832766488694,0.710610009472172
0.999993993310234,5.33026887131446e-14,6.00668971261882e-06
0.682627612260085,4.23844256694262e-10,0.31737238731607
0.999991002647218,1.54583678581328e-13,8.99735262723492e-06
0.513039195936435,0.104367180562851,0.382593623500714
0.999999999998093,1.10679513500166e-30,1.90719448426629e-12
0.9999980381334,1.74977236225003e-16,1.96186660014986e-06
0.405470456876637,0.221793702951047,0.372735840172316
0.340596052393575,6.14535434628703e-09,0.65940394146107
0.999999364505537,7.63939385225047e-15,6.3549445605029e-07
0.670698945006965,7.40589159183155e-11,0.329301054918976
0.382164459276264,0.074789638172692,0.543045902551044
0.999999999927127,1.64798949393118e-23,7.28730153008706e-11
0.427323615676366,2.91854970587346e-11,0.572676384294449
0.524430166371743,3.88449520476316e-05,0.47553098867621
0.999999866365203,1.49595561318397e-14,1.33634781708398e-07
0.604333118837294,1.29862446524608e-11,0.39566688114972
0.999999999009923,4.01159064941715e-17,9.90077211561118e-10
0.999999999999778,9.69955300530845e-34,2.21943814364216e-13
0.395830623126795,2.62317377385483e-06,0.604166753699431
0.999996978052788,3.57274744834946e-19,3.0219472122248e-06
0.999999844604078,2.68941462568362e-15,1.55395919336132e-07
0.999999999999765,8.87986035151414e-34,2.34872937833647e-13
0.217526300062522,0.170780865972107,0.611692833965371
0.999999156841172,3.3532945815805e-19,8.43158827688096e-07
0.999981312238374,3.13545609420914e-17,1.86877616257189e-05
0.290072566482529,1.36425921943525e-12,0.709927433516107
0.618102578344798,6.81411745088464e-14,0.381897421655134
0.427775825955424,0.129686057876427,0.442538116168149
0.401566723060328,0.200740595978656,0.397692680961016
0.99999999997665,3.39674948171048e-28,2.33496455547339e-11
0.566540114941758,0.0900650475415361,0.343394837516706
0.999998468504534,4.99940612894577e-16,1.53149546528245e-06
0.999980118170024,5.50493041435216e-12,1.98818244708868e-05
0.762720155389521,0.23726928302419,1.05615862891106e-05
0.295891066840463,0.000111188857027723,0.70399774430251
0.999998687731866,2.66490453582036e-15,1.31226813156599e-06
0.999999999825157,6.83312370332845e-27,1.74842544824306e-10
0.999999999959119,7.40724919836964e-31,4.08810828123245e-11
0.999999994619081,3.07251198442235e-21,5.38091912430261e-09
0.596450546403753,4.08709956811965e-07,0.40354904488629
0.999997181199473,9.3002435430461e-16,2.81880052592232e-06
0.999995032350477,1.36628728548947e-16,4.9676495228133e-06
0.999999999935277,3.30996664772839e-27,6.47230953600937e-11
0.647785594508715,1.51709860618845e-10,0.352214405339576
0.558820057201979,1.21089723889721e-08,0.441179930689049
0.455634826740134,0.000145774348288063,0.544219398911578
0.491101239565823,2.10828192223584e-08,0.508898739351357
0.535955182356654,0.105832839157139,0.358211978486207
0.999999999995224,9.82584332605788e-30,4.77569133139905e-12
0.999999278018652,2.69366828182163e-15,7.2198134502457e-07
0.999999974068425,2.29568038821176e-23,2.59315748535924e-08
0.605736500257624,1.04081522585772e-06,0.39426245892715
0.493488803466608,0.052947966435827,0.453563230097565
0.568023683599196,2.77939825547946e-08,0.431976288606822
0.372379514371349,0.00284931025626681,0.624771175372384
0.999996479183809,2.46953611071265e-13,3.52081594424724e-06
0.549635700136413,2.12312116393398e-11,0.450364299842356
0.999999999550084,5.82014514728396e-22,4.49916289712524e-10
0.612619366237343,1.0878707799537e-10,0.38738063365387
0.999991485561345,4.33464427789157e-14,8.5144386116665e-06
0.321927829895478,0.0890186782808929,0.589053491823629
0.999999836413455,1.1664960392626e-20,1.63586544616802e-07
0.999999513833449,1.71730225452258e-15,4.86166548894437e-07
0.65685573157644,0.314200867493709,0.0289434009298511
0.72238608369936,0.277563188510777,5.0727789862661e-05
0.589552972702174,1.53733500728001e-10,0.410447027144093
0.490245417477594,8.36486716575505e-07,0.50975374603569
0.522785437362611,1.0895971367379e-06,0.477213473040253
0.435266437661159,2.83297480514043e-07,0.564733279041361
0.432838303023053,6.61309403120078e-05,0.567095566036635
0.622050556791971,1.7171624209124e-10,0.377949443036313
0.605193405029416,5.65375020739397e-12,0.39480659496493
0.999998967722147,3.87576551999993e-20,1.032277852837e-06
0.543209277355931,1.3974997426839e-07,0.456790582894095
0.411715523457528,0.477047532437379,0.111236944105093
0.43306547981235,0.019822384821855,0.547112135365795
