"rank","team_id","team","park","years_used","bacon_resid","hr_resid","xbh_resid","overall_weighted_resid","bacon_idx_100","hr_idx_100","xbh_idx_100","overall_pf_idx_100","total_bbe","bacon_se","hr_se","xbh_se","bacon_rank","hr_rank","xbh_rank"
11,"HOU","Astros","Daikin Park","2015-2026",0.00426043476769128,0.00562760839273047,0.00503533862488818,0.00489392630789438,106.302771368878,109.862641317193,107.36895847366,108.77865596096,40963,0.00235121937725953,0.00120675572764657,0.0019049492838517,13,12,12
12,"PHI","Phillies","Citizens Bank Park","2015-2026",0.00442320629751434,0.00611563688521994,0.00336317980643122,0.00480355170499468,106.543571144906,110.717933590256,104.92184025334,108.616543273404,41699,0.00233932952356841,0.00119987443574141,0.0018963995207537,11,8,18
13,"BOS","Red Sox","Fenway Park","2019-2024",0.00536748293743893,0.00177135716194895,0.00520721976815076,0.0040767862821598,107.940508334408,103.104384511629,107.620497665252,107.312881712101,346,0.00755289955941665,0.00502279608707391,0.00694164425925803,9,19,10
14,"BAL","Orioles","Oriole Park at Camden Yards","2015-2021",0.000131346270506325,0.00918779929124382,0.00380966610236899,0.00403676879413698,100.194310101719,116.10203883801,105.575249928218,107.241098906706,25516,0.00278464454560752,0.00138481128336738,0.00225949867652184,23,4,17
15,"TBR","Rays","George M. Steinbrenner Field","2025",0.00365824782058697,0.00584507358788566,-0.0038272244577381,0.0029265423834765,105.411912370704,110.243759026381,94.3990543240968,105.249590435821,4071,0.00511264705856864,0.00262995269123819,0.00430945318414655,14,10,38
16,"MIL","Brewers","American Family Field","2015-2026",0.000370351226142418,0.00489621417807168,0.00412273124135391,0.00270487926235996,100.547887535372,108.580839475728,106.033404618611,104.851974256682,40326,0.00236064339666616,0.00120785902969556,0.0019134474843823,22,13,15
17,"LAD","Dodgers","Dodger Stadium","2015-2026",-0.00459705251325341,0.00620440801550171,0.00514629383618036,0.00113212794169764,93.1992454897662,110.873509059659,107.531335704935,102.030795128155,40181,0.0023592827568064,0.00120868865731471,0.00191082472859129,43,7,11
18,"NYM","Mets","Citi Field","2018-2025",0.00318831311988995,-0.00266469695398783,-0.00117644337957427,0.000266808294139883,104.716703750385,95.329996608794,98.2783357672562,100.478596953452,269,0.00766891238357586,0.00523314777098195,0.00711881597829666,15,39,30
19,"TOR","Blue Jays","Rogers Centre","2021",0.000920753666913569,-0.00118662778721653,-3.05313802654468e-05,-7.08685146776879e-06,101.362137942718,97.9203804836024,99.9553188991456,99.9872877057396,41,0.00808682291201833,0.0061870320188287,0.00782445986806255,19,32,24
20,"TOR","Blue Jays","Rogers Centre","2021",0.00168045177499743,-0.00185982632400931,-0.000620476616865454,-1.88312380275057e-05,102.486014670264,96.7405692315608,99.0919644608349,99.9662207908342,46,0.00807685074362049,0.00616011060728309,0.00780669180835127,16,35,25
21,"STL","Cardinals","Busch Stadium","2024",0.00124604609500269,-0.00214362418899853,0.000284175059457549,-0.000132712711506765,101.843366717262,96.2432004820462,100.415875548549,99.7619418104992,32,0.00810487473567696,0.0062367557671105,0.00785684276002376,18,37,23
22,"CHW","White Sox","Rate Field","2015-2026",-0.00194305410596388,0.00363800626868026,-0.00312460710628149,-0.000225993574901953,97.1254985805108,106.375772518839,95.4272985935313,99.594615913872,41239,0.00234570058139138,0.00120268862015971,0.00190205342879363,32,15,36
23,"MIN","Twins","Target Field","2015-2026",0.00155550170328316,-0.00294992621083555,0.000371708745220283,-0.000258156658270964,102.301166931129,94.8301192795241,100.543976584741,99.5369222287244,43150,0.00231885245261246,0.00119246283219332,0.00188469057040867,17,40,22
24,"CHC","Cubs","Wrigley Field","2025",-0.00113055551812377,-0.000869642761398678,0.00230378866143789,-0.000352367217357656,98.3274869023466,98.4759112516435,103.371475931037,99.3679286570832,88,0.00799451403795236,0.00594563404842738,0.00766136669511925,29,30,20
25,"CLE","Guardians","Progressive Field","2015-2023",-0.00276921486007592,-4.85478652072781e-05,0.0043407812355903,-0.000394982192738651,95.9032988213192,99.9149176436297,106.352509543302,99.2914865155138,32332,0.00255018997328407,0.00128953015499134,0.0020674655282345,37,23,14
26,"TBR","Rays","Tropicana Field","2015-2024",-0.000538796610708066,-0.00103550463884311,-0.000845165149285836,-0.000773918128270885,99.2029189421079,98.1852307189347,98.7631443777699,98.6117565808906,35392,0.00246264602864354,0.00125043247131323,0.00199404955446858,26,31,26
27,"NYY","Yankees","Yankee Stadium","2015-2026",-0.0059390979651011,0.00603626197478887,-0.00110091333392577,-0.000780085059904545,91.2138599338577,110.578825426262,98.3888700950054,98.6006944259375,40556,0.00235684249725925,0.00120713932201031,0.0019090134349522,50,9,28
28,"CHC","Cubs","Wrigley Field","2015-2026",-0.00253698093073408,0.00142086790365262,-0.000916408700637112,-0.000827619392679341,96.2468593827535,102.490136042481,98.6588831134284,98.515428010484,41146,0.00234773143360576,0.00120345563704224,0.0019036283814427,35,21,27
29,"ATL","Braves","Truist Park","2017-2026",-0.00043043178546419,-0.00127618138769933,-0.0019723718422016,-0.00103483215759397,99.3632309185104,97.7634336993539,97.1135354974084,98.1437326764147,33199,0.00251433432625798,0.00126811044786183,0.00203373358230658,24,34,31
30,"AZ","Diamondbacks","Chase Field","2018-2026",0.000816747121908511,-0.00555250708390955,0.00199268792323674,-0.00117730368986216,101.208273487614,90.2689771638123,102.916196039914,97.8881692520108,30445,0.00258602023559148,0.00129957299422318,0.00209333137456594,21,48,21
31,"TOR","Blue Jays","Rogers Centre","2015-2026",-0.00584858219443184,0.00185668182511848,0.00399578558836338,-0.00118286623103018,91.3477665041763,103.253919889652,105.84762620032,97.8781912441474,40396,0.00236267754313047,0.00120879048230659,0.00191242579778257,49,18,16
32,"KC","Royals","Kauffman Stadium","2019",-0.00127903210515834,-0.00119787695289941,-0.00112728080685053,-0.00122027754220615,98.1078346760504,97.9006658058018,98.350282657792,97.8110833620087,44,0.00808513624097342,0.00618240594223746,0.00782131987962967,30,33,29
33,"KC","Royals","Kauffman Stadium","2026",-0.00197436481262683,-0.00309884934897998,0.00332827659561942,-0.00130740611870118,97.079178372303,94.5691246628257,104.870761203801,97.6547933508183,1155,0.00664406932829798,0.00396172003010325,0.00591788153711585,33,41,19
34,"WSH","Nationals","Nationals Park","2015-2026",-0.00141934020949394,-0.000290848374429716,-0.0030307655987475,-0.00134665314507217,97.9002666809864,99.4902749096779,95.5646308016769,97.5843925886635,42510,0.00232492771894223,0.00119623233362155,0.00188746280840511,31,24,35
35,"CIN","Reds","Great American Ball Park","2025",-0.00052176752984378,-0.00187570413243317,-0.00328220800834497,-0.0015477334364503,99.2281113013769,96.712742645476,95.1966577986968,97.2236975990989,44,0.00808065627237239,0.00616990263787287,0.00781320480587706,25,36,37
36,"LAA","Angels","Angel Stadium","2015-2026",-0.00461167472366143,0.00245353696174569,-0.00460132002776296,-0.00213677969458924,93.1776137892157,104.299935838211,93.2662053669474,96.1670747323011,41443,0.00234297025687544,0.00120144172859915,0.00190082297866442,44,17,41
37,"DET","Tigers","Comerica Park","2023-2026",-0.0027615956371315,-0.00045218875452946,-0.00399374354144788,-0.00219973280908406,95.9145704926029,99.2075185080416,94.1553622302122,96.054150323747,13067,0.0034531539819591,0.00168072486481152,0.00280008314394579,36,26,40
38,"LAD","Dodgers","Dodger Stadium","2024",0.000822779059546862,-0.00546538913804505,-0.00548533282472097,-0.00263970218646387,101.217196972169,90.4216553518478,91.972498215118,95.264939462279,123,0.00792864599226072,0.00578632787143255,0.00754861154080927,20,47,46
39,"TEX","Rangers","Globe Life Field","2021-2026",-0.00465617180503608,-0.000340429072662987,-0.00388761625103151,-0.00299195073790458,93.1117860167511,99.4033824664198,94.3106740481954,94.633080980698,21235,0.00290971417782817,0.00143373762150838,0.00234895120695908,45,25,39
40,"MIA","Marlins","loanDepot park","2021-2026",-0.00111260529931878,-0.00530623814179056,-0.0054206918272951,-0.00344199409977917,98.3540419680426,90.7005747580742,92.0670969821935,93.8257995479806,21742,0.00287799290159109,0.0014258143845358,0.00232940856025279,28,45,45
41,"PIT","Pirates","PNC Park","2015-2026",-0.00310366888718302,-0.00539616883506072,-0.00264579708807903,-0.00381446950911942,95.4085166262604,90.542967101454,96.1280123694491,93.1576584140869,42411,0.00232730496450978,0.00119585999477104,0.00189022204168028,39,46,33
42,"NYM","Mets","Citi Field","2015-2022",-0.00635119633710486,0.000829054204036329,-0.0070480566720651,-0.00397748071469749,90.6042128058389,101.45295544306,89.6855324329478,92.8652512135009,27672,0.00268011158542256,0.00134420913342954,0.00216597128071525,52,22,51
43,"SDP","Padres","Petco Park","2015-2026",-0.00643848183586316,-0.000749563244177312,-0.0048502990018977,-0.00412972376198002,90.4750850119654,98.6863561023297,92.9018374747611,92.5921597833338,40637,0.00235466266813071,0.00120558174607124,0.00190734147600642,53,29,43
44,"CLE","Guardians","Progressive Field","2024-2026",-0.0060804391493566,-0.00240481728434377,-0.00467573829562588,-0.00451303132585597,91.004763628446,95.7854476260878,93.1572980686681,91.9045880834685,9020,0.00393004626614195,0.001919526787763,0.00320378844795101,51,38,42
45,"KC","Royals","Kauffman Stadium","2015-2025",-0.00293374964546727,-0.00807938833328319,-0.00222387450207734,-0.00459274815752486,95.6598905329406,85.8405021038586,96.7454743212524,91.7615931555725,42977,0.00233175421128389,0.00119863977835628,0.0018964157938161,38,55,32
46,"MIA","Marlins","loanDepot park","2016-2019",-0.00321430598760661,-0.00423096472591716,-0.00840917082360917,-0.00460910951321581,95.2448431077322,92.58504064107,87.6936120463107,91.7322443865819,16372,0.00325187309034838,0.00159341177568634,0.00263542688082542,40,42,54
47,"TBR","Rays","Tropicana Field","2026",-0.00538765999652154,-0.00491964052816004,-0.00299345753083567,-0.00474501268945784,92.029642272891,91.3781047728403,95.6192292355961,91.4884631865426,931,0.00684752222433989,0.0041322926813342,0.0061187880356919,47,44,34
48,"MIA","Marlins","loanDepot park","2015",-0.00356027914064747,-0.00584606259690418,-0.00643381890599526,-0.00493501130340688,94.7330198309321,89.7545076895024,90.5844377357022,91.1476463535952,4273,0.00512372068692528,0.0026351612157729,0.00433099970020241,41,50,49
49,"SFG","Giants","Oracle Park","2021-2026",-0.000964005448411117,-0.00934011264188619,-0.00753957562849404,-0.00521075700214398,98.5738765475616,83.6310250421607,88.9662197811627,90.6530176097894,21341,0.00289827124167744,0.00143435072799744,0.0023444051938726,27,56,52
50,"NYM","Mets","Citi Field","2023-2026",-0.00868819684754654,-0.000598327614233405,-0.00664514082634446,-0.00544813141164653,87.146917785619,98.9514034667632,90.2751790002689,90.2272187432191,12918,0.00345930206805057,0.00168598575205604,0.00279869336234413,55,27,50
51,"DET","Tigers","Comerica Park","2015-2022",-0.00502530005221353,-0.0058489998802684,-0.00613438551667726,-0.00553541208492548,92.5657077231919,89.7493599659497,91.0226430632611,90.0706559029637,30007,0.00263248038507197,0.0013214098241724,0.00214159488163918,46,51,48
52,"BAL","Orioles","Oriole Park at Camden Yards","2022-2024",-0.00236782590972308,-0.00642105563091048,-0.0119403034018118,-0.00570095181055641,96.4971027220996,88.7468060765457,82.5259815705998,89.7737130787826,12368,0.00354828949489266,0.00172438152427306,0.00288539809198678,34,53,57
53,"SEA","Mariners","T-Mobile Park","2015-2026",-0.0114551310855985,0.0014255651892307,-0.00550942161153017,-0.00575774549459462,83.0535904971775,102.498368250479,91.9372455175538,89.6718373696761,40356,0.00236244922428265,0.00120635850598169,0.00191188930600925,57,20,47
54,"ATL","Braves","Turner Field","2015-2016",-0.00408683156926311,-0.00626975217621639,-0.0090938851577961,-0.00585226449940336,93.9540524831699,89.0119723069587,86.6915679196352,89.5022905124506,8142,0.00414854185255176,0.0020475542706081,0.0034030271267718,42,52,55
55,"ATH","Athletics","Oakland Coliseum","2015-2024",-0.00969188576973174,-0.00556346911823062,-0.00492479186838419,-0.00729352116143684,85.6620876809543,90.2497656968669,92.7928210052423,86.9169846472701,37462,0.00243122882309296,0.00123640857056269,0.00197462662261696,56,49,44
56,"SFG","Giants","Oracle Park","2015-2019",-0.00551582197055598,-0.0111028796856047,-0.00812037250471494,-0.00799220227765482,91.8400429327835,80.5416951056824,88.1162534966103,85.6637003189252,20624,0.00299336222412944,0.00147829303108377,0.00242254152482595,48,57,53
57,"STL","Cardinals","Busch Stadium","2015-2026",-0.00855050448423161,-0.00700833227541584,-0.0116131142706165,-0.00862326616842307,87.35061612453,87.7175768738952,83.00480599541,84.5317068155578,42405,0.00233151070151342,0.00119680621056221,0.00189164448110591,54,54,56
