"park_era_id","n_pa","n_k","obs_k_rate","years_used","home_team","venue_name","park_effect","park_se","idx_100","obs_idx_100"
"venue_12__trop_return",4153,863,0.207801589212617,"2026","TBR","Tropicana Field",0.00491644864738616,0.00689816555192718,102.219620026292,93.8158011996773
"venue_4705__suntrust",53064,12246,0.230777928539123,"2017-2026","ATL","Truist Park",0.00468013069723156,0.00400703329374998,102.112929996078,104.188886846998
"venue_14__of_renovation",22570,4953,0.219450598139123,"2023-2026","TOR","Rogers Centre",0.00427209983866353,0.00462821566229615,101.928717054994,99.0749578296302
"venue_2397__base",335,76,0.226865671641791,"2019-2025","ATH","Tokyo Dome",0.00406210226739835,0.0092353275793102,101.833909837817,102.422627422742
"venue_16__base",12371,2422,0.195780454288255,"2015-2016","ATL","Turner Field",0.00388516660556613,0.00527962384968617,101.754029020069,88.3886415300532
"venue_5445__base",157,49,0.312101910828025,"2021-2022","CHW","Field of Dreams",0.0029593892205605,0.00963495197391532,101.336070007167,140.904075523324
"venue_4169__cf_in_407",24448,5255,0.214946007853403,"2016-2019","MIA","Marlins Park",0.00283905919072359,0.00456314408379712,101.281744829961,97.0412787402048
"venue_5325__globe_life",34199,7647,0.223603029328343,"2021-2026","TEX","Globe Life Field",0.00235244281148463,0.0042749319993477,101.06205302843,100.949648299608
"venue_2756__base",63,19,0.301587301587302,"2021","TOR","Sahlen Field",0.00202068979274492,0.00987975595816141,100.912277103369,136.157064232613
"venue_3949__base",73,19,0.26027397260274,"2024","STL","Rickwood Field",0.00120793620221677,0.00985289934418425,100.545344735035,117.505411598008
"venue_5340__base",483,106,0.219461697722567,"2023-2026","SDP","Estadio Alfredo Harp Helu",0.00110541952949084,0.00893440990403356,100.499061721394,99.0799689381486
"venue_15__base",18991,4158,0.218945816439366,"2015-2017","AZ","Chase Field",0.000474836415848243,0.0048296359874747,100.21437352313,98.8470649642626
"venue_4__base",65197,14722,0.225807935947973,"2015-2026","CHW","Guaranteed Rate Field",0.000340612304686321,0.00391515741825192,100.153775610589,101.945093434917
"venue_14__base",39370,8376,0.212750825501651,"2015-2022","TOR","Rogers Centre",0.000307710698677317,0.00419991836613417,100.138921583052,96.050223802226
"venue_5__base",48348,10646,0.220195251096219,"2015-2023","CLE","Progressive Field",-3.30443776039285e-05,0.00406418597297891,99.9850815156332,99.4111449302699
"venue_10__base",54791,11574,0.211239072110383,"2015-2024","ATH","Oakland Coliseum",-0.000119323318118762,0.00400267484550528,99.946129321082,95.367715279767
"venue_6130__base",78,18,0.230769230769231,"2025","CIN","Bristol Motor Speedway",-0.000129313998642262,0.00984073853792827,99.9416188469254,104.184960080825
"venue_5365__base",80,20,0.25,"2019","KCR","TD Ameritrade Park",-0.000328276481793074,0.00983636774839334,99.8517936206786,112.867040087561
"venue_2756__buffalo",1735,377,0.217291066282421,"2021","TOR","Sahlen Field",-0.000700252131209773,0.00758440582642694,99.6838584585414,98.0999979550672
"venue_2536__base",66,12,0.181818181818182,"2021","TOR","TD Ballpark",-0.000949749613180105,0.00987506428227572,99.5712182893442,82.0851200636806
"venue_5010__base",79,13,0.164556962025316,"2016","ATL","Fort Bragg Field",-0.00102064734872243,0.00983750564946385,99.5392102191059,74.2922289183944
"venue_2__wall_medium",10457,2354,0.225112364923018,"2025-2026","BAL","Oriole Park at Camden Yards",-0.00135033609615681,0.00550339465392656,99.3903662468136,101.631065263888
"venue_4169__base",6068,1155,0.190342781806196,"2015","MIA","Marlins Park",-0.00157848997799638,0.00629593816036635,99.2873620335027,85.9337055379912
"venue_4169__fence_reduced",34894,7876,0.225712156817791,"2021-2026","MIA","loanDepot park",-0.00171351050436412,0.00427299607127032,99.2264045648539,101.901852207214
"venue_2535__base",200,45,0.225,"2018","MIN","Hiram Bithorn Stadium",-0.00175009960315806,0.00953324803211293,99.2098857517325,101.580336078805
"venue_2395__base",30795,6339,0.205845104724793,"2015-2019","SFG","AT&T Park",-0.00248429581342852,0.00436363304253512,98.8784195393456,92.9325107472054
"venue_2701__base",535,115,0.214953271028037,"2018-2019","SDP","Estadio de Beisbol Monterrey",-0.00293785105798157,0.00883728196680459,98.67365378747,97.0445578322952
"venue_5355__sutter_health",514,112,0.217898832684825,"2026","ATH","Las Vegas Ballpark",-0.00317369871936909,0.00895512962461557,98.5671760776605,98.3743851346833
"venue_2523__steinbrenner",6023,1394,0.231446123194421,"2025","TBR","George M. Steinbrenner Field",-0.00453190373598456,0.00630353176827754,97.9539897574307,104.490555458781
"venue_5150__base",182,30,0.164835164835165,"2024","LAD","Gocheok Sky Dome",-0.00458123393708662,0.00957646433198702,97.9317187422894,74.4178286291609
"venue_2529__sutter_health",10275,2216,0.215669099756691,"2025-2026","ATH","Sutter Health Park",-0.00479595134049092,0.00550772500891402,97.8347806711793,97.3677317115463
"venue_3309__base",65804,13885,0.211005410005471,"2015-2026","WSH","Nationals Park",-0.00562830028890682,0.0039029680272076,97.4590016226685,95.2622242791187
"venue_2__wall_deep",18152,3955,0.217882327016307,"2022-2024","BAL","Oriole Park at Camden Yards",-0.00578959062744833,0.00483303662357497,97.3861841702449,98.3669333508821
"venue_15__humidor",47278,9990,0.21130335462583,"2018-2026","AZ","Chase Field",-0.00583521497914479,0.00406343578031132,97.3655862281173,95.3967367887586
"venue_3312__base",66112,14316,0.216541626331075,"2015-2026","MIN","Target Field",-0.00612278901960158,0.00390415192275965,97.2357557051078,97.76164967894
"venue_2394__cf_in_412",22378,5087,0.227321476450085,"2023-2026","DET","Comerica Park",-0.00622288180478869,0.00463366083337617,97.190566999515,102.628408781021
"venue_2395__bullpen_center",34296,7710,0.22480755773268,"2021-2026","SFG","Oracle Park",-0.00639074046953592,0.00426818514448807,97.1147841569428,101.493454522404
"venue_5381__base",506,98,0.193675889328063,"2019-2024","BOS","London Stadium",-0.00649686019356434,0.0088883470911861,97.0668744803588,87.438497459138
"venue_3__base",66402,14372,0.216439263877594,"2015-2026","BOS","Fenway Park",-0.00759343197835048,0.00390480880764146,96.5718072339894,97.7154362903782
"venue_2889__base",65317,13414,0.205367668447724,"2015-2026","STL","Busch Stadium",-0.0108626980282968,0.00391400320384526,95.0958377047246,92.7169634695127
"venue_2__base",36950,7637,0.206684709066306,"2015-2021","BAL","Oriole Park at Camden Yards",-0.0109431245767795,0.00425710225809116,95.0595276788378,93.3115653746903
"venue_2394__base",43112,8902,0.206485433290035,"2015-2022","DET","Comerica Park",-0.0117051359119804,0.00416214490128149,94.7155038231686,93.2215987065751
"venue_7__walls_in",4056,801,0.197485207100592,"2026","KCR","Kauffman Stadium",-0.0117788098332607,0.00686652567636608,94.6822423934624,89.1582831460909
"venue_31__base",66133,13924,0.210545416055524,"2015-2026","PIT","PNC Park",-0.0125263623179717,0.00390441945234164,94.3447462484247,95.0545516567642
"venue_13__base",31517,6234,0.197798013770346,"2015-2019","TEX","Globe Life Park in Arlington",-0.0126332846079611,0.00436075164878387,94.2964742388627,89.2995053978302
"venue_7__base",61229,11829,0.193192768132748,"2015-2025","KCR","Kauffman Stadium",-0.017526720357033,0.00394615982600604,92.0872438034372,87.2203836218626
"venue_19__base",67462,13432,0.199104681153835,"2015-2026","COL","Coors Field",-0.0202642299578413,0.00390506280505847,90.8513453800191,89.8894241176435
