"park_era_id","status","team_id","team","park","era","years_used","total_bbe","overall_idx","bacon_idx","hr_idx","carry_idx","carry_ft","k_idx","k_pct_pts","lhb_overall_idx","rhb_overall_idx","overall_ratio_idx","bacon_ratio_idx","hr_ratio_idx","carry_ratio_idx","k_ratio_idx","lhb_overall_ratio_idx","rhb_overall_ratio_idx","overall_resid","overall_se"
"venue_14__of_renovation","current","TOR","Blue Jays","Rogers Centre","of renovation","2023-2026",15334,99.58,101.11,102.16,92.06,-2.8,103.65,0.43,100.19,98.96,99.82,100.29,103.38,99.02,101.93,100.03,99.61,-0.000656279039279185,0.00436474340440257
"venue_15__humidor","current","AZ","Diamondbacks","Chase Field","humidor","2018-2026",32465,99.53,102.18,86.44,112.49,4.06,92.65,-0.58,99.65,99.41,99.81,100.54,87.38,101.42,97.37,99.86,99.75,-0.000713310907161627,0.00351754156235859
"venue_12__trop_return","current","TBR","Rays","Tropicana Field","trop return","2026",2909,99.43,99.28,104.96,105.22,1.62,104.35,0.49,99.09,99.78,99.78,99.85,106.23,100.57,102.22,99.68,99.87,-0.000824980370345683,0.0076903395390087
"venue_17__base","current","CHC","Cubs","Wrigley Field","base configuration","2015-2026",42920,98.38,97.44,100.75,90.9,-3.19,104.4,0.5,98.52,98.25,99.45,99.42,101.95,98.88,102.24,99.5,99.38,-0.00204039950868026,0.00330276628937116
"venue_5__wind_tunnel","current","CLE","Guardians","Progressive Field","wind tunnel","2024-2026",10667,97.29,97.48,92.88,93.3,-2.38,105.5,0.6,97,97.59,99.1,99.43,93.94,99.16,102.69,99.01,99.17,-0.00331109553776769,0.00489864843806931
"venue_2394__cf_in_412","current","DET","Tigers","Comerica Park","cf in 412","2023-2026",15066,97.14,95.44,96.16,97.09,-1.11,92.23,-0.62,97.26,97.04,99.06,98.94,97.27,99.61,97.19,99.09,99,-0.00348070852995945,0.0043724756921929
"venue_4__base","current","CHW","White Sox","Rate Field","base configuration","2015-2026",43652,96.82,94.32,103.56,94.1,-2.11,99.37,0.03,96.01,97.66,98.95,98.68,104.81,99.26,100.15,98.69,99.19,-0.00385250106034639,0.00329379106483237
"venue_4705__suntrust","current","ATL","Braves","Truist Park","suntrust","2017-2026",35295,96.39,99.32,96.19,102.92,0.85,104.09,0.47,97.07,95.72,98.82,99.86,97.31,100.3,102.11,99.03,98.57,-0.00435804550897203,0.00345070791261642
"venue_3313__base","current","NYY","Yankees","Yankee Stadium","base configuration","2015-2026",42360,95.41,91.62,111.78,93.43,-2.34,104.97,0.55,96.77,94.07,98.51,98.04,113.18,99.18,102.48,98.93,98.05,-0.0054940907073604,0.00331029342481535
"venue_3312__base","current","MIN","Twins","Target Field","base configuration","2015-2026",45172,95.32,100.59,93.9,100.32,-0.02,92.34,-0.61,94.87,95.81,98.48,100.16,94.98,99.99,97.24,98.33,98.6,-0.0055917556815166,0.00326490426065772
"venue_3309__base","current","WSH","Nationals","Nationals Park","base configuration","2015-2026",44952,95.19,96.95,98.71,95.47,-1.65,92.88,-0.56,94.63,95.78,98.44,99.3,99.88,99.42,97.46,98.25,98.59,-0.00574784682420047,0.0032672787446202
