"park_era_hand_id","park_era_id","hand","n_bbe","venue_id","venue_name","home_team","park_effect","park_se","hand_effect","hand_se","delta_hand","pf_index_hand","hand_se_combined","component"
"venue_17__base__L","venue_17__base","L",17473,"17","Wrigley Field","CHC",-0.00204039950868026,0.00330276628937116,0.00018507988508016,0.00207313290265467,-0.0018553196236001,99.4964009972694,0.00389950576282122,"woba_over_xwoba"
"venue_17__base__R","venue_17__base","R",25447,"17","Wrigley Field","CHC",-0.00204039950868026,0.00330276628937116,-0.000235713045960193,0.00206955676686784,-0.00227611255464045,99.3821829952969,0.00389760572319661,"woba_over_xwoba"
"venue_19__base__L","venue_19__base","L",19312,"19","Coors Field","COL",0.0353315020190448,0.00324726199744779,0.000555493985411717,0.00206011859554466,0.0358869960044565,109.740992963667,0.0038456207701459,"woba_over_xwoba"
"venue_19__base__R","venue_19__base","R",27789,"19","Coors Field","COL",0.0353315020190448,0.00324726199744779,0.000321268441813135,0.00205673357752544,0.0356527704608579,109.677415912753,0.00384380846153775,"woba_over_xwoba"
"venue_1__base__L","venue_1__base","L",15965,"1","Angel Stadium","LAA",-0.00765064922384947,0.00329915962614439,-0.000370138713566399,0.00207681198658199,-0.00802078793741587,97.8228760397853,0.00389841022294882,"woba_over_xwoba"
"venue_1__base__R","venue_1__base","R",27630,"1","Angel Stadium","LAA",-0.00765064922384947,0.00329915962614439,0.000180285426837457,0.00207169478652963,-0.00747036379701201,97.9722805114786,0.00389568652836894,"woba_over_xwoba"
"venue_22__base__L","venue_22__base","L",18210,"22","Dodger Stadium","LAD",-0.000601792721435466,0.00330836254935733,-0.00149401478361158,0.00207373176576994,-0.00209580750504704,99.4311241275996,0.00390456478936558,"woba_over_xwoba"
"venue_22__base__R","venue_22__base","R",23980,"22","Dodger Stadium","LAD",-0.000601792721435466,0.00330836254935733,0.00147908110638022,0.0020710693361827,0.000877288384944754,100.23812692441,0.00390315141305925,"woba_over_xwoba"
"venue_2392__base__L","venue_2392__base","L",15393,"2392","Minute Maid Park","HOU",0.00903662742218017,0.00331625038077469,-0.000968412607756294,0.00208178886980279,0.00806821481442388,102.189997282773,0.00391552825126101,"woba_over_xwoba"
"venue_2392__base__R","venue_2392__base","R",27485,"2392","Minute Maid Park","HOU",0.00903662742218017,0.00331625038077469,0.0011926593830016,0.00207644418547952,0.0102292868051818,102.776588232134,0.00391268923419686,"woba_over_xwoba"
"venue_2394__base__L","venue_2394__base","L",10779,"2394","Comerica Park","DET",-0.0182285043866871,0.00363379665261917,-0.00101133550865416,0.00212909974921292,-0.0192398398953413,94.777630732332,0.0042115963546718,"woba_over_xwoba"
"venue_2394__base__R","venue_2394__base","R",19326,"2394","Comerica Park","DET",-0.0182285043866871,0.00363379665261917,0.000558989391556063,0.00212324829304234,-0.0176695149951311,95.2038721430569,0.0042086412803295,"woba_over_xwoba"
"venue_2394__cf_in_412__L","venue_2394__cf_in_412","L",6523,"2394","Comerica Park","DET",-0.00348070852995945,0.0043724756921929,0.000134936093632992,0.00218979559745505,-0.00334577243632646,99.0918396804168,0.00489016854898186,"woba_over_xwoba"
"venue_2394__cf_in_412__R","venue_2394__cf_in_412","R",8543,"2394","Comerica Park","DET",-0.00348070852995945,0.0043724756921929,-0.000221310979626431,0.00218675961625178,-0.00370201950958588,98.9951416945081,0.00488880980383645,"woba_over_xwoba"
"venue_2395__base__L","venue_2395__base","L",9417,"2395","AT&T Park","SFG",-0.0162403409207662,0.00401479473849712,-0.00110686988941122,0.00216269886946092,-0.0173472108101774,95.2913568352113,0.00456024595742726,"woba_over_xwoba"
"venue_2395__base__R","venue_2395__base","R",11566,"2395","AT&T Park","SFG",-0.0162403409207662,0.00401479473849712,0.000703860679223296,0.0021603424717522,-0.0155364802415429,95.7828528000999,0.00455912890665756,"woba_over_xwoba"
"venue_2395__bullpen_center__L","venue_2395__bullpen_center","L",10129,"2395","Oracle Park","SFG",-0.00811205200688595,0.00383159183538898,-0.000900925826086588,0.00214643602236933,-0.00901297783297254,97.5535608039812,0.00439184284681774,"woba_over_xwoba"
"venue_2395__bullpen_center__R","venue_2395__bullpen_center","R",13134,"2395","Oracle Park","SFG",-0.00811205200688595,0.00383159183538898,0.000699622682995176,0.00214365294459701,-0.00741242932389078,97.9880059652045,0.0043904833378455,"woba_over_xwoba"
"venue_2397__base__L","venue_2397__base","L",39,"2397","Tokyo Dome","CHC",-0.00275184951125704,0.0138752491434545,-5.75311919977163e-05,0.00229320104898802,-0.00280938070325475,99.2374352632004,0.0140634743162568,"woba_over_xwoba"
"venue_2397__base__R","venue_2397__base","R",49,"2397","Tokyo Dome","CHC",-0.00275184951125704,0.0138752491434545,-1.07568263067605e-05,0.00229290104660502,-0.0027626063375638,99.2501314712369,0.0140634254007499,"woba_over_xwoba"
"venue_2523__steinbrenner__L","venue_2523__steinbrenner","L",1914,"2523","George M. Steinbrenner Field","TBR",0.00625439814436784,0.00692161429052131,-0.000456879197730375,0.00225873694269643,0.00579751894663747,101.573650557403,0.00728084040225099,"woba_over_xwoba"
"venue_2523__steinbrenner__R","venue_2523__steinbrenner","R",2157,"2523","George M. Steinbrenner Field","TBR",0.00625439814436784,0.00692161429052131,0.000612084071114113,0.00225753862696652,0.00686648221548195,101.863804787056,0.00728046873758789,"woba_over_xwoba"
