"park_era_id","rank","team_id","team","park","years_used","overall_resid","bacon_resid","hr_resid","xbh_resid","carry_ft","bacon_idx_100","hr_idx_100","xbh_idx_100","carry_idx_100","overall_pf_idx_100","total_bbe","overall_se","bacon_se","hr_se","xbh_se","carry_se","bacon_rank","hr_rank","xbh_rank","carry_rank","team_token","team_norm","park_suffix","year_end","year_start","Rank"
"venue_15__humidor",25,"AZ","Diamondbacks","Chase Field","2018-2026",-0.000682988669760267,0.00161912783281226,-0.00586882646766062,0.00179230250968499,4.09770324312086,101.995905034726,86.6204839927158,102.457967270313,112.619720984608,99.6315004881343,31896,0.00310415192164603,0.0023642568912091,0.00122535916467554,0.00199057454434457,0.760895942917954,18,48,22,6,"az","AZ","humidor",2026,2018,12
"venue_22__base",26,"LAD","Dodgers","Dodger Stadium","2015-2026",-0.000876234486030313,-0.00443306695023905,0.00544929843832017,0.00346001017715923,-2.00487843962209,94.2743546501898,110.315843546129,104.990074146388,94.3902470082254,99.4669435524551,41473,0.00285267721080406,0.00216053517592227,0.00112211616723312,0.00181135165219926,0.74798006170096,48,9,18,40,"lad","LAD","base",2026,2015,13
"venue_17__base",29,"CHC","Cubs","Wrigley Field","2015-2026",-0.00255666526297939,-0.0022306322472266,0.000938487149635482,-0.00236733515239398,-3.32002298026074,97.0842791713875,100.872115344605,96.1423237486381,90.4616812920877,98.0359861086501,42356,0.0028376924797878,0.00214797196268255,0.00111671989166664,0.0018026126571415,0.748475236547769,35,23,32,53,"chc","CHC","base",2026,2015,14
"venue_4__base",31,"CHW","White Sox","Rate Field","2015-2026",-0.00324214047255598,-0.00406975448040303,0.00251114654117574,-0.00532800634813572,-2.04757816057526,94.7378783208134,104.164597981716,91.6470899383328,94.262695507503,97.4522751536126,43008,0.00282559560317463,0.00213736960887978,0.00111191466960733,0.00179497815270417,0.747726619074845,47,19,45,42,"chw","CHW","base",2026,2015,15
"venue_2394__cf_in_412",33,"DET","Tigers","Comerica Park","2023-2026",-0.00370733115253629,-0.00352320881499098,-0.000939928959511693,-0.00417242175943592,-1.16724403422452,95.435175754919,96.9395076496993,93.4016322601085,96.8924068134923,97.0561457352292,14410,0.00411340736288519,0.00314956657397858,0.00163992150018317,0.00267809124962702,0.818268208696404,43,34,41,35,"det","DET","cf_in_412",2026,2023,16
"venue_3312__base",36,"MIN","Twins","Target Field","2015-2026",-0.00517061444036071,0.000867006154203324,-0.00207218632903559,0.000468135112174576,-0.00472633709883612,101.036328278712,94.569040306324,100.447463008863,100.365049574959,95.8100985062506,44582,0.00279799932063304,0.00211377334070828,0.00110050948134357,0.00177816775814524,0.745657077533234,22,39,25,24,"min","MIN","base",2026,2015,17
"venue_5__wind_tunnel",37,"CLE","Guardians","Progressive Field","2024-2026",-0.00520678316618738,-0.00346736370203771,-0.00318158592025056,-0.00429246477894136,-2.17401182392123,95.5064244289713,92.2464274688957,93.2193690487299,93.8850161423547,95.7792993158498,9991,0.00473727666412804,0.00360691397180751,0.00189938688795532,0.00308492800165426,0.861152404843777,42,43,42,43,"cle","CLE","wind_tunnel",2026,2024,18
"venue_3313__base",38,"NYY","Yankees","Yankee Stadium","2015-2026",-0.00561397689277097,-0.00628636590558203,0.00625830447946996,-0.00171927149899024,-2.34349259210251,91.9098667620333,112.009559526927,97.1262890232016,93.3787475803468,95.4325567411968,41895,0.0028471722235168,0.00215570646863866,0.00112066153777031,0.0018081948171954,0.74872015992788,52,8,30,45,"nyy","NYY","base",2026,2015,19
"venue_3309__base",39,"WSH","Nationals","Nationals Park","2015-2026",-0.00614671925182443,-0.00250074336714598,2.11240836293809e-06,-0.00369764798101282,-1.76915123510647,96.7396642512396,98.9117432551026,94.1224887821307,95.0944052094003,94.9789042285347,44124,0.0028051689854455,0.00211949481952351,0.0011035617173709,0.0017807383550693,0.747146163277635,36,28,39,39,"wsh","WSH","base",2026,2015,20
"venue_4705__suntrust",40,"ATL","Braves","Truist Park","2017-2026",-0.00615772900438113,-0.00142968272462506,-0.00190332660507653,-0.00355511931228141,0.720799305693858,98.1061517838747,94.9225610446563,94.3388923096622,102.532320987628,94.9695289614356,34481,0.00302720896308609,0.00230326320931366,0.00119383838341444,0.00193585685261895,0.756374544846138,32,37,38,19,"atl","ATL","suntrust",2026,2017,21
"venue_4169__fence_reduced",41,"MIA","Marlins","loanDepot park","2021-2026",-0.00663702847049974,-0.00182507540495175,-0.00514791063771753,-0.00353714627624418,-1.29942001613519,97.6016993311267,88.1297763834741,94.3661810539795,96.4975741430248,94.5613853185898,22908,0.00345721028127263,0.00264629464371796,0.00136969519134108,0.00223298330834657,0.780911737506702,34,47,37,36,"mia","MIA","fence_reduced",2026,2021,22
"venue_1__base",42,"LAA","Angels","Angel Stadium","2015-2026",-0.00694038570564657,-0.0051801125233134,0.00250674861517403,-0.00458609176753672,-0.184861449815771,93.3212541240481,104.155390587491,92.7735505570816,99.8269546308485,94.3030638811822,42985,0.00282428855702864,0.00213683536385236,0.0011096321922392,0.00179314130210015,0.747427253360888,49,20,43,27,"laa","LAA","base",2026,2015,23
"venue_2395__bullpen_center",43,"SFG","Giants","Oracle Park","2021-2026",-0.00753841925587881,-0.000619232479389899,-0.00967397287878165,-0.00721288621532336,-2.01327697380127,99.1401456699056,78.654119147489,88.7852470833978,94.3651591244053,93.7938131747035,22579,0.00347828026834865,0.00266268502810025,0.0013794822556548,0.0022462450123908,0.782449318199619,28,58,52,41,"sfg","SFG","bullpen_center",2026,2021,24
"venue_5325__globe_life",45,"TEX","Rangers","Globe Life Field","2021-2026",-0.00759222383918203,-0.00306767143157951,0.000917096716220781,-0.00290984645411729,1.83993431232138,96.0163624126752,100.827332837346,95.3186202757611,105.875372099433,93.7479963103347,22406,0.00349058037724758,0.00267343545551083,0.00138370622684211,0.00225458874085743,0.779257920530964,39,24,34,13,"tex","TEX","globe_life",2026,2021,25
"venue_31__base",47,"PIT","Pirates","PNC Park","2015-2026",-0.00806685822814465,-0.00357206698241715,-0.00676193964330899,-0.00300387263281726,0.00124711202122656,95.3728412110055,84.7506832973996,95.1758588444499,100.382893307488,93.3438251767847,44069,0.0028056011376638,0.0021203702444787,0.00110280518311809,0.00178194027893102,0.747784137420213,44,54,35,22,"pit","PIT","base",2026,2015,26
"venue_2680__base",48,"SDP","Padres","Petco Park","2015-2026",-0.00812329170487042,-0.00659013502379033,-0.00156655975941798,-0.0059087398233298,-3.22369276937114,91.5223100763034,95.6276081756816,90.7653531361431,90.749436403587,93.2957696991606,41941,0.0028445644550531,0.00215416621470502,0.00111804739827005,0.00180563842164532,0.749299245882924,53,36,47,52,"sdp","SDP","base",2026,2015,27
"venue_3289__rf_in_362",51,"NYM","Mets","Citi Field","2023-2026",-0.0116262817363943,-0.00856595654953308,0.00014163245780286,-0.0061755704453309,-3.05707925899253,89.0015046480647,99.20383914235,90.3602199908721,91.2471399673344,90.3128264384544,14111,0.00414189594411122,0.00317209225912678,0.00165039770043205,0.00268988855705103,0.821758996015356,57,26,49,49,"nym","NYM","rf_in_362",2026,2023,28
"venue_680__base",55,"SEA","Mariners","T-Mobile Park","2015-2026",-0.0164110217949086,-0.0131170797001605,0.00127331575908557,-0.00674237451726848,-3.77998496323402,83.1950612050663,101.573104629985,89.4996324215206,89.087694767262,86.2384191511555,42045,0.00284461363399255,0.0021546348821923,0.00111863706677265,0.0018069735418999,0.747846354668827,59,22,50,54,"sea","SEA","base",2026,2015,29
"venue_2889__base",59,"STL","Cardinals","Busch Stadium","2015-2026",-0.0184173798881692,-0.00754816673553672,-0.00771921458771539,-0.0114611636438878,-0.894423793187966,90.3000278468964,82.7465550351999,82.3350204051006,97.7073683728386,84.5299208970936,44130,0.00280989526131888,0.00212321236725741,0.00110630897192423,0.0017855426155388,0.747913400956614,55,56,58,32,"stl","STL","base",2026,2015,30
