player_id,season,n10_sav,n10_sav_native,eff_cnt_sav,flag_le2_sav,fb_cnt_sav,brk_cnt_sav,off_cnt_sav
669854,2025,4,4,3.527237326636285,0,1,2,1
669920,2022,3,3,2.505585048523782,0,1,1,1
669920,2025,4,4,3.297269348310895,0,2,1,1
669923,2022,4,4,3.7050210445195324,0,3,1,0
669923,2023,4,4,3.8888111126666374,0,2,2,0
669923,2024,4,4,4.072722533559233,0,2,1,1
669923,2025,4,4,4.027613316900671,0,2,2,0
669952,2022,3,3,3.247807729782396,0,1,2,0
670102,2024,3,3,2.9528719745617114,0,1,1,1
670102,2025,3,3,2.583552074075605,0,1,1,1
670124,2022,4,3,4.168229752823975,0,2,0,1
670124,2024,3,3,3.52534679416305,0,1,2,0
670174,2022,5,5,3.997307205916965,0,3,1,1
670912,2021,4,4,2.832423585415011,0,1,2,1
670912,2023,3,3,3.201091192517537,0,1,2,0
670912,2025,3,3,3.610905500318927,0,1,2,0
671096,2023,4,4,3.017774692941425,0,1,2,1
671096,2024,4,4,2.7685720230251762,0,1,2,1
671096,2025,4,4,3.2621105855488497,0,1,2,1
671106,2023,3,3,3.1547930771220716,0,1,1,1
671106,2024,5,5,4.140825106103371,0,3,1,1
671106,2025,5,5,4.333281333957326,0,3,1,1
671212,2024,2,2,2.0466723154822577,1,1,1,0
671212,2025,3,3,2.59270206223522,0,1,1,1
671737,2023,4,4,3.2375771831814166,0,2,1,1
671737,2024,3,3,3.2808829512198314,0,2,0,1
671737,2025,4,4,3.953998169593864,0,2,1,1
672282,2022,4,4,3.3116665069224345,0,1,2,1
672282,2023,3,3,3.439806820448964,0,1,2,0
672282,2024,4,4,3.5343931800349204,0,1,2,1
672456,2024,4,4,3.5236439083572177,0,1,2,1
672578,2021,3,3,2.621702844203232,0,1,2,0
672710,2022,3,3,2.6668657926458517,0,1,2,0
672710,2023,3,3,2.685876112077585,0,1,2,0
672715,2021,2,2,2.2603786694458927,1,1,1,0
672782,2025,4,4,4.662743744929266,0,2,2,0
672851,2022,2,2,2.1501399741123146,1,1,1,0
672851,2023,5,5,3.8823092687831093,0,2,2,1
673540,2023,3,2,2.723406544569972,0,2,0,0
673540,2025,3,3,3.2219183089537466,0,2,1,0
674003,2024,3,3,2.700957242103497,0,1,1,1
674072,2022,3,3,2.619927166024784,0,1,2,0
674072,2023,4,4,3.0420286680781676,0,1,2,1
674072,2024,4,4,4.208408408408409,0,2,1,1
674370,2023,3,3,3.63469828369547,0,2,1,0
674370,2024,4,4,3.89089918680207,0,2,1,1
675627,2022,3,3,2.601010232374254,0,1,2,0
675627,2023,3,3,3.444245045020172,0,1,2,0
675911,2022,2,2,1.8842043381920683,1,1,1,0
675911,2023,2,2,2.1436502934657247,1,1,1,0
675911,2025,2,2,2.5202248040525217,1,1,1,0
675912,2021,4,4,2.74905020315481,0,1,2,1
675921,2021,2,2,2.5490825851775947,1,2,0,0
675921,2022,3,3,2.556145741205581,0,1,2,0
676083,2025,3,4,2.8978283674214538,0,1,3,0
676106,2024,4,4,3.920369455617497,0,2,1,1
676106,2025,4,4,3.5750527480951577,0,2,1,1
676130,2023,3,3,2.9369955710106788,0,1,1,1
676265,2022,3,3,2.626560833775471,0,1,2,0
676272,2023,5,5,4.850930893638488,0,2,2,1
676272,2024,4,4,4.1330853482124414,0,2,1,1
676282,2024,3,3,2.902926149558755,0,1,1,1
676282,2025,3,3,3.2016597404094282,0,1,1,1
676440,2023,3,3,3.032820063999125,0,2,0,1
676440,2024,3,3,3.4001530740106056,0,2,0,1
676440,2025,5,5,5.135859230441981,0,3,1,1
676467,2025,4,4,3.4841991568238035,0,2,2,0
676477,2023,3,3,2.9453172401199335,0,1,1,1
676664,2022,3,3,2.397886023681522,0,1,1,1
676664,2023,3,4,2.535470994939261,0,1,2,1
676664,2024,4,4,3.4466240040889775,0,2,1,1
676664,2025,3,3,3.294740934520318,0,1,1,1
676710,2022,3,3,3.5143455585700836,0,2,1,0
676710,2023,4,3,3.701263611396928,0,2,1,0
676710,2024,3,3,3.8038874020082374,0,2,1,0
676775,2024,4,4,3.44876787880254,0,2,1,1
676879,2022,4,4,3.8247697667199376,0,1,2,1
676917,2025,4,4,4.191431038385126,0,2,1,1
676962,2024,2,2,1.9199975424031457,1,1,1,0
676962,2025,2,2,2.12602208511742,1,1,1,0
676974,2024,3,3,2.8235958824010114,0,1,1,1
676974,2025,4,5,3.154514425594469,0,2,2,1
676979,2024,2,2,2.6132863745270294,1,2,0,0
676979,2025,4,4,3.8583656474354275,0,3,1,0
677651,2021,4,4,3.511655183554216,0,2,1,1
677651,2022,3,3,3.4499889600353266,0,2,1,0
677651,2023,3,3,3.2668422049878143,0,2,1,0
677944,2024,3,3,2.622414299500692,0,1,1,1
677944,2025,4,4,3.7129988179187228,0,2,2,0
677958,2025,4,4,4.849425343096843,0,3,1,0
677960,2021,2,2,2.3177226983854746,1,1,1,0
677960,2023,3,3,2.5945183017321005,0,1,1,1
677960,2024,4,4,3.4874044721200117,0,2,1,1
677960,2025,3,3,2.926132705970481,0,1,1,1
677976,2021,2,2,2.173034381749988,1,1,1,0
678368,2024,5,5,3.9933617429926174,0,2,2,1
678394,2022,4,4,3.803136635707696,0,2,1,1
678394,2023,4,4,3.804017041996348,0,2,1,1
