player_id,player_name,season,event_month,family,base_share,new_share,delta,is_new_pitch,n_prior_months
471911,"Carrasco, Carlos",2025,8,slfam,0.2841880341880342,0.12941176470588237,-0.1547762694821518,FALSE,1
474463,"Anderson, Brett",2021,8,ch,0.21643286573146292,0.327683615819209,0.1112507500877461,FALSE,4
477132,"Kershaw, Clayton",2025,6,slfam,0.3333333333333333,0.4502487562189055,0.11691542288557216,FALSE,1
489119,"Miley, Wade",2022,9,ch,0.2576419213973799,0.3864406779661017,0.1287987565687218,FALSE,1
489119,"Miley, Wade",2023,5,ch,0.2772511848341232,0.16019417475728157,-0.11705701007684163,FALSE,1
500779,"Quintana, Jose",2022,5,si,0.07476635514018691,0.23582766439909297,0.16106130925890605,FALSE,1
500779,"Quintana, Jose",2024,7,cufam,0.20186113099498926,0.32842105263157895,0.1265599216365897,FALSE,3
501985,"Minor, Mike",2021,6,slfam,0.2619047619047619,0.15236427320490367,-0.10954048869985825,FALSE,2
502042,"Archer, Chris",2022,5,ch,0.035842293906810034,0.15977961432506887,0.12393732041825883,FALSE,1
502043,"Gibson, Kyle",2021,5,ch,0.07489878542510121,0.1878048780487805,0.11290609262367927,FALSE,1
502043,"Gibson, Kyle",2022,5,si,0.41950113378684806,0.3009049773755656,-0.11859615641128246,FALSE,1
502171,"Cobb, Alex",2023,9,fs,0.3785066896849374,0.4973544973544973,0.11884780766955994,FALSE,5
503449,"Peralta, Wily",2022,6,ff,0.33210332103321033,0.18633540372670807,-0.14576791730650226,FALSE,1
506433,"Darvish, Yu",2021,9,slfam,0.5713642503376857,0.40145985401459855,-0.16990439632308713,FALSE,5
506433,"Darvish, Yu",2022,9,ff,0.2347024308466052,0.3401709401709402,0.10546850932433499,FALSE,5
506433,"Darvish, Yu",2023,6,si,0.10428100987925357,0.31435643564356436,0.2100754257643108,FALSE,2
506433,"Darvish, Yu",2024,9,ff,0.2170978627671541,0.10483870967741936,-0.11225915308973473,FALSE,2
506433,"Darvish, Yu",2025,8,slfam,0.35,0.15748031496062992,-0.19251968503937006,FALSE,1
518516,"Bumgarner, Madison",2022,5,fc,0.5113924050632911,0.3924050632911392,-0.11898734177215187,FALSE,1
518774,"Harvey, Matt",2021,8,ff,0.37559808612440193,0.20722891566265061,-0.16836917046175132,FALSE,4
518876,"Kelly, Merrill",2022,8,si,0.16304347826086957,0.27442827442827444,0.11138479616740488,FALSE,4
518876,"Kelly, Merrill",2023,6,ff,0.24975704567541301,0.35394456289978676,0.10418751722437375,FALSE,2
519242,"Sale, Chris",2023,5,ff,0.4027777777777778,0.5408163265306123,0.1380385487528345,FALSE,1
523260,"Kelly, Joe",2022,9,slfam,0.00423728813559322,0.3696969696969697,0.3654596815613765,TRUE,1
527048,"P<c3><a9>rez, Mart<c3><ad>n",2021,8,fc,0.3035826524198617,0.1524390243902439,-0.1511436280296178,FALSE,4
527048,"P<c3><a9>rez, Mart<c3><ad>n",2022,5,cufam,0.1476510067114094,0.0328719723183391,-0.1147790343930703,FALSE,1
527048,"P<c3><a9>rez, Mart<c3><ad>n",2023,7,ch,0.2980225988700565,0.16716417910447762,-0.13085841976557888,FALSE,3
527048,"P<c3><a9>rez, Mart<c3><ad>n",2024,8,cufam,0.10185185185185185,0.2681992337164751,0.16634738186462322,FALSE,3
527048,"P<c3><a9>rez, Mart<c3><ad>n",2025,8,fc,0.3710691823899371,0.23765432098765432,-0.13341486140228276,FALSE,1
528748,"Castellanos, Humberto",2021,9,si,0.27167630057803466,0.4005102040816326,0.12883390350359797,FALSE,1
528748,"Castellanos, Humberto",2022,5,ff,0.19915254237288135,0.056640625,-0.14251191737288135,FALSE,1
542881,"Anderson, Tyler",2022,5,ch,0.23193916349809887,0.36046511627906974,0.12852595278097087,FALSE,1
542881,"Anderson, Tyler",2023,9,ch,0.35135135135135137,0.24210526315789474,-0.10924608819345663,FALSE,5
543037,"Cole, Gerrit",2021,8,slfam,0.20239234449760765,0.3127147766323024,0.11032243213469475,FALSE,4
543037,"Cole, Gerrit",2022,8,ff,0.4963181148748159,0.6009538950715422,0.10463578019672626,FALSE,4
543037,"Cole, Gerrit",2023,8,fc,0.040583675330597355,0.16753926701570682,0.12695559168510945,FALSE,4
543037,"Cole, Gerrit",2024,8,fc,0.22953451043338685,0.07575757575757576,-0.1537769346758111,FALSE,2
