"player_type","player_name","team","position","adp","pa","ab","h","2b","3b","bb","hbp","hr","sb","cs","r","rbi","ip","k","sv","hld","ottoneu_fg_pts"
"pitcher","Jack Leiter","TEX","P",256.32,,,127,,,62,7,20,,,,,146,147,0,0,591.2
"hitter","Matt Wallner","MIN","OF",323.05,480.6,416.3,96,21,2,49.6,11.2,22.4,4.8,1.7,62.7,65,,,,,590.1
"hitter","Daylen Lile","WSN","OF",210,541.6,494.9,131.2,26.5,6.8,35,5.7,10.3,14.4,4.4,66,56.5,,,,,589.8
"hitter","Kerry Carpenter","DET","OF",230.05,478,436.6,110.6,19.9,3.3,30.9,6.7,23,2.7,1.3,61.6,68.2,,,,,589.4
"hitter","Daulton Varsho","TOR","OF",202.95,543.4,490.9,110.9,22.2,2.8,43.6,4.3,23.9,9.1,2.5,68.8,70.8,,,,,589.3
"pitcher","Sean Manaea","NYM","P",298.58,,,119,,,46,6,19,,,,,136,139,0,1,589.3
"hitter","TJ Friedl","CIN","OF",256.21,576.8,499.7,119.9,20.4,2.4,57.4,11.8,13,11.6,3.1,69.8,51.6,,,,,588.4
"hitter","Yainer Diaz","HOU","C",110.89,516,484.7,131.7,24.2,1,23.1,3.3,18.9,1.7,0.7,59.4,68,,,,,587.4
"hitter","Dylan Crews","WSN","OF",172.79,564.8,512.5,122.8,22.5,3.4,38.7,8.9,17,23.7,7.5,66,62,,,,,586.6
"hitter","Lars Nootbaar","STL","OF",420.74,515.3,446.5,109.1,21.6,1.6,60.6,3.6,16.2,6.5,2.4,63.6,56.3,,,,,586.2
"hitter","Colton Cowser","BAL","OF",258.21,518,456.6,106,22,0.9,50.1,7.1,20.6,12.4,3.5,64.4,64,,,,,584.5
"hitter","Willi Castro","COL","2B, 3B, OF",273.53,524.5,465.3,119.2,23.5,4.2,41.9,11.6,12.2,14.9,5,64.9,53.7,,,,,583.7
"hitter","Mickey Moniak","COL","OF",250.89,478.2,444.3,115.1,22.3,4.7,26.1,4,20.4,9.5,3.2,62.5,65.5,,,,,582.6
"hitter","Jorge Polanco","NYM","2B",211.05,508.5,451.8,110.9,21.4,0.4,48.2,3.8,20,5.8,2.2,61.2,66,,,,,582.2
"hitter","Ryan O'Hearn","PIT","1B, OF",272.11,511.1,454.9,119.8,23,1.8,46.7,4.9,13.9,3.5,1,59.8,59.6,,,,,582
"hitter","Ramón Laureano","SDP","OF",222.11,511.7,461.1,112.8,21.7,2.4,36.8,9.4,19.8,8.9,3.2,63.3,64,,,,,580.1
"pitcher","Slade Cecconi","CLE","P",453.95,,,152,,,39,6,22,,,,,152,128,0,0,580
"hitter","J.P. Crawford","SEA","SS",397.11,598.1,517.3,124.3,24.2,0.9,68.1,5.2,10.7,5.2,1.6,65.3,55.7,,,,,579.9
"hitter","Jonathan India","KCR","OF, 3B, 2B",351.53,524.9,454,112.9,24.5,1.1,53.6,12.1,12.5,6.3,2.5,63.4,54.6,,,,,575.3
"pitcher","Grayson Rodriguez","LAA","P",280.32,,,103,,,40,5,15,,,,,120,137,0,0,574.7
"hitter","Matt McLain","CIN","2B",197.79,533.7,471.8,110.9,22.2,1.9,50.5,6.5,17.1,15.6,3.9,64.7,57.8,,,,,574.3
