"game_date","season","mean_cd","num_pitches","num_games","fetched_at_utc"
2016-08-01,2016,0.345117620735418,994,8,"2026-07-02T04:53:07Z"
2016-08-02,2016,0.351849536098601,1501,15,"2026-07-02T04:53:07Z"
2016-08-03,2016,0.345977581320402,1470,15,"2026-07-02T04:53:07Z"
2016-08-04,2016,0.343501231678058,1408,12,"2026-07-02T04:53:07Z"
2016-08-05,2016,0.342770679458184,1350,15,"2026-07-02T04:53:07Z"
2016-08-06,2016,0.341886872188285,1740,15,"2026-07-02T04:53:07Z"
2016-08-07,2016,0.340722876425604,1695,15,"2026-07-02T04:53:07Z"
2016-08-08,2016,0.344446267437565,937,9,"2026-07-02T04:53:07Z"
2016-08-09,2016,0.348830220495638,1524,15,"2026-07-02T04:53:07Z"
2016-08-10,2016,0.346454999838027,1604,14,"2026-07-02T04:53:07Z"
2016-08-11,2016,0.342313268748048,1123,11,"2026-07-02T04:53:07Z"
2016-08-12,2016,0.349883354654436,1567,15,"2026-07-02T04:53:07Z"
2016-08-13,2016,0.346684266813233,1522,15,"2026-07-02T04:53:07Z"
2016-08-14,2016,0.341366475617281,1340,15,"2026-07-02T04:53:07Z"
2016-08-15,2016,0.350686529783157,1144,10,"2026-07-02T04:53:07Z"
2016-08-16,2016,0.351970549038929,1798,16,"2026-07-02T04:53:07Z"
2016-08-17,2016,0.347937610232152,1793,15,"2026-07-02T04:53:07Z"
2016-08-18,2016,0.35010692931713,1264,11,"2026-07-02T04:53:07Z"
2016-08-19,2016,0.348267097349863,1484,15,"2026-07-02T04:53:07Z"
2016-08-20,2016,0.346502238992569,1543,15,"2026-07-02T04:53:07Z"
2016-08-21,2016,0.340903488465154,1400,15,"2026-07-02T04:53:07Z"
2016-08-22,2016,0.347921505068361,1013,9,"2026-07-02T04:53:07Z"
2016-08-23,2016,0.353166964244595,1721,15,"2026-07-02T04:53:07Z"
2016-08-24,2016,0.349808474581893,1376,15,"2026-07-02T04:53:07Z"
2016-08-25,2016,0.351784887613399,1254,11,"2026-07-02T04:53:07Z"
2016-08-26,2016,0.354009541749243,1705,15,"2026-07-02T04:53:07Z"
2016-08-27,2016,0.346121073704722,1546,15,"2026-07-02T04:53:07Z"
2016-08-28,2016,0.346603244017012,1640,15,"2026-07-02T04:53:07Z"
2016-08-29,2016,0.35156522885286,1479,13,"2026-07-02T04:53:07Z"
2016-08-30,2016,0.345866364923547,1379,14,"2026-07-02T04:53:07Z"
2016-08-31,2016,0.345793928184645,1610,16,"2026-07-02T04:53:07Z"
2016-09-01,2016,0.359503436367094,503,4,"2026-07-02T04:53:07Z"
2016-09-02,2016,0.350065479833668,1627,15,"2026-07-02T04:53:07Z"
2016-09-03,2016,0.347180437313847,1627,15,"2026-07-02T04:53:07Z"
2016-09-04,2016,0.342426425557627,1955,15,"2026-07-02T04:53:07Z"
2016-09-05,2016,0.344678260184979,1499,15,"2026-07-02T04:53:07Z"
2016-09-06,2016,0.350018363704219,1558,15,"2026-07-02T04:53:07Z"
2016-09-07,2016,0.350574106317139,1763,15,"2026-07-02T04:53:07Z"
2016-09-08,2016,0.347256379285124,684,7,"2026-07-02T04:53:07Z"
2016-09-09,2016,0.354944619618321,1708,15,"2026-07-02T04:53:07Z"
2016-09-10,2016,0.346878540032834,1690,15,"2026-07-02T04:53:07Z"
2016-09-11,2016,0.342726089036714,1626,15,"2026-07-02T04:53:07Z"
2016-09-12,2016,0.347444106907528,1634,15,"2026-07-02T04:53:07Z"
2016-09-13,2016,0.350285431345935,1558,15,"2026-07-02T04:53:07Z"
2016-09-14,2016,0.359330235825392,1589,15,"2026-07-02T04:53:07Z"
2016-09-15,2016,0.34554856488709,1083,10,"2026-07-02T04:53:07Z"
2016-09-16,2016,0.352606478678318,1747,15,"2026-07-02T04:53:07Z"
2016-09-17,2016,0.350361556725807,1700,16,"2026-07-02T04:53:07Z"
2016-09-18,2016,0.346795627463662,1590,15,"2026-07-02T04:53:07Z"
2016-09-19,2016,0.35377971502112,1221,11,"2026-07-02T04:53:07Z"
2016-09-20,2016,0.352255685854763,1786,15,"2026-07-02T04:53:07Z"
2016-09-21,2016,0.350236995779723,1390,14,"2026-07-02T04:53:07Z"
2016-09-22,2016,0.364479772808567,1201,11,"2026-07-02T04:53:07Z"
2016-09-23,2016,0.355482937314949,1606,14,"2026-07-02T04:53:07Z"
2016-09-24,2016,0.350356004929462,1662,14,"2026-07-02T04:53:07Z"
2016-09-25,2016,0.350080079542287,1384,13,"2026-07-02T04:53:07Z"
2016-09-26,2016,0.343845702194599,1125,9,"2026-07-02T04:53:07Z"
2016-09-27,2016,0.348239462984917,1389,13,"2026-07-02T04:53:07Z"
2016-09-28,2016,0.346203842654916,1454,15,"2026-07-02T04:53:07Z"
2016-09-29,2016,0.352798302332643,945,11,"2026-07-02T04:53:07Z"
2016-09-30,2016,0.350043673823869,1601,15,"2026-07-02T04:53:07Z"
2016-10-01,2016,0.349910004140441,1527,15,"2026-07-02T04:53:07Z"
2016-10-02,2016,0.347745634114835,1505,15,"2026-07-02T04:53:07Z"
2017-04-03,2017,0.359748085835694,1052,11,"2026-07-02T04:53:07Z"
2017-04-04,2017,0.345421812514852,749,9,"2026-07-02T04:53:07Z"
2017-04-05,2017,0.34780910812766,1283,13,"2026-07-02T04:53:07Z"
2017-04-06,2017,0.336878821234219,1287,12,"2026-07-02T04:53:07Z"
2017-04-07,2017,0.342338300188911,1462,15,"2026-07-02T04:53:07Z"
2017-04-08,2017,0.344992780441771,1520,15,"2026-07-02T04:53:07Z"
2017-04-09,2017,0.34254343793258,1415,15,"2026-07-02T04:53:07Z"
2017-04-10,2017,0.349624126319947,1093,10,"2026-07-02T04:53:07Z"
2017-04-11,2017,0.345491924185657,1356,12,"2026-07-02T04:53:07Z"
2017-04-12,2017,0.338594114817995,1549,15,"2026-07-02T04:53:07Z"
2017-04-13,2017,0.35149277064133,1357,11,"2026-07-02T04:53:07Z"
2017-04-14,2017,0.345246108054347,1582,15,"2026-07-02T04:53:07Z"
2017-04-15,2017,0.337569707240928,1348,15,"2026-07-02T04:53:07Z"
2017-04-16,2017,0.338027334711316,1410,14,"2026-07-02T04:53:07Z"
2017-04-17,2017,0.339646256494212,1019,10,"2026-07-02T04:53:07Z"
2017-04-18,2017,0.341674559666499,1526,15,"2026-07-02T04:53:07Z"
2017-04-19,2017,0.33550483045051,1232,14,"2026-07-02T04:53:07Z"
2017-04-20,2017,0.344604003164819,982,11,"2026-07-02T04:53:07Z"
2017-04-21,2017,0.345785845418367,1510,15,"2026-07-02T04:53:07Z"
2017-04-22,2017,0.340756805040383,1577,15,"2026-07-02T04:53:07Z"
2017-04-23,2017,0.340571129883204,1248,15,"2026-07-02T04:53:07Z"
2017-04-24,2017,0.336964713706258,958,9,"2026-07-02T04:53:07Z"
2017-04-25,2017,0.338948811509958,1054,12,"2026-07-02T04:53:07Z"
2017-04-26,2017,0.338673153744259,1573,14,"2026-07-02T04:53:07Z"
2017-04-27,2017,0.334008716511184,1114,11,"2026-07-02T04:53:07Z"
2017-04-28,2017,0.339133487100125,1612,15,"2026-07-02T04:53:07Z"
2017-04-29,2017,0.333806761749953,1394,13,"2026-07-02T04:53:07Z"
2017-04-30,2017,0.344311282497055,1505,15,"2026-07-02T04:53:07Z"
2017-05-01,2017,0.331688341814424,1347,11,"2026-07-02T04:53:07Z"
2017-05-02,2017,0.335031085643962,1556,15,"2026-07-02T04:53:07Z"
