"projection_system","projection_type","season","playerid","name","team","ab","pa","h","x2b","x3b","bb","hbp","r","hr","rbi","sb","cs","avg","ab_per_pa","bb_per_pa","x2b_per_pa","x3b_per_pa","hbp_per_pa","cs_per_pa","r_per_pa","hr_per_pa","rbi_per_pa","sb_per_pa","h_per_pa","obp"
"steamer","steamer",2026,5933,"Jean Segura",,0.9162,1,0.2132,0.0336,0.0035,0.063,0.01,0.0947,0.0146,0.0883,0.0162,0.005,0.2327,0.9162,0.063,0.0336,0.0035,0.01,0.005,0.0947,0.0146,0.0883,0.0162,0.2132,0.2762
"steamer","steamer",2026,6153,"Eduardo Escobar",,0.9192,1,0.2069,0.0368,0.0055,0.062,0.008,0.1035,0.0283,0.1064,0.0121,0.0039,0.225087,0.9192,0.062,0.0368,0.0055,0.008,0.0039,0.1035,0.0283,0.1064,0.0121,0.2069,0.2689
"steamer","steamer",2026,6184,"J.D. Martinez",,27.9248,31.1161,6.3994,1.3908,0.0935,2.6449,0.28,3.3131,0.9222,3.5298,0.1029,0.0339,0.229165,0.897438946397524,0.0850010123376644,0.0446971182121153,0.00300487528964105,0.0089985570171069,0.00108946815314259,0.106475425904917,0.0296373902899142,0.113439666282085,0.00330696970378679,0.205662020625978,0.290663032963643
"steamer","steamer",2026,6887,"Martín Maldonado",,5.432,5.91023,1.0041,0.1819,0.01,0.3605,0.0473,0.5346,0.1496,0.539,0.046,0.0114,0.184849,0.919084367275047,0.0609959341683826,0.0307771440366957,0.00169198153032961,0.00800307263845908,0.00192885894457576,0.0904533326114212,0.025312043693731,0.0911978044847662,0.00778311503951623,0.169891865460397,0.230887799628779
"steamer","steamer",2026,7168,"Juan Centeno","ARI",0.9274,1,0.1995,0.0391,0.004,0.0528,0.009,0.0896,0.0133,0.0858,0.0124,0.0038,0.215118,0.9274,0.0528,0.0391,0.004,0.009,0.0038,0.0896,0.0133,0.0858,0.0124,0.1995,0.2523
"steamer","steamer",2026,7226,"Matt Davidson",,0.9182,1,0.2094,0.034,0.0016,0.056,0.015,0.1172,0.0498,0.1337,0.0039,0.0012,0.228055,0.9182,0.056,0.034,0.0016,0.015,0.0012,0.1172,0.0498,0.1337,0.0039,0.2094,0.2654
"steamer","steamer",2026,7304,"Salvador Perez","KCR",521.886,563.481,133.513,24.4861,0.4839,28.2304,9.0157,68.0447,26.0651,83.1677,0.4622,0.1624,0.255827,0.926182071800114,0.0501000033718972,0.0434550588218591,0.000858768973576749,0.0160000070987309,0.000288208475529787,0.120757754032523,0.0462572828542577,0.147596280974869,0.000820258358311993,0.236943215476653,0.28704321884855
"steamer","steamer",2026,7739,"Travis d'Arnaud","LAA",157.805,172.635,34.1216,7.3176,0.2444,10.8242,2.2443,17.0991,5.5966,18.6289,0.6523,0.2026,0.216227,0.914096214556724,0.062699916007762,0.0423876965852811,0.00141570365221421,0.0130002606655661,0.00117357430416775,0.0990477017985924,0.0324186868248038,0.107909172531642,0.00377849219451444,0.197651692878037,0.2603516088858
"steamer","steamer",2026,7802,"Miguel Rojas","LAD",116.73,127.353,30.0544,6.0534,0.1618,8.0742,1.1462,13.9924,2.5026,13.5202,1.8089,0.5072,0.257469,0.91658618171539,0.0634001554733693,0.0475324491766978,0.00127048440162383,0.00900018060037848,0.00398263095490487,0.109870988512245,0.0196508916162163,0.106163184220238,0.0142038271575856,0.235992870211145,0.299393025684515
"steamer","steamer",2026,8090,"Matt Carpenter",,4.9085,5.59476,1.0101,0.2169,0.0148,0.5651,0.0615,0.5786,0.1486,0.5487,0.0577,0.0182,0.205786,0.8773387955873,0.101005226318913,0.038768419020655,0.00264533241819131,0.0109924286296463,0.00325304391966769,0.103418198457128,0.026560567388056,0.0980739120176737,0.010313221657408,0.180543937541557,0.281549163860469
"steamer","steamer",2026,8202,"Josh Harrison",,0.9262,1,0.2119,0.0413,0.0039,0.048,0.015,0.0917,0.0127,0.0868,0.013,0.0042,0.228784,0.9262,0.048,0.0413,0.0039,0.015,0.0042,0.0917,0.0127,0.0868,0.013,0.2119,0.2599
"steamer","steamer",2026,8418,"Ehire Adrianza",,1.7092,1.89218,0.3733,0.0743,0.0093,0.1457,0.017,0.1797,0.0267,0.1629,0.0249,0.0075,0.218406,0.903296726527075,0.0770011309706265,0.0392668773583909,0.00491496580663573,0.00898434609815134,0.00396368210212559,0.0949698231669291,0.0141107082835671,0.0860911752581678,0.013159424579057,0.197285670496464,0.274286801467091
"steamer","steamer",2026,8623,"Donovan Solano",,11.0333,12.1078,2.7873,0.49,0.055,0.7749,0.1816,1.1649,0.1765,1.137,0.05,0.0158,0.252626,0.911255554270801,0.0640000660731099,0.0404697798113613,0.00454252630535688,0.0149985959464147,0.00130494392044798,0.0962107071474587,0.0145773798708271,0.0939064074398322,0.00412956936850625,0.23020697401675,0.294207040089859
"steamer","steamer",2026,9218,"Paul Goldschmidt","NYY",319.907,355.85,81.5055,16.347,0.6335,30.1405,2.4909,41.9713,10.6098,40.7336,3.6242,0.8668,0.254779,0.898993958128425,0.0847000140508641,0.0459378951805536,0.00178024448503583,0.00699985949135872,0.00243585780525502,0.117946606716313,0.0298153716453562,0.114468455810032,0.0101846283546438,0.229044541239286,0.31374455529015
"steamer","steamer",2026,9241,"Starling Marte","KCR",177.344,194.649,48.0014,8.868,0.5884,12.3018,3.1144,22.3101,4.6125,21.449,4.7401,1.1409,0.270669,0.911096383747155,0.0631999136907973,0.045558929149392,0.00302287707617301,0.0160000821992407,0.00586131960606014,0.114617079974724,0.0236964998535826,0.110193219590134,0.0243520387980416,0.246604914487102,0.3098048281779
"steamer","steamer",2026,9256,"AJ Pollock",,0.9172,1,0.2047,0.0404,0.0038,0.063,0.009,0.102,0.0258,0.1027,0.0141,0.0041,0.223179,0.9172,0.063,0.0404,0.0038,0.009,0.0041,0.102,0.0258,0.1027,0.0141,0.2047,0.2677
"steamer","steamer",2026,9627,"Yan Gomes",,5.9449,6.40373,1.2817,0.235,0.0213,0.301,0.0832,0.6073,0.1375,0.6064,0.0717,0.0188,0.215597,0.928349571265497,0.0470038555654283,0.0366973623185237,0.00332618645695556,0.0129924278506433,0.0029357889854819,0.0948353537703807,0.0214718609310511,0.0946948106806502,0.0111965994818645,0.200148975675114,0.247152831240543
"steamer","steamer",2026,9774,"Christian Vázquez","HOU",71.1444,77.5747,16.0619,2.8381,0.1337,4.8174,0.6982,7.6983,1.6535,7.4835,0.7797,0.2449,0.225765,0.917108284015278,0.0621001434746122,0.0365853815741472,0.00172350005865314,0.00900035707518044,0.00315695710070422,0.0992372513203403,0.0213149390200671,0.0964683073218459,0.0100509573353168,0.207050752371585,0.269150895846197
"steamer","steamer",2026,9777,"Nolan Arenado","ARI",479.928,525.235,123.148,23.8344,1.5757,36.6614,4.2019,58.1735,16.5091,64.0464,2.9116,1.023,0.256597,0.913739564195075,0.069799994288271,0.0453785448418327,0.00299999048045161,0.00800003807819357,0.00194769960113092,0.110757089683665,0.0314318352737346,0.121938560834674,0.00554342341999295,0.234462669090978,0.304262663379249
"steamer","steamer",2026,9847,"Andrew McCutchen","TEX",160.316,184.708,37.0697,6.979,0.2406,20.8904,1.6624,21.6749,5.257,18.9208,1.0932,0.3722,0.231229,0.867942915304156,0.11309959503649,0.0377839617125409,0.00130259653074041,0.00900015159061871,0.00201507243865994,0.1173468393356,0.0284611386621045,0.102436277800637,0.00591853087034671,0.200693527080581,0.313793122117071
"steamer","steamer",2026,9874,"DJ LeMahieu",,7.2034,8.10629,1.7871,0.2888,0.0217,0.7539,0.0567,0.831,0.1466,0.7676,0.0549,0.0182,0.248091,0.88861859124211,0.0930018541157546,0.0356266553503514,0.00267693359107557,0.00699456841539101,0.00224517010864403,0.102512986828747,0.0180847218641327,0.0946918997469866,0.00677251862442622,0.220458434129546,0.313460288245301
"steamer","steamer",2026,9929,"Darin Ruf",,0.8842,1,0.1897,0.0346,0.0032,0.096,0.009,0.1055,0.0273,0.1005,0.0147,0.0042,0.214544,0.8842,0.096,0.0346,0.0032,0.009,0.0042,0.1055,0.0273,0.1005,0.0147,0.1897,0.2857
"steamer","steamer",2026,9952,"Trayce Thompson",,0.8982,1,0.1743,0.036,0.0021,0.083,0.008,0.1005,0.0304,0.1006,0.0129,0.0036,0.194055,0.8982,0.083,0.036,0.0021,0.008,0.0036,0.1005,0.0304,0.1006,0.0129,0.1743,0.2573
"steamer","steamer",2026,10028,"Christian Bethancourt","CHC",7.3912,7.86817,1.5144,0.2949,0.0139,0.3305,0.0551,0.751,0.212,0.7898,0.1022,0.0255,0.204892,0.939379804961001,0.0420046846979666,0.0374801256200616,0.0017666115500809,0.00700289902226312,0.00324090608108366,0.0954478614468167,0.0269440034976367,0.100379122464309,0.0129890431955588,0.192471692909533,0.2344763776075
"steamer","steamer",2026,10030,"Chris Owings",,0.8892,1,0.18,0.034,0.0038,0.09,0.01,0.0958,0.0192,0.0874,0.0141,0.0045,0.202429,0.8892,0.09,0.034,0.0038,0.01,0.0045,0.0958,0.0192,0.0874,0.0141,0.18,0.27
"steamer","steamer",2026,10047,"Wil Myers",,0.9102,1,0.1981,0.0362,0.0034,0.07,0.009,0.1006,0.0259,0.1001,0.0145,0.0047,0.217644,0.9102,0.07,0.0362,0.0034,0.009,0.0047,0.1006,0.0259,0.1001,0.0145,0.1981,0.2681
"steamer","steamer",2026,10059,"Max Stassi",,0.8822,1,0.1827,0.0353,0.0027,0.092,0.015,0.1007,0.0231,0.0935,0.011,0.0033,0.207096,0.8822,0.092,0.0353,0.0027,0.015,0.0033,0.1007,0.0231,0.0935,0.011,0.1827,0.2747
"steamer","steamer",2026,10155,"Mike Trout","LAA",353.668,417.795,82.0846,13.3856,1.3877,54.94,5.0135,55.7467,19.462,51.2992,2.5824,0.767,0.232095,0.846510848621932,0.13149989827547,0.0320386792565732,0.00332148541748944,0.0119999042592659,0.00183582857621561,0.133430749530272,0.0465826541725009,0.122785576658409,0.0061810217929846,0.196470996541366,0.327970894816836
"steamer","steamer",2026,10200,"Tucker Barnhart",,5.1354,5.77307,1.0429,0.2066,0.0125,0.508,0.0635,0.5121,0.0632,0.4437,0.0493,0.0145,0.203081,0.889544038094116,0.0879947757432354,0.0357868517097489,0.00216522578108355,0.0109993469679044,0.00251166190605692,0.0887049697994308,0.0109473815491584,0.0768568543253416,0.00853965048059351,0.180649117367363,0.268643893110598
"steamer","steamer",2026,10231,"Jose Iglesias",,117.048,127.011,30.2262,5.8171,0.2677,6.8586,1.7782,12.196,1.6717,11.8588,1.4504,0.4861,0.258237,0.921557975293479,0.0540000472400028,0.0457999700813315,0.00210769145979482,0.0140003621733551,0.00382722756296699,0.0960231790947241,0.0131618521230445,0.0933682909354308,0.0114194833518357,0.237980962278858,0.291981009518861
"steamer","steamer",2026,10243,"Randal Grichuk","NYY",102.638,111.696,25.3608,5.1841,0.2994,6.8693,1.117,13.0153,4.3886,14.3912,0.5049,0.1811,0.24709,0.918904884687008,0.0614999641885117,0.0464125841569976,0.00268048990116029,0.0100003581148833,0.00162136513393497,0.116524316000573,0.0392905744162727,0.128842572697321,0.00452030511388053,0.227051998281049,0.28855196246956
"steamer","steamer",2026,10264,"Brandon Belt",,0.8732,1,0.1885,0.034,0.0026,0.107,0.009,0.1132,0.0362,0.1117,0.0101,0.0031,0.215873,0.8732,0.107,0.034,0.0026,0.009,0.0031,0.1132,0.0362,0.1117,0.0101,0.1885,0.2955
"steamer","steamer",2026,10323,"Rafael Ortega",,4.5523,5.20567,0.9744,0.1885,0.0129,0.5622,0.0364,0.5422,0.1102,0.4797,0.132,0.0474,0.214046,0.874488778581816,0.107997625665861,0.0362105166097736,0.00247806718443543,0.00699237562119766,0.00910545616606508,0.104155661038829,0.0211692250949446,0.0921495215793548,0.0253569665384091,0.187180516628983,0.295178142294844
"steamer","steamer",2026,10324,"Marcell Ozuna","PIT",390.155,451.42,95.2608,16.6229,0.4394,54.9378,2.7085,55.1306,19.1002,60.3614,0.539,0.1864,0.244161,0.864283815515484,0.121699968986753,0.0368235789287138,0.000973372912143901,0.0059999556953613,0.000412919232643658,0.122127065703779,0.0423113730007532,0.133714500908245,0.00119401001284835,0.211024766293031,0.332724735279784
"steamer","steamer",2026,10348,"Domingo Santana",,0.9002,1,0.2222,0.0438,0.0015,0.081,0.008,0.1058,0.0225,0.1016,0.0066,0.002,0.246834,0.9002,0.081,0.0438,0.0015,0.008,0.002,0.1058,0.0225,0.1016,0.0066,0.2222,0.3032
"steamer","steamer",2026,10441,"Jon Singleton",,16.8949,19.5058,3.3764,0.6205,0.0313,2.3212,0.0975,1.9948,0.5815,1.9629,0.0717,0.0231,0.199847,0.866147504844713,0.119000502414666,0.0318110510719888,0.00160465092434045,0.00499851326272186,0.00118426314224487,0.102267018015154,0.0298116457669001,0.100631607009197,0.00367582975320161,0.173097232617991,0.292097735032657
"steamer","steamer",2026,10472,"Enrique Hernández","LAD",129.225,141.117,29.8649,6.0487,0.2707,9.6524,0.7056,15.2082,4.1784,16.129,0.5801,0.1954,0.231107,0.915729501052318,0.0683999801583084,0.0428630143781401,0.00191826640305562,0.00500010629477668,0.00138466662414876,0.107770148174919,0.0296094729904972,0.114295230199055,0.0041107733299319,0.211632191727432,0.28003217188574
"steamer","steamer",2026,10556,"César Hernández",,0.8982,1,0.1887,0.0357,0.0033,0.082,0.009,0.0906,0.0115,0.079,0.0169,0.0053,0.210087,0.8982,0.082,0.0357,0.0033,0.009,0.0053,0.0906,0.0115,0.079,0.0169,0.1887,0.2707
"steamer","steamer",2026,10642,"Carlos Pérez","HOU",8.3633,9.3016,1.7987,0.3839,0.0223,0.7265,0.1116,1.0301,0.3307,1.0657,0.035,0.0106,0.215071,0.899124881740776,0.0781048421776899,0.0412724692526017,0.00239743700008601,0.0119979358389954,0.00113958888793326,0.110744388062269,0.0355530231358046,0.114571686591554,0.00376279349789284,0.193375333275996,0.271480175453685
"steamer","steamer",2026,10655,"Rob Brantly",,1.0142,1.10863,0.2304,0.045,0.0032,0.0632,0.0188,0.1056,0.0177,0.0999,0.0098,0.0028,0.227174,0.914822799310861,0.0570072972948594,0.0405906388966562,0.00288644543265111,0.0169578669168253,0.00252563975356972,0.0952526992774866,0.0159656512993515,0.0901112183505768,0.00883973913749402,0.20782407115088,0.264831368445739
