"player_name","position","team","adp","pa","ab","h","2b","3b","bb","hbp","hr","sb","cs","r","rbi","avg","obp","ottoneu_fg_pts","pa_z","hr_z","sb_z","r_z","rbi_z","avg_z","obp_z","z_total_raw","z_total_weights","dollars_raw","dollars_weights","dollars_adp"
"Jake Fraley","OF","TBR",597.81,359.4,320.2,76.5,14.9,1.2,32.3,3.6,7.8,12,3.4,39.5,35.2,0.239,0.303,352.3,-1.726,-1.498,0.663,-1.618,-1.716,-0.928,-0.596,-5.097,-4.288,1,1,-4.85
"Gavin Sheets","OF","SDP",388.61,473.3,426.5,102.1,21.5,0.8,39,3.8,14.2,2.4,0.8,51.4,54.8,0.239,0.298,476.9,-0.794,-0.734,-0.974,-1.737,-0.651,-0.891,-0.791,-4.987,-4.289,1,1,-0.63
"Chase DeLauter","OF","CLE",266.55,439.8,395.4,97.5,20.9,1,37.8,2.4,11.8,3.3,1,47.8,48.6,0.247,0.308,452.2,-0.94,-1.023,-0.839,-1.719,-0.973,-0.463,-0.369,-5.017,-4.298,1,1,3.06
"Jesse Winker",,,600.97,229.3,195.6,45.9,8.6,0.6,28.7,2.9,6.1,3.7,1.1,26.8,24,0.235,0.325,246.1,-3.139,-1.039,-0.342,-0.992,-1.321,-1.167,0.437,-4.861,-4.299,1,1,-4.91
"James Outman","OF","MIN",600.45,197.9,174.8,36.9,7.2,0.9,18.5,2.8,6.6,4.2,1,23.6,21.6,0.211,0.28,189.6,-3.382,-0.422,-0.043,-0.798,-1.051,-2.584,-1.602,-4.898,-4.306,1,1,-4.9
"Zach McKinstry","3B, SS, OF","DET",316.65,397.5,355.2,83.4,15.7,4.7,33.9,3.9,7.8,13.6,3.7,48.5,36.8,0.235,0.295,386.4,-1.526,-1.707,0.707,-0.538,-2.045,-1.164,-0.928,-4.749,-4.313,1,1,1.37
"Cam Smith","OF","HOU",316.9,459.5,410,99,19.6,2.2,39.4,5.7,11.1,6.2,1.8,54.1,47.6,0.242,0.301,460.3,-0.882,-1.274,-0.483,-0.927,-1.378,-0.761,-0.655,-4.823,-4.347,1,1,1.37
"JJ Wetherholt","SS","STL",212.84,499.8,440.6,108.8,22.1,1.3,47,7.4,10.8,10.5,2.3,57.5,47.7,0.247,0.312,518.7,-0.251,-1.514,-0.054,-1.168,-1.868,-0.431,-0.171,-5.034,-4.35,1,1,5.27
"Dillon Dingler","C","DET",239.74,415.9,378.9,91.9,18.9,1.5,26.2,6.8,12.3,1.3,0.7,44.8,47.3,0.243,0.284,414.4,-1.366,-0.774,-1.09,-1.805,-0.778,-0.701,-1.431,-5.149,-4.386,1,1,4.1
"Andr<U+00E9>s Chaparro",,"WSN",600.97,279.6,252.8,58.6,11.8,0.3,22,2.6,9.6,1.1,0.3,28.8,33.8,0.232,0.288,276.5,-2.79,-0.339,-1.049,-2.239,-0.337,-1.35,-1.251,-5.313,-4.402,1,1,-4.91
"Jeff McNeil","2B, OF","ATH",323.97,536.8,478.2,122.8,25.6,2.4,43.2,9.2,11.3,3.8,0.9,61,56,0.257,0.309,565.3,0.011,-1.563,-0.865,-1.29,-1.343,0.149,-0.296,-4.912,-4.406,1,1,1.15
"Joey Ortiz","SS","MIL",431.77,514,466.7,114.3,22.9,3,36.5,4.2,10.4,12.6,3.8,57.7,51.4,0.245,0.293,490.8,0.051,-1.631,0.154,-1.406,-1.596,-0.558,-1.006,-5.038,-4.408,1,1,-1.67
"Oswald Peraza","3B","LAA",594.74,241.6,218.7,48.6,8.6,0.3,17.3,3.3,6.7,8.7,2.1,26.3,23.9,0.222,0.273,215.3,-3.177,-0.961,0.801,-1.695,-1.651,-1.921,-1.946,-5.427,-4.425,1,1,-4.8
"Matt Vierling","OF","DET",587.13,252.7,227.6,55.4,10.7,1,19.9,2.4,6.3,3.2,1,28.8,25.8,0.243,0.298,248.6,-3.038,-1.194,-0.539,-1.25,-1.461,-0.65,-0.806,-5.094,-4.428,1,1,-4.68
"CJ Kayfus","OF","CLE",579.61,295.2,262.7,61.4,13,1.9,25.6,3.9,8.3,2.9,1,34.3,31.9,0.234,0.295,300,-2.792,-0.903,-0.695,-1.047,-1.114,-1.221,-0.944,-4.979,-4.43,1,1,-4.55
"Ezequiel Duran","1B, SS","TEX",597.35,270.8,251.2,60.2,12.8,1.1,14.2,2.6,5.9,8.2,2.6,29.3,27,0.24,0.275,243.8,-2.905,-1.487,0.473,-1.768,-1.614,-0.868,-1.854,-5.263,-4.431,1,1,-4.85
"Edouard Julien","1B, 2B","COL",479.81,311.6,267,64.5,12.5,1.1,39,2.6,7.9,3.7,1,36.3,31.6,0.241,0.332,339.9,-2.036,-1.169,-0.577,-1.037,-1.519,-0.764,0.748,-5.067,-4.453,1,1,-2.7
"Pavin Smith","1B","ARI",484.32,398.3,346.9,81.3,16.8,1,46.4,1.9,11.4,2.5,0.9,45.8,45.1,0.234,0.321,417.3,-1.314,-0.869,-0.903,-1.172,-0.809,-1.192,0.222,-4.945,-4.457,1,1,-2.79
"Denzel Clarke","OF","ATH",443.03,378.9,341.7,77.4,16.8,2.8,27.9,5.7,8.6,12.8,2.7,45.4,36,0.227,0.278,354.5,-1.651,-1.418,0.675,-0.729,-1.893,-1.666,-1.708,-5.031,-4.478,1,1,-1.92
"Ryan Ritter","2B, SS","COL",584.52,218.9,196.2,48,9.8,1.6,15.9,3.9,4.9,3.7,0.9,25.3,21.6,0.245,0.292,220.4,-3.171,-1.433,-0.304,-1.133,-1.688,-0.57,-1.072,-5.129,-4.502,1,1,-4.63
"Nathan Lukes","OF","TOR",532.16,315.2,284.2,73.6,14.1,1.2,24.6,2.2,6,3.2,1.4,35.6,31.8,0.259,0.312,314.9,-2.473,-1.75,-0.69,-1.357,-1.55,0.283,-0.185,-5.064,-4.514,1,1,-3.71
"Luis Rengifo","2B, 3B","MIL",378.68,424.5,388.3,95.7,16.1,2.2,28,3.9,8.4,11.8,4.4,45.7,41.6,0.246,0.291,391.7,-1.297,-1.678,0.337,-1.821,-1.716,-0.47,-1.099,-5.348,-4.521,1,1,-0.38
"Kyle Higashioka","C","TEX",497.52,274.3,252.5,56.2,11,0.3,17.2,1.3,10,2,0.8,28.5,32.5,0.223,0.268,246.7,-2.865,-0.15,-0.841,-2.165,-0.483,-1.907,-2.179,-5.546,-4.54,1,1,-3.05
"Nick Gonzales","2B","PIT",577.19,394.5,360.2,93.4,20.6,2.7,24.8,5.1,7.4,2.6,1.4,44.5,41.7,0.259,0.3,398.3,-1.476,-1.775,-0.89,-1.357,-1.258,0.306,-0.726,-4.974,-4.549,1,1,-4.51
"Heriberto Hern<U+00E1>ndez","OF","MIA",571.61,334.7,295.6,66.4,13.6,1.2,32.6,3.6,10.9,3,1.3,37.4,38.3,0.225,0.296,335.3,-2.213,-0.514,-0.751,-1.462,-0.738,-1.786,-0.906,-5.25,-4.551,1,1,-4.41
"TJ Friedl","OF","CIN",264.19,576.8,499.7,119.9,20.4,2.4,57.4,11.8,13,11.6,3.1,69.9,51.6,0.24,0.307,588.5,0.379,-1.421,-0.107,-0.606,-2.229,-0.856,-0.371,-5.218,-4.582,1,1,3.15
"Max Muncy","2B, 3B","ATH",491.58,341.4,311,72.8,15.9,0.9,21.1,5.1,9.7,4,1.5,37.3,37.5,0.234,0.275,320.8,-1.852,-0.895,-0.586,-1.67,-1.001,-1.216,-1.835,-5.367,-4.612,1,1,-2.94
"Ram<U+00F3>n Ur<U+00ED>as","2B, 3B","STL",599.26,283.4,256.6,63,12.1,0.8,20.8,3.4,7.7,1.8,0.7,30.2,30.5,0.245,0.296,281.6,-2.481,-1.005,-0.903,-1.912,-1.134,-0.531,-0.912,-5.484,-4.618,1,1,-4.88
"Jake Mangum","OF","PIT",374.65,327.1,305.3,82,15.7,1.8,14.9,3.2,2.3,12.8,3.7,34.8,28.2,0.269,0.296,299.3,-2.162,-2.866,0.987,-1.932,-2.421,0.87,-0.872,-5.361,-4.623,1,1,-0.27
"Abimelec Ortiz","1B","WSN",577.06,231.2,209.1,47.4,9.3,0.7,17.7,2.1,8.1,0.8,0.5,24.5,26.9,0.227,0.282,223.2,-3.014,-0.276,-1.067,-1.981,-0.623,-1.66,-1.539,-5.607,-4.662,1,1,-4.51
"Jhostynxon Garcia","OF","PIT",534.74,250.7,229.4,53.3,10.4,1.4,16.3,2.6,7,3.1,0.8,27.7,27.4,0.232,0.277,233.3,-2.961,-0.928,-0.554,-1.558,-1.041,-1.324,-1.733,-5.405,-4.69,1,1,-3.76
"Tyrone Taylor",,"NYM",600.97,281.3,258.1,59.1,12.9,2.1,15.2,5,6.3,7.8,2,31.9,28.3,0.229,0.264,251.4,-2.762,-1.428,0.327,-1.321,-1.563,-1.52,-2.336,-5.504,-4.851,1,1,-4.91
"Brooks Lee","2B, 3B, SS","MIN",315.94,544.6,500,122.4,23.6,1.3,35.9,3.1,13.6,4.1,1.5,57.4,59.2,0.245,0.291,509.6,-0.032,-1.199,-0.841,-2.021,-1.073,-0.569,-1.134,-5.704,-4.886,1,1,1.4
"Gabriel Arias","2B, SS","CLE",498.26,450.9,413.3,94.9,19.7,1.7,28.8,4.8,11.9,9.5,3.4,48.2,47.2,0.23,0.274,406.3,-0.979,-1.07,-0.054,-1.876,-1.311,-1.477,-1.872,-5.789,-4.888,1,1,-3.07
"Nasim Nu<U+00F1>ez","SS","WSN",393.84,345.5,305.8,69.7,11.1,1,32.5,1.5,4.4,26.3,5.9,35.7,25.1,0.228,0.296,299,-1.858,-2.336,3.035,-2.19,-3.234,-1.575,-0.891,-6.3,-4.948,1,1,-0.76
"George Valera","UT","CLE",586.26,343,304.4,68.1,12.8,0.9,33.5,2.2,10.9,2.3,1.1,38.7,37.3,0.224,0.296,330.5,-1.993,-0.578,-0.891,-1.349,-1.083,-1.832,-0.882,-5.733,-4.962,1,1,-4.66
"Kyle Karros","3B","COL",581.52,257.4,230.4,59.6,12.4,1.1,21.7,2.6,4.7,1.8,0.4,28.2,26.1,0.259,0.316,264.6,-3.137,-1.825,-0.875,-1.647,-1.516,0.264,0.004,-5.599,-4.972,1,1,-4.58
"Jos<U+00E9> Tena",,"WSN",600.97,218.2,199.7,48.9,9.9,0.9,14.8,1.2,4.2,6.4,2.3,22.5,20.6,0.245,0.292,200.8,-3.294,-1.749,0.437,-2.227,-1.926,-0.568,-1.082,-6.033,-4.983,1,1,-4.91
"Joey Loperfido","OF","HOU",572.06,351,318.9,74.1,14.7,2.1,22.7,5.5,8.6,6.9,1.7,38.7,35.6,0.232,0.276,323.5,-1.797,-1.254,-0.132,-1.578,-1.516,-1.323,-1.809,-5.803,-5.004,1,1,-4.42
"Jared Triolo","1B, 3B, SS","PIT",413.61,490.8,432.3,104.4,20.7,2.1,49.4,3.9,8.8,12.8,3.2,54.8,45.8,0.242,0.313,482,-0.454,-1.854,0.234,-1.462,-1.997,-0.76,-0.106,-5.838,-5.103,1,1,-1.24
"Christian Moore","2B","LAA",472.32,410.2,366.8,82.4,14.3,2.3,36.3,3.1,11.6,7.1,2.2,45.7,41.2,0.225,0.289,383.4,-1.438,-0.909,-0.271,-1.493,-1.567,-1.777,-1.188,-6.017,-5.111,1,1,-2.55
"Victor Scott II","OF","STL",309.06,512.2,458.1,102.1,17.7,2.9,38.7,7.5,7.5,33.1,6.1,56.4,38.9,0.223,0.275,436.6,-0.263,-2.155,2.413,-1.606,-3.033,-1.881,-1.845,-6.261,-5.159,1,1,1.61
"Austin Martin","OF","MIN",562.42,331.1,286.7,72,15.1,1,34.6,5.7,3.4,11.7,3.4,38.4,26.9,0.251,0.322,331.8,-2.227,-2.562,0.773,-1.087,-2.722,-0.192,0.285,-5.789,-5.162,1,1,-4.26
"Brady House","3B","WSN",456.65,493.5,462.4,111.7,20.8,1.2,22.2,4.4,12.9,5.2,1.9,48.3,52.9,0.241,0.271,435.6,-0.437,-1.092,-0.657,-2.679,-1.163,-0.766,-2.014,-6.358,-5.203,1,1,-2.21
