"projection_system","projection_type","season","playerid","name","team","ab","pa","h","x2b","x3b","bb","hbp","r","hr","rbi","sb","cs","avg","ab_per_pa","bb_per_pa","x2b_per_pa","x3b_per_pa","hbp_per_pa","cs_per_pa","r_per_pa","hr_per_pa","rbi_per_pa","sb_per_pa","h_per_pa","obp"
"oopsy","oopsy",2026,11442,"Gary Sánchez","MIL",127,143,28,5,0,12,3,16,6,18,0,0,0.223537,0.888111888111888,0.0839160839160839,0.034965034965035,0,0.020979020979021,0,0.111888111888112,0.041958041958042,0.125874125874126,0,0.195804195804196,0.27972027972028
"oopsy","oopsy",2026,11445,"Mark Canha","TEX",55,63,12,2,0,6,2,7,1,5,1,0,0.223972,0.873015873015873,0.0952380952380952,0.0317460317460317,0,0.0317460317460317,0,0.111111111111111,0.0158730158730159,0.0793650793650794,0.0158730158730159,0.19047619047619,0.285714285714286
"oopsy","oopsy",2026,11472,"Dixon Machado",,1,1,0,0,0,0,0,0,0,0,0,0,0.205691,1,0,0,0,0,0,0,0,0,0,0,0
"oopsy","oopsy",2026,11477,"Christian Yelich","MIL",552,630,140,24,1,68,5,78,20,73,20,4,0.253396,0.876190476190476,0.107936507936508,0.0380952380952381,0.00158730158730159,0.00793650793650794,0.00634920634920635,0.123809523809524,0.0317460317460317,0.115873015873016,0.0317460317460317,0.222222222222222,0.33015873015873
"oopsy","oopsy",2026,11489,"Michael A. Taylor",,1,1,0,0,0,0,0,0,0,0,0,0,0.210799,1,0,0,0,0,0,0,0,0,0,0,0
"oopsy","oopsy",2026,11493,"Manny Machado","SDP",585,644,154,28,0,52,2,77,28,89,11,3,0.263759,0.908385093167702,0.0807453416149068,0.0434782608695652,0,0.0031055900621118,0.0046583850931677,0.119565217391304,0.0434782608695652,0.138198757763975,0.0170807453416149,0.239130434782609,0.319875776397516
"oopsy","oopsy",2026,11579,"Bryce Harper","PHI",576,665,155,35,0,79,5,90,31,100,11,4,0.269885,0.866165413533835,0.118796992481203,0.0526315789473684,0,0.0075187969924812,0.00601503759398496,0.135338345864662,0.0466165413533835,0.150375939849624,0.0165413533834586,0.233082706766917,0.35187969924812
"oopsy","oopsy",2026,11602,"Yolmer Sánchez","LAA",1,1,0,0,0,0,0,0,0,0,0,0,0.194325,1,0,0,0,0,0,0,0,0,0,0,0
"oopsy","oopsy",2026,11609,"Willson Contreras","BOS",531,609,129,27,1,54,19,74,23,78,6,2,0.242764,0.87192118226601,0.0886699507389163,0.0443349753694581,0.00164203612479475,0.0311986863711002,0.00328407224958949,0.121510673234811,0.0377668308702791,0.12807881773399,0.00985221674876847,0.211822660098522,0.300492610837438
"oopsy","oopsy",2026,11615,"Brandon Drury","KCR",1,1,0,0,0,0,0,0,0,0,0,0,0.227943,1,0,0,0,0,0,0,0,0,0,0,0
"oopsy","oopsy",2026,11680,"Elias Díaz","KCR",12,13,3,1,0,1,0,1,0,1,0,0,0.226986,0.923076923076923,0.0769230769230769,0.0769230769230769,0,0,0,0.0769230769230769,0,0.0769230769230769,0,0.230769230769231,0.307692307692308
"oopsy","oopsy",2026,11737,"Nick Castellanos","SDP",341,371,82,16,1,23,3,40,11,43,3,1,0.241464,0.919137466307278,0.0619946091644205,0.0431266846361186,0.00269541778975741,0.00808625336927224,0.00269541778975741,0.107816711590297,0.0296495956873315,0.115902964959569,0.00808625336927224,0.221024258760108,0.283018867924528
"oopsy","oopsy",2026,11739,"J.T. Realmuto","PHI",453,500,112,22,2,34,8,59,16,59,7,2,0.247914,0.906,0.068,0.044,0.004,0.016,0.004,0.118,0.032,0.118,0.014,0.224,0.292
"oopsy","oopsy",2026,11850,"Tyler Austin","CHC",143,161,35,8,0,16,1,20,7,23,0,0,0.244131,0.888198757763975,0.0993788819875776,0.0496894409937888,0,0.0062111801242236,0,0.124223602484472,0.0434782608695652,0.142857142857143,0,0.217391304347826,0.316770186335404
"oopsy","oopsy",2026,11899,"Joc Pederson","TEX",364,420,87,16,1,45,8,53,17,52,3,2,0.238372,0.866666666666667,0.107142857142857,0.0380952380952381,0.00238095238095238,0.019047619047619,0.00476190476190476,0.126190476190476,0.0404761904761905,0.123809523809524,0.00714285714285714,0.207142857142857,0.314285714285714
"oopsy","oopsy",2026,12005,"Nick Martini",,1,1,0,0,0,0,0,0,0,0,0,0,0.21815,1,0,0,0,0,0,0,0,0,0,0,0
"oopsy","oopsy",2026,12037,"Jon Berti",,132,147,30,5,0,12,1,15,2,12,8,2,0.2285,0.897959183673469,0.0816326530612245,0.0340136054421769,0,0.00680272108843537,0.0136054421768707,0.102040816326531,0.0136054421768707,0.0816326530612245,0.054421768707483,0.204081632653061,0.285714285714286
"oopsy","oopsy",2026,12092,"Niko Goodrum",,1,1,0,0,0,0,0,0,0,0,0,0,0.214074,1,0,0,0,0,0,0,0,0,0,0,0
"oopsy","oopsy",2026,12144,"Max Kepler",,112,126,27,5,0,11,1,15,5,15,1,0,0.238607,0.888888888888889,0.0873015873015873,0.0396825396825397,0,0.00793650793650794,0,0.119047619047619,0.0396825396825397,0.119047619047619,0.00793650793650794,0.214285714285714,0.301587301587302
"oopsy","oopsy",2026,12147,"Nick Ahmed",,1,1,0,0,0,0,0,0,0,0,0,0,0.209453,1,0,0,0,0,0,0,0,0,0,0,0
"oopsy","oopsy",2026,12155,"Eddie Rosario",,1,1,0,0,0,0,0,0,0,0,0,0,0.226515,1,0,0,0,0,0,0,0,0,0,0,0
"oopsy","oopsy",2026,12158,"Austin Barnes","NYM",6,6,1,0,0,1,0,1,0,1,0,0,0.208492,1,0.166666666666667,0,0,0,0,0.166666666666667,0,0.166666666666667,0,0.166666666666667,0.333333333333333
"oopsy","oopsy",2026,12160,"Ben Gamel","ATL",61,70,14,3,0,8,0,8,2,7,1,0,0.226678,0.871428571428571,0.114285714285714,0.0428571428571429,0,0,0,0.114285714285714,0.0285714285714286,0.1,0.0142857142857143,0.2,0.314285714285714
"oopsy","oopsy",2026,12161,"Xander Bogaerts","SDP",546,609,141,27,0,51,5,67,15,66,17,4,0.257402,0.896551724137931,0.083743842364532,0.0443349753694581,0,0.00821018062397373,0.00656814449917898,0.110016420361248,0.0246305418719212,0.108374384236453,0.0279146141215107,0.231527093596059,0.315270935960591
"oopsy","oopsy",2026,12180,"Jorge Alfaro","KCR",1,1,0,0,0,0,0,0,0,0,0,0,0.229503,1,0,0,0,0,0,0,0,0,0,0,0
"oopsy","oopsy",2026,12434,"Kevin Pillar",,1,1,0,0,0,0,0,0,0,0,0,0,0.22379,1,0,0,0,0,0,0,0,0,0,0,0
"oopsy","oopsy",2026,12533,"Marcus Semien","NYM",575,644,135,25,2,59,4,74,18,71,12,3,0.235428,0.892857142857143,0.0916149068322981,0.0388198757763975,0.0031055900621118,0.0062111801242236,0.0046583850931677,0.114906832298137,0.0279503105590062,0.110248447204969,0.0186335403726708,0.209627329192547,0.301242236024845
"oopsy","oopsy",2026,12552,"Eugenio Suárez","CIN",549,616,127,24,0,53,11,71,30,85,3,2,0.231714,0.891233766233766,0.086038961038961,0.038961038961039,0,0.0178571428571429,0.00324675324675325,0.11525974025974,0.0487012987012987,0.137987012987013,0.00487012987012987,0.206168831168831,0.292207792207792
"oopsy","oopsy",2026,12564,"Trevor Story","BOS",607,665,146,30,1,44,7,72,21,79,27,5,0.240783,0.912781954887218,0.0661654135338346,0.0451127819548872,0.00150375939849624,0.0105263157894737,0.0075187969924812,0.108270676691729,0.0315789473684211,0.118796992481203,0.0406015037593985,0.219548872180451,0.285714285714286
"oopsy","oopsy",2026,12856,"George Springer","TOR",524,595,134,23,2,60,6,76,24,77,15,3,0.255308,0.880672268907563,0.100840336134454,0.038655462184874,0.00336134453781513,0.0100840336134454,0.00504201680672269,0.127731092436975,0.0403361344537815,0.129411764705882,0.0252100840336134,0.225210084033613,0.326050420168067
"oopsy","oopsy",2026,12859,"James McCann","ARI",184,200,42,9,0,12,2,19,5,21,1,0,0.229104,0.92,0.06,0.045,0,0.01,0,0.095,0.025,0.105,0.005,0.21,0.27
"oopsy","oopsy",2026,12916,"Francisco Lindor","NYM",560,630,142,27,1,55,10,81,24,81,24,6,0.253533,0.888888888888889,0.0873015873015873,0.0428571428571429,0.00158730158730159,0.0158730158730159,0.00952380952380952,0.128571428571429,0.0380952380952381,0.128571428571429,0.0380952380952381,0.225396825396825,0.312698412698413
"oopsy","oopsy",2026,12927,"Brandon Nimmo","TEX",556,630,139,26,2,59,10,78,20,74,10,3,0.250771,0.882539682539683,0.0936507936507937,0.0412698412698413,0.00317460317460317,0.0158730158730159,0.00476190476190476,0.123809523809524,0.0317460317460317,0.117460317460317,0.0158730158730159,0.220634920634921,0.314285714285714
"oopsy","oopsy",2026,12976,"Austin Hedges","CLE",127,141,24,5,0,11,2,12,2,10,2,1,0.190269,0.900709219858156,0.0780141843971631,0.0354609929078014,0,0.0141843971631206,0.00709219858156028,0.0851063829787234,0.0141843971631206,0.0709219858156028,0.0141843971631206,0.170212765957447,0.24822695035461
"oopsy","oopsy",2026,12977,"Michael Pérez",,1,1,0,0,0,0,0,0,0,0,0,0,0.209042,1,0,0,0,0,0,0,0,0,0,0,0
"oopsy","oopsy",2026,12979,"Javier Báez","DET",403,434,93,17,2,20,6,45,11,43,7,1,0.230756,0.928571428571429,0.0460829493087558,0.0391705069124424,0.00460829493087558,0.0138248847926267,0.00230414746543779,0.1036866359447,0.0253456221198157,0.0990783410138249,0.0161290322580645,0.214285714285714,0.26036866359447
"oopsy","oopsy",2026,13066,"Teoscar Hernández","LAD",545,595,141,28,1,40,6,74,29,91,8,2,0.257858,0.915966386554622,0.0672268907563025,0.0470588235294118,0.00168067226890756,0.0100840336134454,0.00336134453781513,0.12436974789916,0.0487394957983193,0.152941176470588,0.0134453781512605,0.236974789915966,0.304201680672269
"oopsy","oopsy",2026,13145,"Josh Bell","MIN",507,574,124,23,1,58,4,66,20,68,1,2,0.243871,0.883275261324042,0.101045296167247,0.0400696864111498,0.00174216027874564,0.00696864111498258,0.00348432055749129,0.114982578397213,0.0348432055749129,0.118466898954704,0.00174216027874564,0.21602787456446,0.317073170731707
"oopsy","oopsy",2026,13152,"Jorge Polanco","NYM",479,539,118,23,0,53,4,64,20,70,7,3,0.24608,0.888682745825603,0.098330241187384,0.0426716141001855,0,0.00742115027829314,0.00556586270871985,0.11873840445269,0.0371057513914657,0.12987012987013,0.012987012987013,0.218923933209648,0.317254174397032
