"player_name","team","position","adp","adp_match_method","adp_override_notes"
"Luis Arraez","SFG","2B, 1B",270.7,"direct",
"Hunter Goodman","COL","C",67.86,"direct",
"Josh Naylor","SEA","1B",62.59,"direct",
"Shea Langeliers","ATH","C",55.85,"direct",
"William Contreras","MIL","C",54.84,"direct",
"Alec Burleson","STL","1B, OF",177.62,"direct",
"Salvador Perez","KCR","C, 1B",94.69,"direct",
"Brice Turang","MIL","2B",50.38,"direct",
"Andy Pages","LAD","OF",130.38,"direct",
"Seiya Suzuki","CHC","OF",93.02,"direct",
"Oneil Cruz","PIT","OF",96.46,"direct",
"Jo Adell","LAA","OF",127.13,"direct",
"Taylor Ward","BAL","OF",152.07,"direct",
"Jose Altuve","HOU","OF, 2B",109.78,"direct",
"Roman Anthony","BOS","OF",52.47,"direct",
"Cody Bellinger","NYY","OF",77.27,"direct",
"Tyler Soderstrom","ATH","OF, 1B",85.04,"direct",
"Randy Arozarena","SEA","OF",87.17,"direct",
"Ceddanne Rafaela","BOS","2B, OF",134.89,"direct",
"Brandon Nimmo","TEX","OF",141.4,"direct",
"Heliot Ramos","SFG","OF",220.19,"direct",
"Alex Bregman","CHC","3B",112.22,"direct",
"Trevor Story","BOS","SS",106.7,"direct",
"Geraldo Perdomo","ARI","SS",74.12,"direct",
"Gleyber Torres","DET","2B",244.01,"direct",
"Yainer Diaz","HOU","C",113.55,"direct",
"Christian Yelich","MIL","UT",122.43,"direct",
"Bryan Reynolds","PIT","OF",204.02,"direct",
"Dansby Swanson","CHC","SS",147.15,"direct",
"Willy Adames","SFG","SS",128.03,"direct",
"Alec Bohm","PHI","3B",248.09,"direct",
"Steven Kwan","CLE","OF",163.84,"direct",
"Eugenio Suárez","CIN","3B",101.36,"direct",
"Brenton Doyle","COL","OF",165.23,"direct",
"Michael Busch","CHC","1B",105.87,"direct",
"Xander Bogaerts","SDP","SS",240.11,"direct",
"Jake Burger","TEX","1B",267.43,"direct",
"Ben Rice","NYY","C, 1B",51.9,"direct",
"Iván Herrera","STL","UT",155.23,"direct",
"Otto Lopez","MIA","SS, 2B",222.86,"direct",
"Lawrence Butler","ATH","OF",147.78,"direct",
"Mickey Moniak","COL","OF",251.89,"direct",
"Masyn Winn","STL","SS",280.72,"direct",
"Matt Chapman","SFG","3B",160.72,"direct",
"Luis García Jr.","WSN","1B, 2B",239.52,"direct",
"Luis Robert Jr.","NYM","OF",119.14,"direct",
"Ian Happ","CHC","OF",181.14,"direct",
"Ozzie Albies","ATL","2B",152.99,"direct",
"Bryson Stott","PHI","2B",186.7,"direct",
"Will Smith","LAD","C",99.42,"direct",
"Xavier Edwards","MIA","2B, SS",183.49,"direct",
"Adolis García","PHI","OF",232.21,"direct",
"Drake Baldwin","ATL","C",84.82,"direct",
"Luke Keaschall","MIN","2B",124.51,"direct",
"Kerry Carpenter","DET","OF",230.88,"direct",
"Daylen Lile","WSN","OF",207.28,"direct",
"Willson Contreras","BOS","1B",175.55,"direct",
"Jung Hoo Lee","SFG","OF",296.86,"direct",
"Sal Stewart","CIN","1B",188.37,"direct",
"Jonathan Aranda","TBR","1B",188.94,"direct",
"Marcus Semien","NYM","2B",249.21,"direct",
"Chandler Simpson","TBR","OF",174.16,"direct",
"Brendan Donovan","SEA","3B, 2B",275.19,"direct",
"Spencer Torkelson","DET","1B",181.82,"direct",
"Andrew Vaughn","MIL","1B",286.73,"direct",
"Alejandro Kirk","TOR","C",157.2,"direct",
"Jordan Beck","COL","OF",235.07,"direct",
"Ernie Clement","TOR","2B, 3B, SS",282.49,"direct",
"Carlos Correa","HOU","3B, SS",263.86,"direct",
"Munetaka Murakami","CHW","1B, 3B",205.69,"direct",
"Royce Lewis","MIN","3B",192.36,"direct",
"Brandon Lowe","PIT","2B",168.24,"direct",
"Wilyer Abreu","BOS","OF",225.96,"direct",
"Daulton Varsho","TOR","OF",199.49,"direct",
"Adley Rutschman","BAL","C",147.12,"direct",
"Willi Castro","COL","2B, 3B, OF",300.04,"direct",
"Kazuma Okamoto","TOR","3B",223.18,"direct",
"Ramón Laureano","SDP","OF",220.76,"direct",
"Nolan Schanuel","LAA","1B",331.54,"direct",
"Agustín Ramírez","MIA","C",82.74,"direct",
"Andrés Giménez","TOR","SS, 2B",320,"direct",
"Christian Walker","HOU","1B",201.52,"direct",
"Jorge Polanco","NYM","2B",214.9,"direct",
"Jordan Westburg","BAL","3B",218.84,"direct",
"Noelvi Marte","CIN","OF, 3B",138.77,"direct",
"Ryan O'Hearn","PIT","1B, OF",274.26,"direct",
"Nolan Arenado","ARI","3B",387.31,"direct",
"Miguel Vargas","CHW","1B, 3B",289.08,"direct",
"Mike Trout","LAA","OF",176.21,"direct",
"Josh Bell","MIN","1B",370.96,"direct",
"Colt Keith","DET","2B, 3B",302.7,"direct",
"Justin Crawford","PHI","OF",286.92,"direct",
"Matt McLain","CIN","2B",195.02,"direct",
"Caleb Durbin","BOS","3B",243.86,"direct",
"Kyle Stowers","MIA","OF",132.54,"direct",
"Jakob Marsee","MIA","OF",146.27,"direct",
"Jackson Holliday","BAL","2B",161.7,"direct",
"Josh Jung","TEX","3B",337.69,"direct",
"Gabriel Moreno","ARI","C",178.54,"direct",
"Kevin McGonigle","DET","SS",262.33,"direct",
"Sal Frelick","MIL","OF",209.79,"direct",
"Konnor Griffin","PIT","SS",183.64,"direct",
"Addison Barger","TOR","3B, OF",190.8,"direct",
"Josh Lowe","LAA","OF",280.77,"direct",
"Jeff McNeil","ATH","2B, OF",355.11,"direct",
"Colton Cowser","BAL","OF",260.71,"direct",
"Joey Ortiz","MIL","SS",436.84,"direct",
"Jac Caglianone","KCR","OF",201.03,"direct",
"Marcell Ozuna","PIT","UT",327.14,"direct",
"J.T. Realmuto","PHI","C",203.51,"direct",
"Lourdes Gurriel Jr.","ARI","OF",436.27,"direct",
"Kyle Manzardo","CLE","1B",238.39,"direct",
"TJ Friedl","CIN","OF",264.06,"direct",
"Brandon Marsh","PHI","OF",380.57,"direct",
"Jordan Walker","STL","OF",368.26,"direct",
"Trent Grisham","NYY","OF",246.59,"direct",
"Jesús Sánchez","TOR","OF",356.53,"direct",
"Matt Wallner","MIN","OF",323.81,"direct",
"Colson Montgomery","CHW","SS",221.35,"direct",
"Andrew Benintendi","CHW","OF",424.54,"direct",
"Jake Cronenworth","SDP","2B",414.58,"direct",
"Brooks Lee","MIN","2B, 3B, SS",314.9,"direct",
"JJ Wetherholt","STL","2B, SS",232.42,"direct",
"Harrison Bader","SFG","OF",331.99,"direct",
"Isaac Paredes","HOU","3B",203.74,"direct",
"Samuel Basallo","BAL","C",170.59,"direct",
"Lars Nootbaar","STL","OF",426.17,"direct",
"Mark Vientos","NYM","1B, 3B",323.24,"direct",
"Dylan Crews","WSN","OF",180.41,"direct",
"Ryan Jeffers","MIN","C",264.64,"direct",
"Giancarlo Stanton","NYY","OF",252.43,"direct",
"Tyler O'Neill","BAL","OF",390.44,"direct",
"Jonathan India","KCR","OF, 3B, 2B",356.77,"direct",
"Anthony Volpe","NYY","SS",349.7,"direct",
"Jake McCarthy","COL","OF",455.08,"direct",
"Connor Norby","MIA","1B, 3B",394.43,"direct",
"Jorge Soler","LAA","OF",409.07,"direct",
"Chase Meidroth","CHW","2B, SS",344.23,"direct",
"Brady House","WSN","3B",472.9,"direct",
"Jake Meyers","HOU","OF",461.37,"direct",
"Spencer Horwitz","PIT","1B",381.19,"direct",
"Lane Thomas","KCR","OF",461.22,"direct",
"Chase DeLauter","CLE","OF",299.7,"direct",
"Evan Carter","TEX","OF",289.66,"direct",
"J.P. Crawford","SEA","SS",401.77,"direct",
"Cedric Mullins","TBR","OF",316.74,"direct",
"Brett Baty","NYM","2B, 3B",271.18,"direct",
"Marcelo Mayer","BOS","2B, 3B",354.99,"direct",
"Cam Smith","HOU","OF",322.54,"direct",
"Jordan Lawlar","ARI","3B",322.37,"direct",
"Austin Hays","CHW","OF",364.65,"direct",
"Francisco Alvarez","NYM","C",176.82,"direct",
"Ke'Bryan Hayes","CIN","3B",502.01,"direct",
"Logan O'Hoppe","LAA","C",243.25,"direct",
"Dominic Canzone","SEA","OF",347.02,"direct",
"Tyler Freeman","COL","OF",519.47,"direct",
"Josh Smith","TEX","2B, 1B, 3B, SS",319.86,"direct",
"Gavin Sheets","SDP","1B, OF",378.92,"direct",
"Lenyn Sosa","TOR","1B, 2B",292.73,"direct",
"Victor Scott II","STL","OF",329.2,"direct",
"Nick Gonzales","PIT","2B",557,"direct",
"Trevor Larnach","MIN","OF",421.1,"direct",
"Max Muncy","LAD","3B",241.6,"direct",
"Austin Wells","NYY","C",227.4,"direct",
"Jared Triolo","PIT","1B, 3B, SS",416.59,"direct",
"Tommy Edman","LAD","2B, OF",340.07,"direct",
"Joc Pederson","TEX","UT",585.51,"direct",
"Luis Rengifo","MIL","2B, 3B",392.1,"direct",
"Mike Yastrzemski","ATL","OF",420.85,"direct",
"Luisangel Acuña","CHW","OF, 2B",421.79,"direct",
"Nolan Gorman","STL","3B, 2B",405.16,"direct",
"Paul Goldschmidt","NYY","1B",470.91,"direct",
"Isaac Collins","KCR","OF",380.54,"direct",
"Tyler Stephenson","CIN","C",252.45,"direct",
"Spencer Steer","CIN","OF, 1B",272.23,"direct",
"Alek Thomas","ARI","OF",548.47,"direct",
"Edgar Quero","CHW","C",331.75,"direct",
"Carter Jensen","KCR","C",185.64,"direct",
"Miguel Andujar","SDP","3B, OF",462.54,"direct",
"Dillon Dingler","DET","C",228.07,"direct",
"Nick Castellanos","SDP","OF",366.32,"direct",
"Moisés Ballesteros","CHC","UT",358.99,"direct",
"Brayan Rocchio","CLE","2B, SS",479.12,"direct",
"Jake Mangum","PIT","OF",390.42,"direct",
"Dylan Beavers","BAL","OF",322.88,"direct",
"Ha-Seong Kim","ATL","SS",372.31,"direct",
"Mauricio Dubón","ATL","2B, 3B, SS, OF",452.62,"direct",
"Parker Meadows","DET","OF",437.07,"direct",
"Yoán Moncada","LAA","3B",529.77,"direct",
"Kyle Isbel","KCR","OF",596.09,"direct",
"Gabriel Arias","CLE","2B, SS",493.91,"direct",
"Owen Caissie","MIA","OF",376.33,"direct",
"Christopher Morel","MIA","OF",533.56,"direct",
"Denzel Clarke","ATH","OF",452.94,"direct",
"Victor Caratini","MIN","C",389.6,"direct",
"José Caballero","NYY","OF, 2B, 3B, SS",206.08,"direct",
"Bo Naylor","CLE","C",334.67,"direct",
"Brooks Baldwin","CHW","OF",517.97,"direct",
"Carson Benge","NYM","OF",336.18,"direct",
"Starling Marte","KCR","UT",598.88,"direct",
"Carson Williams","TBR","SS",455.8,"direct",
"Pavin Smith","ARI","1B",503.54,"direct",
"Jake Fraley","TBR","OF",586.55,"direct",
"Zach McKinstry","DET","3B, SS, OF",322.38,"direct",
"Freddy Fermin","SDP","C",399.91,"direct",
"Kyle Teel","CHW","C",192.32,"direct",
"Wenceel Pérez","DET","OF",458.82,"direct",
"Gavin Lux","TBR","OF",500.05,"direct",
"Ryan McMahon","NYY","3B",412.3,"direct",
"Garrett Mitchell","MIL","OF",503.82,"direct",
"Max Muncy","ATH","2B, 3B",489.87,"direct",
"Matt Shaw","CHC","OF, 3B",275.11,"direct",
"Joey Loperfido","HOU","OF",570.35,"direct",
"Carson Kelly","CHC","C",325.94,"direct",
"Cole Young","SEA","2B",527.03,"direct",
"Jacob Young","WSN","OF",572.76,"direct",
"Javier Báez","DET","3B, SS, OF",436.88,"direct",
"Nathan Lukes","TOR","OF",528.84,"direct",
"Rhys Hoskins","CLE","1B",475.59,"direct",
"Amed Rosario","NYY","3B",599.42,"direct",
"Carlos Narváez","BOS","C",306.46,"direct",
"Nasim Nuñez","WSN","2B, SS",426.37,"direct",
"Matt Vierling","DET","OF",585.31,"direct",
"TJ Rumfield","COL","1B",567.04,"direct",
"Kody Clemens","MIN","OF, 2B, 1B",396.43,"direct",
"Sean Murphy","ATL","C",402.94,"direct",
"Luke Raley","SEA","1B, OF",551.8,"direct",
"Will Benson","CIN","OF",595.42,"direct",
"Edmundo Sosa","PHI","2B, 3B",570.31,"direct",
"Victor Robles","SEA","OF",376.64,"direct",
"Javier Sanoja","MIA","2B, 3B, OF",535.42,"direct",
"Patrick Bailey","SFG","C",407.28,"direct",
"Austin Martin","MIN","OF",547.05,"direct",
"Bryce Eldridge","SFG","UT",357.03,"direct",
"CJ Kayfus","CLE","OF",534.46,"direct",
"Keibert Ruiz","WSN","C",390.45,"direct",
"Edouard Julien","COL","1B, 2B",519.85,"direct",
"Dane Myers","CIN","OF",599.04,"direct",
"Ramón Urías","STL","2B, 3B",599.82,"direct",
"Jonny DeLuca","TBR","OF",587.6,"direct",
"George Valera","CLE","UT",590.12,"direct",
"Michael Massey","KCR","2B",596.99,"direct",
"JJ Bleday","CIN","OF",562.65,"direct",
"Davis Schneider","TOR","2B, OF",589.07,"direct",
"Sam Haggerty","TEX","OF",600.86,"direct",
"Ezequiel Duran","TEX","1B, SS",598.47,"direct",
"Griffin Conine","MIA","OF",557.19,"direct",
"Graham Pauley","MIA","3B",580.74,"direct",
"Kyle Karros","COL","3B",582.84,"direct",
"Heriberto Hernández","MIA","OF",561.45,"direct",
"Jake Bauers","MIL","OF, 1B",555.93,"direct",
"Jeremiah Jackson","BAL","2B, OF",575.11,"direct",
"Rob Refsnyder","SEA","OF",599.48,"direct",
"Christian Moore","LAA","2B",466.3,"direct",
"Andrés Chaparro","WSN","1B",600.33,"direct",
"Sung-Mun Song","SDP","3B",548.49,"direct",
"Zach Cole","HOU","OF",531.29,"direct",
"Oswald Peraza","LAA","2B, 3B",599.52,"direct",
"Joey Bart","PIT","C",488.43,"direct",
"Tyrone Taylor","NYM","OF",600.83,"direct",
"Casey Schmitt","SFG","2B, 3B",550.08,"direct",
"Carlos Santana","ARI","1B",583.48,"direct",
"Ryan Ritter","COL","2B, SS",592.51,"direct",
"Danny Jansen","TEX","C",441.11,"direct",
"Otto Kemp","PHI","3B",593.7,"direct",
"Angel Martínez","CLE","2B, OF",575.65,"direct",
"José Tena","WSN","3B",600.74,"direct",
"Kyle Higashioka","TEX","C",487.04,"direct",
"Ben Williamson","TBR","2B, 3B",598.09,"direct",
"Miguel Amaya","CHC","C",438.25,"direct",
"Andy Ibáñez","ATH","3B",600.66,"direct",
"Pedro Pagés","STL","C",502,"direct",
"Everson Pereira","CHW","OF",600.03,"direct",
"Thomas Saggese","STL","2B, SS",546.8,"direct",
"Nathaniel Lowe","CIN","1B",539.38,"direct",
"Colt Emerson","SEA","SS",425.05,"direct",
"Connor Wong","BOS","C",584.5,"direct",
"Blaze Alexander","BAL","3B",528.61,"direct",
"Jose Trevino","CIN","C",595.64,"direct",
"Henry Davis","PIT","C",557.18,"direct",
"Liam Hicks","MIA","1B, C",503.83,"direct",
"Nick Fortes","TBR","C",574.15,"direct",
"Jesse Winker",,,600.99,"filled_max_adp",
"Luis Campusano","SDP","UT",590.37,"direct",
"Luis Torrens","NYM","C",597.68,"direct",
"Dominic Smith","ATL","1B",599.55,"direct",
"Robert Hassell III","WSN","OF",594.59,"direct",
"Harry Ford","WSN","C",405.15,"direct",
"Travis d'Arnaud","LAA","C",600.16,"direct",
"Joe Mack","MIA","C",457.85,"direct",
"Andrew McCutchen","TEX","UT",599.56,"direct",
"Taylor Walls","TBR","SS",595.08,"direct",
"Adam Frazier","LAA","2B, OF",594.1,"direct",
"Daniel Schneemann","CLE","2B, 3B, OF",593.17,"direct",
"Bryce Teodosio","LAA","OF",600.88,"direct",
"Travis Bazzana","CLE","2B",446.77,"direct",
"Hunter Feduccia","TBR","C",599.63,"direct",
