"nfbc_rank","nfbc_player_id","player_name","team","positions","adp","adp_min_pick","adp_max_pick","adp_diff","adp_picks","name_key","team_key"
509,10309,"Pavin Smith","ARZ","1B",512.21,458,574,,24,"pavinsmith","arz"
511,10880,"Pedro Pages","STL","C",512.33,414,599,,24,"pedropages","stl"
512,11905,"Troy Johnston","COL","OF",512.83,409,562,,23,"troyjohnston","col"
515,11204,"Garrett Mitchell","MLW","OF",519.21,415,581,,22,"garrettmitchell","mil"
520,10296,"Nathaniel Lowe","BOS","1B",522.71,251,595,,20,"nathaniellowe","bos"
525,8979,"Yoan Moncada","LAA","3B",529.54,469,589,,24,"yoanmoncada","laa"
526,11331,"Zac Veen","COL","OF",531.67,472,600,,23,"zacveen","col"
527,12435,"CJ Kayfus","CLE","OF",532.96,467,589,,21,"cjkayfus","cle"
529,12047,"Spencer Jones","NYY","OF",533.88,448,594,,21,"spencerjones","nyy"
530,11637,"Nathan Lukes","TOR","OF",534.63,420,596,,23,"nathanlukes","tor"
531,10356,"Tyler Freeman","COL","OF",534.79,460,572,,20,"tylerfreeman","col"
532,12592,"Sung-Mun Song","SD","3B",535.96,406,587,,21,"sungmunsong","sdp"
534,11742,"Henry Davis","PIT","C",537.25,299,594,,21,"henrydavis","pit"
535,9863,"Isiah Kiner-Falefa","BOS","3B, SS",537.54,417,600,,22,"isiahkinerfalefa","bos"
536,10833,"Austin Martin","MIN","OF",537.96,449,588,,23,"austinmartin","min"
539,12177,"Javier Sanoja","MIA","2B, 3B, OF",539.96,451,592,,22,"javiersanoja","mia"
540,12461,"Zach Cole","HOU","OF",541.63,405,591,,23,"zachcole","hou"
541,11154,"Christopher Morel","MIA","OF",543.21,471,582,,21,"christophermorel","mia"
543,12367,"Max Clark","DET","OF",544.92,390,582,,17,"maxclark","det"
545,10126,"Alek Thomas","ARZ","OF",550.63,496,600,,22,"alekthomas","arz"
546,11624,"Zack Gelof","ATH","2B",550.83,414,586,,20,"zackgelof","ath"
549,12279,"Jhostynxon Garcia","PIT","OF",551.33,427,594,,20,"jhostynxongarcia","pit"
551,11895,"Thomas Saggese","STL","2B, SS",553.13,475,598,,21,"thomassaggese","stl"
557,12250,"Tim Tawa","ARZ","1B, OF, 2B",558.25,462,598,,20,"timtawa","arz"
561,11645,"David Hamilton","MLW","2B",559.75,412,580,,14,"davidhamilton","mil"
562,9557,"Edmundo Sosa","PHI","2B, 3B",561.08,462,597,,18,"edmundososa","phi"
564,7514,"Carlos Santana","ARZ","1B",563.08,398,582,,9,"carlossantana","arz"
567,12249,"Cole Young","SEA","2B",563.54,492,596,,16,"coleyoung","sea"
570,11743,"Casey Schmitt","SF","2B, 3B",565.08,420,595,,16,"caseyschmitt","sfg"
573,11906,"Jeferson Quero","MLW","C",566.08,404,595,,10,"jefersonquero","mil"
575,12346,"Sebastian Walcott","TEX","SS",566.58,414,597,,12,"sebastianwalcott","tex"
576,11038,"Nick Gonzales","PIT","2B",567.67,449,593,,16,"nickgonzales","pit"
577,8807,"Miguel Rojas","LAD","3B, 2B, SS",567.96,486,593,,14,"miguelrojas","lad"
578,10193,"Esteury Ruiz","MIA","OF",568.38,404,599,,11,"esteuryruiz","mia"
580,12485,"Abimelec Ortiz","WAS","1B",568.79,492,591,,15,"abimelecortiz","wsn"
581,10764,"Luke Raley","SEA","1B, OF",570.29,491,581,,14,"lukeraley","sea"
582,8688,"Joc Pederson","TEX","UT",571.17,519,592,,17,"jocpederson","tex"
583,10838,"JJ Bleday","CIN","OF",571.25,504,595,,14,"jjbleday","cin"
584,11952,"Joey Loperfido","HOU","OF",571.54,486,596,,13,"joeyloperfido","hou"
587,12352,"Jesus Made","MLW","SS",571.88,409,595,,9,"jesusmade","mil"
589,10318,"Ronny Mauricio","NYM","3B",572.71,489,600,,14,"ronnymauricio","nym"
590,9788,"Jake Bauers","MLW","OF, 1B",572.88,442,592,,11,"jakebauers","mil"
591,11846,"Jacob Young","WAS","OF",574,482,597,,15,"jacobyoung","wsn"
593,11675,"Angel Martinez","CLE","2B, OF",575.38,421,584,,9,"angelmartinez","cle"
594,10234,"Jeremiah Jackson","BAL","OF",576.75,460,599,,10,"jeremiahjackson","bal"
598,11838,"Davis Schneider","TOR","2B, OF",578.33,450,600,,13,"davisschneider","tor"
600,11289,"Nick Fortes","TB","C",579.71,519,599,,12,"nickfortes","tbr"
601,11990,"Emmanuel Rodriguez","MIN","OF",580.38,502,598,,11,"emmanuelrodriguez","min"
608,8212,"Gary Sanchez","MLW","C",582.5,493,597,,9,"garysanchez","mil"
609,10210,"Griffin Conine","MIA","OF",583.04,514,596,,11,"griffinconine","mia"
610,10937,"Connor Wong","BOS","C",583.33,525,600,,9,"connorwong","bos"
612,10705,"Jonah Heim","ATL","C",583.67,515,594,,11,"jonahheim","atl"
615,11531,"Vaughn Grissom","LAA","2B",584.96,493,598,,8,"vaughngrissom","laa"
617,12450,"Jimmy Crooks","STL","C",585.75,505,592,,6,"jimmycrooks","stl"
624,10225,"Jake Fraley","TB","OF",587.88,483,599,,9,"jakefraley","tbr"
626,11954,"Graham Pauley","MIA","3B",588.17,482,600,,6,"grahampauley","mia"
627,11965,"Adael Amador","COL","2B",588.21,463,599,,4,"adaelamador","col"
629,10362,"Will Benson","CIN","OF",588.67,443,600,,5,"willbenson","cin"
632,11046,"Robert Hassell III","WAS","OF",589.88,509,585,,5,"roberthasselliii","wsn"
634,12488,"Josue Briceno","DET","C",590.38,499,550,,3,"josuebriceno","det"
635,12475,"Ryan Clifford","NYM","1B",590.58,473,591,,4,"ryanclifford","nym"
640,12439,"Kyle Karros","COL","3B",591.38,529,593,,5,"kylekarros","col"
646,9862,"Jose Trevino","CIN","C",592,540,588,,7,"josetrevino","cin"
648,11080,"Michael Toglia","COL","1B",592.42,395,395,,1,"michaeltoglia","col"
649,8919,"Tommy Pham","PIT","OF",592.54,485,597,,3,"tommypham","pit"
650,12299,"Leodalis De Vries","ATH","SS",592.63,545,595,,6,"leodalisdevries","ath"
651,12403,"Heriberto Hernandez","MIA","OF",593.13,561,597,,10,"heribertohernandez","mia"
653,10444,"Dylan Moore","TEX","2B, OF",593.63,489,536,,2,"dylanmoore","tex"
656,12199,"Colby Thomas","ATH","OF",593.92,532,599,,6,"colbythomas","ath"
657,9880,"Rowdy Tellez","TEX","1B",593.96,510,523,,2,"rowdytellez","tex"
659,12355,"Brice Matthews","HOU","2B",594.21,561,600,,10,"bricematthews","hou"
661,11789,"David Fry","CLE","UT",594.83,522,590,,5,"davidfry","cle"
663,11736,"Christian Encarnacion-Strand","CIN","1B",595,549,591,,5,"christianencarnacionstrand","cin"
668,12489,"Cooper Ingle","CLE","C",595.46,493,594,,3,"cooperingle","cle"
669,6696,"Andrew McCutchen","PIT","UT",595.46,522,547,,2,"andrewmccutchen","pit"
670,11223,"Matt Vierling","DET","OF",595.54,546,587,,4,"mattvierling","det"
671,11043,"Luis Campusano","SD","UT",595.67,545,600,,5,"luiscampusano","sdp"
673,10821,"Eli White","ATL","OF",595.75,475,475,,1,"eliwhite","atl"
674,12098,"Daniel Schneemann","CLE","2B, 3B, OF",596.04,534,588,,4,"danielschneemann","cle"
680,12595,"Tommy Troy","ARZ","2B",596.38,490,490,,1,"tommytroy","arz"
681,9500,"Amed Rosario","NYY","3B",596.42,543,589,,3,"amedrosario","nyy"
685,12476,"Kaelen Culpepper","MIN","SS",596.54,536,589,,3,"kaelenculpepper","min"
686,10408,"Kyle Isbel","KC","OF",596.83,558,595,,5,"kyleisbel","kcr"
687,10304,"Nolan Jones","CLE","OF",596.96,560,599,,5,"nolanjones","cle"
690,12506,"Josue De Paula","LAD","OF",596.96,547,558,,2,"josuedepaula","lad"
696,7538,"Wilmer Flores","SF","1B",597.17,545,583,,3,"wilmerflores","sfg"
697,8897,"James McCann","ARZ","C",597.21,551,600,,5,"jamesmccann","arz"
698,10839,"Jerar Encarnacion","SF","OF",597.25,511,511,,1,"jerarencarnacion","sfg"
699,12377,"Ben Williamson","TB","3B",597.29,541,572,,2,"benwilliamson","tbr"
700,10691,"Tyler Heineman","TOR","C",597.33,555,559,,2,"tylerheineman","tor"
701,12231,"Alex Freeland","LAD","3B",597.38,562,592,,3,"alexfreeland","lad"
705,9172,"Max Kepler","PHI","OF",597.46,533,584,,2,"maxkepler","phi"
706,12155,"Trey Sweeney","DET","SS",597.63,520,520,,1,"treysweeney","det"
707,12374,"Tyler Tolbert","KC","OF",597.63,520,520,,1,"tylertolbert","kcr"
708,10001,"Abraham Toro","BOS","1B",597.67,521,521,,1,"abrahamtoro","bos"
709,12213,"Enrique Bradfield","BAL","OF",597.75,523,523,,1,"enriquebradfield","bal"
