"player_id","player_name","eno_rank","eno_2026_stuff_plus","eno_2026_pitching_plus","eno_2026_location_plus","name_key"
687765,"Mitch Spence",227,95,98,100,"mitchspence"
607200,"Erick Fedde",228,88,94,103,"erickfedde"
695418,"Brad Lord",229,91,91,102,"bradlord"
650644,"Aaron Civale",230,91,87,94,"aaroncivale"
621111,"Walker Buehler",231,96,91,93,"walkerbuehler"
571578,"Patrick Corbin",232,93,97,103,"patrickcorbin"
547179,"Michael Lorenzen",233,92,94,102,"michaellorenzen"
696136,"Jordan Wicks",234,106,115,111,"jordanwicks"
686563,"Jonathan Cannon",235,95,96,99,"jonathancannon"
680730,"Mitchell Parker",236,92,93,102,"mitchellparker"
615698,"Cal Quantrill",237,88,89,99,"calquantrill"
542881,"Tyler Anderson",238,100,93,97,"tyleranderson"
668964,"Tobias Myers",239,98,97,99,"tobiasmyers"
687064,"Brandon Young",240,94,98,102,"brandonyoung"
570632,"José Ureña",241,87,92,101,"josurea"
672782,"Yoendrys Gomez",242,97,87,90,"yoendrysgomez"
543294,"Kyle Hendricks",243,97,92,96,"kylehendricks"
607536,"Kyle Freeland",244,94,95,101,"kylefreeland"
665871,"Javier Assad",245,93,91,95,"javierassad"
,"Aaron Ashby",,,,,"aaronashby"
800049,"Adam Mazur",,98,95,97,"adammazur"
670124,"Adam Oller",,,,,"adamoller"
544150,"Albert Suárez",,89,85,94,"albertsurez"
679525,"Alec Marsh",,,,,"alecmarsh"
622072,"Alex Wood",,,,,"alexwood"
622608,"Antonio Senzatela",,85,92,105,"antoniosenzatela"
596295,"Austin Gomber",,90,88,100,"austingomber"
676508,"Ben Casparius",,107,109,103,"bencasparius"
594902,"Ben Lively",,90,89,102,"benlively"
676272,"Bobby Miller",,103,107,109,"bobbymiller"
670102,"Bowden Francis",,94,93,98,"bowdenfrancis"
669060,"Bryse Wilson",,92,92,98,"brysewilson"
471911,"Carlos Carrasco",,80,88,101,"carloscarrasco"
608334,"Carson Fulmer",,88,92,101,"carsonfulmer"
686730,"Carson Spiers",,93,87,90,"carsonspiers"
543391,"Casey Kelly",,74,59,78,"caseykelly"
694646,"Chayce McDermott",,91,67,67,"chaycemcdermott"
623167,"Chris Flexen",,86,88,102,"chrisflexen"
608344,"Cole Irvin",,,,,"coleirvin"
687362,"Connor Gillispie",,87,85,97,"connorgillispie"
681867,"Cooper Criswell",,94,104,111,"coopercriswell"
641712,"Dakota Hudson",,,,,"dakotahudson"
641540,"Dane Dunning",,81,89,104,"danedunning"
670766,"Darren McCaughan",,93,113,122,"darrenmccaughan"
687792,"DJ Herz",,,,,"djherz"
669084,"DL Hall",,92,91,94,"dlhall"
689672,"Drew Thorpe",,,,,"drewthorpe"
687922,"Easton Lucas",,102,94,92,"eastonlucas"
660730,"Elvin Rodriguez",,94,94,97,"elvinrodriguez"
608566,"German Marquez",,85,84,97,"germanmarquez"
656288,"Griffin Canning",,90,91,98,"griffincanning"
680684,"Gunnar Hoglund",,95,101,105,"gunnarhoglund"
663687,"Hogan Harris",,100,100,103,"hoganharris"
686799,"Jack Kochanowicz",,92,85,90,"jackkochanowicz"
596001,"Jakob Junis",,92,99,106,"jakobjunis"
657649,"Jared Koenig",,110,103,96,"jaredkoenig"
605452,"Joe Ross",,92,97,106,"joeross"
683155,"Joey Estes",,82,86,97,"joeyestes"
592351,"Jon Gray",,92,88,94,"jongray"
,"Jose Urquidy",,,,,"joseurquidy"
680736,"Justin Wrobleski",,101,109,109,"justinwrobleski"
676775,"Keaton Winn",,95,98,102,"keatonwinn"
628317,"Kenta Maeda",,90,72,78,"kentamaeda"
606996,"Kyle Hart",,99,97,98,"kylehart"
458681,"Lance Lynn",,,,,"lancelynn"
689017,"Landon Knack",,95,96,102,"landonknack"
622379,"Luis F. Castillo",,91,82,91,"luisfcastillo"
573186,"Marcus Stroman",,86,89,99,"marcusstroman"
527048,"Martín Pérez",,85,89,100,"martnprez"
696131,"Mason Black",,94,100,111,"masonblack"
663362,"Matt Waldron",,86,74,86,"mattwaldron"
680897,"Nick Nastrini",,,,,"nicknastrini"
702273,"Noah Schultz",,,,,"noahschultz"
674370,"Osvaldo Bido",,97,91,94,"osvaldobido"
621112,"Paul Blackburn",,93,99,105,"paulblackburn"
687606,"Paxton Schultz",,93,90,97,"paxtonschultz"
682610,"Roddery Muñoz",,101,98,97,"rodderymuoz"
548389,"Ross Stripling",,,,,"rossstripling"
663372,"Ryan Feltner",,90,88,96,"ryanfeltner"
642232,"Ryan Yarbrough",,96,97,106,"ryanyarbrough"
542888,"Shawn Armstrong",,105,96,94,"shawnarmstrong"
,"Shinnosuke Ogasawara",,,,,"shinnosukeogasawara"
664350,"Sixto Sánchez",,,,,"sixtosnchez"
605513,"Spencer Turnbull",,97,111,112,"spencerturnbull"
802419,"Thomas Harrington",,98,82,88,"thomasharrington"
674072,"Tommy Henry",,82,87,103,"tommyhenry"
663474,"Triston McKenzie",,95,60,59,"tristonmckenzie"
621389,"Ty Blach",,,,,"tyblach"
641302,"Tyler Alexander",,98,101,105,"tyleralexander"
663969,"Tyler Phillips",,97,104,106,"tylerphillips"
678368,"Valente Bellozo",,93,90,98,"valentebellozo"
675540,"Xzavion Curry",,93,72,80,"xzavioncurry"
684320,"Yariel Rodríguez",,100,96,94,"yarielrodrguez"
