"player_name","team","adp","adp_rank","proj_ip","proj_w","proj_sv","proj_hld","proj_k","proj_h","proj_bb","proj_hbp","proj_hr","proj_era","proj_whip","sp_skillz_2025_score_stabilized","sp_skillz_2025_rank_stabilized","sp_skillz_2026_score_stabilized","sp_skillz_2026_rank_stabilized","eno_rank","ck_rank","ds_rank","ottoneu_fg_pts"
"Tyler Mahle","SFG",324.76,94,137,8,0,0,110,135,45,6,17,4.36,1.32,-7.456,171,-7.292,167,121,,,520.7
"Clay Holmes","NYM",325.45,95,150,11,0,0,131,141,60,7,13,3.79,1.34,-5.023,134,-6.302,151,95,,,644.5
"Robby Snelling","MIA",327.79,96,96,6,0,0,88,93,34,5,11,4.1,1.32,,,,,106,,,392.3
"Max Meyer","MIA",328.67,97,139,8,0,1,130,135,47,6,17,4.13,1.31,1.442,53,1.38,53,115,,,573.5
"Brady Singer","CIN",329,98,168,10,0,0,154,164,56,8,24,4.32,1.31,-6.119,150,-5.925,147,122,,,637.6
"Chris Bassitt","BAL",329.58,99,175,11,0,1,158,172,60,8,24,4.35,1.32,-4.09,117,-3.353,106,139,,,668.6
"Cade Cavalli","WSN",330.82,100,135,7,0,0,115,134,50,6,15,4.2,1.37,2.29,46,1.105,56,119,,,528.1
"Luis Gil","NYY",332.73,101,101,6,0,1,98,87,49,5,15,4.39,1.35,-9.674,202,-10.356,208,97,,,374.7
"Reid Detmers","LAA",343.67,102,147,9,0,1,164,126,53,7,19,3.65,1.22,,,,,86,,,678.5
"Bailey Ober","MIN",343.79,103,152,8,0,0,132,150,37,7,26,4.53,1.23,-5.3,140,-4.782,127,137,,,547
"Jameson Taillon","CHC",346.64,104,142,8,0,0,111,140,37,6,23,4.54,1.25,-4.157,121,-4.007,116,135,,,496.9
"Mitch Keller","PIT",350.7,105,174,11,0,0,154,174,52,8,22,4.18,1.31,-7.796,175,-8.062,181,113,,,692.6
"Quinn Priester","MIL",351.61,106,136,9,0,0,120,130,44,6,15,3.89,1.27,-3.834,114,-4.547,120,71,,,573.9
"Ian Seymour","TBR",357.33,107,120,7,0,1,117,110,37,5,17,3.95,1.22,,,,,108,,,504.9
"Jacob Lopez","ATH",358.61,108,124,7,0,0,129,113,49,6,19,4.34,1.31,-1.798,86,0.039,62,134,,,483.1
"Mick Abel","MIN",360.12,109,128,7,0,1,127,118,60,7,16,4.26,1.39,-1.5,80,-1.418,82,131,,,500.6
"Matthew Liberatore","STL",360.12,109,148,8,0,0,124,148,48,7,19,4.36,1.33,-7.71,174,-7.765,177,142,,,559.7
"Justin Steele","CHC",362.58,111,79,5,0,0,74,72,21,3,10,3.7,1.19,-2.153,91,-1.656,85,127,,,350.4
"David Peterson","NYM",366.39,112,164,12,0,0,145,157,64,8,17,3.97,1.35,-4.958,132,-4.767,126,73,,,670.3
"Michael Wacha","KCR",369.27,113,165,9,0,0,124,172,50,7,24,4.81,1.35,-8.306,183,-8.69,186,146,,,555.6
"Yusei Kikuchi","LAA",369.55,114,168,10,0,0,168,156,60,8,24,4.09,1.29,-6.386,155,-5.612,143,96,,,674.4
"Cristian Javier","HOU",373.67,115,146,8,0,0,127,136,63,7,24,4.9,1.37,-7.472,172,-7.301,169,124,,,475.6
"Seth Lugo","KCR",378.85,116,157,9,0,0,126,166,51,7,23,4.83,1.37,-10.454,210,-10.344,207,123,,,525.3
"Dustin May","STL",388.64,117,163,8,0,1,139,157,63,8,20,4.39,1.35,-8.059,179,-8.914,188,98,,,621
"Grant Holmes","ATL",389.36,118,151,10,0,1,155,140,59,7,19,4.05,1.32,-4.463,125,-4.154,118,116,,,635.7
"Zach Eflin","BAL",390.3,119,149,9,0,1,113,155,32,6,23,4.53,1.26,-8.838,187,-9.154,192,102,,,532.7
"Kyle Harrison","MIL",397.39,120,101,6,0,1,107,88,39,5,15,3.95,1.27,-1.212,74,0.686,59,210,,,420.1
"Jonah Tong","NYM",397.76,121,25,2,0,1,31,20,12,1,3,3.4,1.28,-2.332,92,-2.532,94,126,,,123.1
"Simeon Woods Richardson","MIN",399.94,122,145,8,0,1,127,141,54,7,22,4.62,1.34,-10.651,212,-9.942,200,154,,,510.8
"Brandon Pfaadt","ARI",402.15,123,163,9,0,0,143,165,39,7,23,4.2,1.25,-4.518,126,-4.725,125,143,,,642.3
"Taj Bradley","MIN",405.33,124,139,8,0,1,135,129,49,7,19,4.11,1.28,-8.591,186,-8.436,183,125,,,565.5
"Payton Tolle","BOS",405.88,125,35,2,0,1,40,31,13,2,5,3.69,1.24,,,,,169,,,155.9
"Johan Oviedo","BOS",408.12,126,97,6,0,1,96,90,40,5,12,4.26,1.34,-0.135,65,1.021,57,114,,,397.2
"Jared Jones","PIT",412.3,127,104,7,0,1,106,94,36,5,13,3.81,1.25,,,,,74,,,458.3
"Slade Cecconi","CLE",421.61,128,152,8,0,0,128,152,39,7,22,4.29,1.25,-5.429,141,-5.221,136,117,,,577
"Zack Littell","WSN",422.64,129,153,7,0,0,108,165,33,6,25,4.83,1.3,-9.42,198,-9.193,194,199,,,494.7
"Rhett Lowder","CIN",426.42,130,121,7,0,1,98,122,42,6,16,4.52,1.36,,,,,189,,,437.4
"Corbin Burnes","ARI",430.21,131,42,3,0,0,40,39,14,2,4,3.8,1.25,0.91,57,0.477,61,200,,,192.2
"Luis Severino","ATH",434.88,132,170,9,0,0,140,171,58,8,24,4.51,1.34,-9.281,197,-10.388,209,148,,,600.2
"Landen Roupp","SFG",439.33,133,126,8,0,1,120,120,51,6,14,4.03,1.35,-3.61,107,-3.576,109,112,,,521.2
"Justin Verlander","DET",440.88,134,141,9,0,0,119,135,49,7,22,4.54,1.31,-3.953,115,-4.051,117,138,,,491.8
"Jeffrey Springs","ATH",442.79,135,161,8,0,0,129,163,52,7,27,4.96,1.34,-7.29,165,-7.059,165,150,,,516.5
"Brandon Sproat","MIL",443.88,136,80,5,0,1,71,73,32,4,9,4.01,1.32,-3.752,113,-4.951,130,130,,,329.5
"Braxton Garrett","MIA",445.21,137,110,6,0,1,99,112,25,5,13,3.94,1.24,,,,,110,,,474.9
"Lucas Giolito",,459.15,138,122,7,0,0,103,125,49,6,19,5.01,1.43,-9.999,204,-9.658,199,214,,,385.1
"Luis Morales","ATH",464.88,139,121,7,0,1,114,113,52,6,17,4.47,1.36,-3.71,112,-4.866,129,153,,,450.5
"Max Scherzer","TOR",466.7,140,114,7,0,1,106,107,36,5,20,4.56,1.25,-3.705,111,-4.717,123,140,,,412.4
"Spencer Arrighetti","HOU",469.48,141,84,5,0,1,82,77,36,4,12,4.38,1.35,-2.383,93,-2.898,99,120,,,321.8
"Troy Melton","DET",472.67,142,53,3,0,1,51,49,18,2,7,4,1.26,,,,,67,,,224.7
"River Ryan","LAD",473.27,143,50,3,0,1,48,47,22,3,7,4.14,1.37,,,,,171,,,186.7
"Spencer Schwellenbach","ATL",479.85,144,77,5,0,0,75,69,19,3,9,3.55,1.14,11.978,8,11.272,11,17,,,363.7
"Nick Martinez","TBR",485.73,145,147,8,0,1,120,145,42,7,20,4.18,1.27,-9.248,196,-7.702,176,225,,,561.8
"Hurston Waldrep","ATL",487.39,146,61,4,0,0,56,58,28,3,7,4.3,1.42,0.979,56,-0.388,66,118,,,233.5
"Michael McGreevy","STL",488.67,147,137,7,0,1,94,147,30,6,16,4.44,1.3,-10.226,209,-10.978,215,141,,,518.8
"Joe Boyle","TBR",489.39,148,81,5,0,1,96,65,45,4,8,3.6,1.36,0.109,64,-0.691,74,75,,,381
"Eduardo Rodriguez","ARI",496.97,149,130,7,0,1,111,131,48,6,19,4.67,1.38,-10.517,211,-10.196,206,181,,,451.7
"Jacob Latz","TEX",504.73,150,113,7,0,1,113,99,54,6,15,4.13,1.35,,,,,105,,,444.3
"Adrian Houser","SFG",505.48,151,147,9,0,0,112,152,51,7,16,4.36,1.38,-9.571,199,-9.366,196,172,,,545.8
"Dean Kremer","BAL",507.33,152,135,8,0,1,115,134,44,6,21,4.56,1.31,-5.604,144,-5.506,140,161,,,476.3
"Ryan Weiss","HOU",508.24,153,104,6,0,1,103,98,39,7,14,4.22,1.32,,,,,133,,,414.6
"Steven Matz","TBR",510.52,154,134,7,0,1,116,130,40,6,17,4.08,1.27,,,,,94,,,542.5
"Ben Brown","CHC",512.67,155,67,4,0,8,70,58,23,3,8,3.71,1.22,3.276,42,3.334,41,158,,,340.6
"José Berríos","TOR",519.55,156,116,6,0,1,94,119,38,5,17,4.67,1.35,-9.621,201,-10.068,203,155,,,402.9
"Didier Fuentes","ATL",534.24,157,19,1,0,0,19,18,7,1,3,4.27,1.3,-2.007,88,-2.093,89,205,,,70.9
"Randy Vásquez","SDP",537.06,158,136,7,0,1,97,138,49,7,20,4.76,1.38,-16.766,239,-17.639,242,176,,,431.6
"Reese Olson","DET",538.61,159,4.7814,0,0,0,4,4,2,0,1,3.91,1.26,0.519,61,-0.256,64,80,,,14.7
"Tyler Wells","BAL",541.45,160,72,4,0,7,63,69,21,3,13,4.68,1.24,-1.546,81,-0.597,72,183,,,275.5
"Kumar Rocker","TEX",542.36,161,99,6,0,1,91,95,32,5,12,3.99,1.28,-5.263,138,-6.346,152,132,,,413
"Walker Buehler","SDP",545.21,162,77,4,0,1,61,77,33,4,11,4.77,1.43,-14.688,237,-14.783,237,231,,,249.3
"Sean Burke","CHW",546.33,163,141,7,0,0,134,132,63,7,21,4.54,1.39,-8.392,185,-8.743,187,174,,,499.9
"Anthony Kay","CHW",547.61,164,151,8,0,1,124,155,57,6,20,4.4,1.4,,,,,173,,,531.4
