"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Boxberger, Brad","502202","56.1","","","23.7","20.2","","","","",""
"Jansen, Kenley","445276","","26.0","58.6","15.4","","","","","",""
"Sulser, Cole","642121","51.1","","","13.5","33.2","2.2","","","",""
"Chacín, Jhoulys","468504","8.7","32.3","20.3","","3.6","35.1","","","",""
"Smith, Riley","642092","0.5","57.3","10.0","4.5","17.0","10.7","","","",""
"Cisnero, José","542585","41.0","25.1","15.9","12.1","5.9","","","","",""
"Matzek, Tyler","554431","70.7","","","27.1","","2.2","","","",""
"Shoemaker, Matt","533167","24.4","16.5","","24.5","","1.2","33.3","","",""
"Santana, Ervin","429722","45.2","","","51.6","3.3","","","","",""
"Richards, Trevor","670950","56.7","","","13.8","29.5","","","","",""
"Iglesias, Raisel","628452","35.1","9.4","","30.8","24.6","","","","",""
"Jackson, Luke","592426","35.6","","","51.6","","12.8","","","",""
"Melancon, Mark","453343","2.8","","62.6","0.1","","34.4","0.2","","",""
"Duffey, Tyler","608648","44.6","4.2","","0.1","","51.1","","","",""
"Heuer, Codi","676051","56.1","0.1","","23.2","20.7","","","","",""
"Johnson, Pierce","572955","32.5","","","","","67.5","","","",""
"Alvarado, José","621237","3.2","77.2","16.3","","","3.3","","","",""
"Romo, Sergio","489265","1.9","31.4","","55.7","10.9","","","","",""
"Clase, Emmanuel","661403","0.9","","69.4","29.8","","","","","",""
"Tate, Dillon","622253","1.6","58.9","23.0","","15.8","","","","0.6",""
"Ruiz, José","614179","59.0","0.5","","2.2","3.7","34.6","","","",""
"Scott, Tanner","656945","45.4","3.0","","51.6","","","","","",""
"Romano, Jordan","605447","62.3","1.0","","36.8","","","","","",""
"Cimber, Adam","643256","32.1","35.9","","32.0","","","","","",""
"Voth, Austin","608723","59.5","","13.6","","","26.6","0.3","","",""
"Wittgren, Nick","621295","56.0","0.6","9.7","10.6","23.1","","","","",""
"Familia, Jeurys","544727","14.5","59.2","","23.4","","","2.9","","",""
"Plutko, Adam","592644","49.9","","33.0","10.2","","6.9","","","",""
"King, Michael","650633","8.8","53.0","15.2","","12.5","0.3","","","10.2",""
"Duffy, Danny","518633","42.8","12.8","","18.2","15.4","10.8","","","",""
"Steckenrider, Drew","608716","65.9","","","","15.9","18.3","","","",""
"Karinchak, James","675916","68.1","","","","","31.9","","","",""
"Estévez, Carlos","608032","65.8","","","14.8","19.3","0.1","","","",""
"Chapman, Aroldis","547973","56.6","5.7","","26.7","","","11.1","","",""
"García, Jarlín","606424","48.9","1.1","","25.4","24.6","","","","",""
"Díaz, Edwin","621242","61.6","0.6","","37.8","","","","","",""
"Brothers, Rex","571521","65.5","","","34.5","","","","","",""
"Holland, Greg","518813","40.3","","","48.3","","11.3","","","",""
"Littell, Zack","641793","57.6","0.2","","37.2","","","5.0","","",""
"Williams, Devin","642207","34.7","","","1.4","63.8","","","","",""
"Gonsolin, Tony","664062","43.5","","","26.0","","8.8","21.7","","",""
"Norris, Daniel","596057","47.5","","","22.7","29.9","","","","",""
"Feyereisen, J.P.","656420","51.5","0.1","","28.6","19.9","","","","",""
"Kremer, Dean","665152","54.6","1.2","20.7","","6.3","15.8","1.4","","",""
"Kimbrel, Craig","518886","59.3","","","","","40.7","","","",""
"Mejía, J.C.","650496","16.1","42.2","","23.7","11.5","6.5","","","",""
"Kittredge, Andrew","552640","10.5","44.0","","45.2","0.3","","","","",""
"Strickland, Hunter","519326","51.3","5.8","","40.8","2.0","","","","",""
"Bender, Anthony","669622","1.2","51.8","","38.3","0.7","","","","7.9",""
"McHugh, Collin","543521","10.8","","33.1","","0.1","3.1","","","52.9",""
"Alvarez, Jose","501625","12.5","45.6","3.6","10.3","28.0","","","","",""
"Thompson, Keegan","624522","46.2","1.4","27.2","0.2","2.2","22.6","","","0.2",""
"Hader, Josh","623352","0.1","65.4","","27.8","6.7","","","","",""
"Steele, Justin","657006","45.2","20.6","","16.5","2.1","15.6","","","",""
"Adams, Austin","613534","12.2","0.7","","87.1","","","","","",""
"Hill, Tim","657612","51.7","32.8","0.6","14.7","0.2","","","","",""
"Watkins, Spenser","657093","46.6","0.3","30.9","0.3","5.7","15.8","0.3","","",""
"Bass, Anthony","542914","8.1","41.2","","49.9","","","0.7","","",""
"Pressly, Ryan","519151","39.5","0.2","","35.8","","24.5","","","",""
"Bummer, Aaron","607481","0.1","61.9","7.8","","0.6","","","","29.6",""
"Cessa, Luis","570666","21.1","10.2","0.1","56.7","11.9","","","","",""
"Tepera, Ryan","572193","33.3","10.8","","44.9","10.4","0.5","","","",""
"Chafin, Andrew","605177","29.8","43.7","","26.4","0.1","","","","",""
"Rodríguez, Richard","593144","86.1","","","13.9","","","","","",""
"Sawamura, Hirokazu","617228","45.4","","","15.1","","","39.4","","",""
"García, Yimi","554340","39.1","6.3","","29.7","6.4","18.5","","","0.1",""
"López, Reynaldo","625643","57.9","","","33.8","3.7","4.6","","","",""
"Castillo, Diego","650895","4.0","29.6","","66.5","","","","","",""
"Howard, Spencer","675921","59.7","4.0","12.0","3.6","9.0","8.3","","","3.4",""
"Pop, Zach","647315","1.4","66.3","0.7","31.5","","","","","",""
"Shreve, Chasen","592741","40.2","","","22.2","","","36.9","","0.6",""
"Bednar, David","670280","55.8","","","","","23.6","20.7","","",""
"Zimmer, Kyle","622092","50.4","0.3","","36.8","2.2","10.2","","","",""
"Brogdon, Connor","641401","44.9","0.3","19.2","","35.6","","","","",""
"Bradley, Archie","605151","47.1","23.6","","","13.8","15.5","","","",""
"Barnes, Matt","598264","49.8","","","","1.7","48.4","","","",""
"Martin, Brett","656685","24.1","30.3","","24.5","","21.1","","","",""
"Barria, Jaime","642545","36.3","18.9","","36.4","8.4","","","","",""
